Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Operating Income,"-10,705,000","-13,811,000","-12,809,000","-16,917,000","-15,932,000","-8,315,000","-13,604,000","-5,666,000","-7,752,000","-8,579,000",Financials in AUD,Fiscal year is July - June
Interest Expense,"-4,577,000","-2,258,000","-1,792,000","-1,366,000","-1,176,000","-652,000","-419,000","-3,732,000","-823,000","-46,000",Financials in AUD,Fiscal year is July - June
Interest & Investment Income,-,"16,000",-,-,-,-,-,-,"14,000","249,000",Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-15,282,000","-16,053,000","-14,601,000","-18,283,000","-17,108,000","-8,967,000","-14,023,000","-9,398,000","-8,561,000","-8,376,000",Financials in AUD,Fiscal year is July - June
Impairment of Goodwill,-,-,"-671,000",-,-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,"-478,000","-19,000","-715,000","-561,000","-1,082,000","689,000","-1,682,000",-,-,-,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,"-1,018,000","1,734,000","1,041,000",-,-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Asset Writedown,"-20,126,000",-,-,-,-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Pretax Income,"-36,904,000","-14,338,000","-14,946,000","-18,844,000","-18,190,000","-8,278,000","-15,705,000","-9,398,000","-8,561,000","-8,376,000",Financials in AUD,Fiscal year is July - June
Net Income,"-36,904,000","-14,338,000","-14,946,000","-18,844,000","-18,190,000","-8,278,000","-15,705,000","-9,398,000","-8,561,000","-8,376,000",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-36,904,000","-14,338,000","-14,946,000","-18,844,000","-18,190,000","-8,278,000","-15,705,000","-9,398,000","-8,561,000","-8,376,000",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"437,627,134","421,144,668","391,767,563","352,735,883","371,639,723","298,542,295","325,949,992","188,826,466","144,764,900","139,609,936",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"437,627,134","421,144,668","391,767,563","352,735,883","371,639,723","298,542,295","325,949,992","188,826,466","144,764,900","139,609,936",Financials in AUD,Fiscal year is July - June
Shares Change (YoY),11.706%,19.394%,5.416%,18.153%,14.017%,58.104%,125.158%,35.253%,3.554%,0.019%,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.084,-0.034,-0.038,-0.053,-0.049,-0.028,-0.048,-0.050,-0.059,-0.060,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.084,-0.034,-0.038,-0.053,-0.049,-0.028,-0.048,-0.050,-0.059,-0.060,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-9,293,000","-8,397,000","-11,430,000","-14,506,000","-20,272,000","-45,325,000","-24,463,000","-12,079,000","-12,610,000","-38,131,000",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.021,-0.020,-0.029,-0.041,-0.055,-0.152,-0.075,-0.064,-0.087,-0.273,Financials in AUD,Fiscal year is July - June
Operating Margin,-118.431%,-148.203%,-106.573%,-196.367%,-275.402%,-152.485%,-407.672%,-108.316%,-753.353%,-1505.088%,Financials in AUD,Fiscal year is July - June
Profit Margin,-408.275%,-153.858%,-124.353%,-218.735%,-314.434%,-151.806%,-470.632%,-179.660%,-831.973%,-1469.474%,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-102.810%,-90.106%,-95.099%,-168.381%,-350.424%,-831.194%,-733.084%,-230.912%,-1225.462%,-6689.649%,Financials in AUD,Fiscal year is July - June
EBITDA,"-5,366,000","-8,113,000","-6,934,000","-10,830,000","-12,753,000","-7,038,000","-12,933,000","-4,361,000","-7,174,000","-7,473,000",Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"5,339,000","5,698,000","5,875,000","6,087,000","3,179,000","1,277,000","671,000","1,305,000","578,000","1,106,000",Financials in AUD,Fiscal year is July - June
EBIT,"-10,705,000","-13,811,000","-12,809,000","-16,917,000","-15,932,000","-8,315,000","-13,604,000","-5,666,000","-7,752,000","-8,579,000",Financials in AUD,Fiscal year is July - June
Revenue as Reported,"8,024,000","11,050,000","13,621,000","8,054,000","5,096,000","6,142,000","8,568,000",-,"1,043,000","819,000",Financials in AUD,Fiscal year is July - June
