Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Currency,Fiscal_Year_period
Pretax Income,"-758,207","-1,365,240","-484,255","-1,759,584","-982,112","-1,346,626","-1,416,701","6,013,240","-7,689,694","392,181","-2,772,723","-1,033,531","-2,916,316","-422,434","-234,194","-48,335","7,053",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-758,207","-1,365,240","-484,255","-1,759,584","-982,112","-1,346,626","-1,416,701","6,013,240","-7,689,694","392,181","-2,772,723","-1,033,531","-2,916,316","-422,434","-234,194","-48,335","7,053",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,83,270,-,-,-,-,-,-,-,-,-119,"-9,349",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-758,207","-1,365,240","-484,255","-1,759,501","-981,842","-1,346,626","-1,416,701","6,013,240","-7,689,694","392,181","-2,772,723","-1,033,531","-2,916,316","-422,553","-243,543","-48,335","7,053",Financials in USD,Fiscal year is January - December
Net Income to Common,"-758,207","-1,365,240","-484,255","-1,759,501","-981,842","-1,346,626","-1,416,701","6,013,240","-7,689,694","392,181","-2,772,723","-1,033,531","-2,916,316","-422,553","-243,543","-48,335","7,053",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"573,580,207","559,514,158","560,910,403","515,339,023","550,277,467","518,864,169","508,357,473","505,408,892","499,182,611","494,922,474","394,315,293","90,410,416","361,702,663","372,241,904","370,172,390","19,628,432","39,021,978",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"573,580,207","559,514,158","560,910,403","515,339,023","550,277,467","518,864,169","508,357,473","505,408,892","499,182,611","494,922,474","394,315,293","90,410,416","361,702,663","372,241,904","370,172,390","19,628,432","39,021,978",Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.235%,7.834%,10.338%,1.965%,10.236%,4.837%,28.922%,459.016%,38.009%,32.957%,6.522%,360.609%,826.920%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.001,-0.002,-0.001,-0.003,-0.002,-0.003,-0.003,0.012,-0.015,0.001,-0.007,-0.011,-0.008,-0.001,-0.001,-0.002,0.000,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.001,-0.002,-0.001,-0.003,-0.002,-0.003,-0.003,0.012,-0.015,0.001,-0.007,-0.012,-0.008,-0.001,-0.001,-0.004,0.000,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-36,158","-24,028","-257,366","-204,807","-191,417","-546,133","-261,031","-715,573","-358,756","-198,256","-353,323","13,472","-1,023,928","-249,119","-48,415","-405,219",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.001,-0.001,-0.001,-0.000,-0.001,0.000,-0.003,-0.001,-0.000,-0.021,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-125.490%,-90.526%,-20.700%,7.863%,13.970%,8.097%,-15.608%,-52.511%,-,-,3.669%,-5.549%,42.303%,Financials in USD,Fiscal year is January - December
Operating Margin,-13593.180%,-3600.549%,-5411.522%,-33436.243%,-395.968%,-730.139%,-136.148%,-29.242%,-13.379%,-39.697%,-92.486%,-595.569%,-,-11609.507%,-8.663%,-73.802%,14.271%,Financials in USD,Fiscal year is January - December
Profit Margin,-25597.806%,-5673.843%,-8570.885%,-80822.278%,-639.737%,-1632.492%,-403.831%,550.693%,-588.707%,44.533%,-704.525%,-867.384%,-,-12632.377%,-74.094%,-95.482%,5.549%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1220.729%,-99.859%,-4555.150%,-9407.763%,-124.721%,-662.068%,-74.407%,-65.532%,-27.466%,-22.512%,-89.776%,11.306%,-,-7447.504%,-14.729%,-800.480%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-388,008","-845,693","-282,056","218,621","-584,231","-578,800","-454,999","1,213,613","-131,322","-287,225","-343,725","-694,083","-735,150","-371,929","-19,402","-28,287","23,351",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,10042.306%,-,-,-129.698%,111.143%,-10.054%,-32.615%,-87.338%,-,-,-,-5.903%,-55.879%,18.372%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"14,622","20,671","23,695","946,528","23,485","23,484","22,629","1,532,914","43,440","62,364","20,262","15,567","21,650","16,409","9,073","9,073","5,213",Financials in USD,Fiscal year is January - December
EBIT,"-402,630","-866,364","-305,751","-727,907","-607,716","-602,284","-477,628","-319,301","-174,762","-349,589","-363,987","-709,650","-756,800","-388,338","-28,475","-37,360","18,138",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-136.148%,-29.241%,-13.379%,-39.697%,-92.486%,-,-,-,-8.663%,-73.802%,14.271%,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,"393,559","119,155",-,"3,345","328,696","50,622","127,100",Financials in USD,Fiscal year is January - December
