Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"-143,658","-352,131","-228,058","-380,024","-398,444","-514,475","-190,041","-479,573","-257,725","-507,592",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-642,363","-1,451,090","-801,138","-1,306,520","-1,246,709","-1,113,013","-923,011","-1,088,299","-594,289","-1,703,067",Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,"105,859",-,-,"1,100,159",Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,"-2,109",-,-,-,"-12,307",-,-,-,"-148,195",-,Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-644,472","-1,451,090","-801,138","-1,306,520","-1,259,016","-1,113,013","-817,152","-1,088,299","-742,484","-602,908",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,-,-,-,-,"-35,719","-379,010",-,"-444,860",-,"-376,923",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-644,472","-1,451,090","-801,138","-1,306,520","-1,223,297","-734,003","-817,152","-643,439","-742,484","-225,985",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-644,472","-1,451,090","-801,138","-1,306,520","-1,223,297","-734,003","-817,152","-643,439","-742,484","-225,985",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"1,686,441,596","1,639,786,804","1,408,616,895","1,285,363,823","1,077,103,763","674,246,507","571,440,981","571,440,981","571,440,981","571,440,981",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"1,686,441,596","1,639,786,804","1,408,616,895","1,285,363,823","1,077,103,763","674,246,507","571,440,981","571,440,981","571,440,981","571,440,981",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),19.723%,27.574%,30.778%,90.637%,88.489%,17.991%,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-514,707","-1,008,594","-833,792","-1,152,499","-1,448,452","-597,555","-835,883","-625,640","-650,343","-2,459,442",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.004,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-343.961%,-,-1305.905%,-,-25078.649%,-,-497.862%,-503.055%,-250.076%,-441.108%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-514.754%,-,-1906.745%,-,-35926.490%,-,-525.946%,-570.344%,-231.658%,-96.913%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-411.108%,-,-1984.463%,-,-42538.972%,-,-538.002%,-554.567%,-202.910%,-1054.722%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-430,373","-1,148,829","-548,529","-930,335","-855,574","-603,412","-777,167","-559,102","-810,815","-1,002,445",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,266,266,160,372,"-1,646","2,389","-3,648","8,425","-9,300","26,149",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-430,639","-1,149,095","-548,689","-930,707","-853,928","-605,801","-773,519","-567,527","-801,515","-1,028,594",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue as Reported,-,"50,581",-,"8,494",-,534,-,"119,785",-,"270,009",Upgrade,Financials in AUD,Fiscal year is July - June
