Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Net Income to Company,"-1,012,000","-1,399,000","-1,040,000","-1,091,005","-1,618,000","-1,991,000","-2,287,000",-,"-2,727,457","-1,456,043","-1,693,736","-958,152","-1,408,908","-2,239,495","-8,150,005","-5,164,803","-5,258,760","-1,462,963","-696,441","-722,079",Upgrade,Financials in USD,Fiscal year is November - October
Net Income,"-1,012,000","-1,399,000","-1,040,000","-1,091,005","-1,618,000","-1,991,000","-2,287,000",-,"-2,727,457","-1,456,043","-1,693,736","-958,152","-1,408,908","-2,239,495","-8,150,005","-5,164,803","-5,258,760","-1,462,963","-696,441","-722,079",Upgrade,Financials in USD,Fiscal year is November - October
Net Income to Common,"-1,012,000","-1,399,000","-1,040,000","-1,091,005","-1,618,000","-1,991,000","-2,287,000",-,"-2,727,457","-1,456,043","-1,693,736","-958,152","-1,408,908","-2,239,495","-8,150,005","-5,164,803","-5,258,760","-1,462,963","-696,441","-722,079",Upgrade,Financials in USD,Fiscal year is November - October
Shares Outstanding (Basic),"6,259,975","6,173,768","6,190,794","7,033,537","7,103,521","7,265,608","7,009,549",-,"5,435,387","5,389,830","5,296,134","5,582,613","5,511,066","5,342,206","4,832,816","4,425,289","3,674,208","2,787,654","2,525,274","2,491,726",Upgrade,Financials in USD,Fiscal year is November - October
Shares Outstanding (Diluted),"6,259,975","6,173,768","6,190,794","7,033,537","7,103,521","7,265,608","7,009,549",-,"5,435,387","5,389,830","5,296,134","5,582,613","5,511,066","5,342,206","4,832,816","4,425,289","3,674,208","2,787,654","2,525,274","2,491,726",Upgrade,Financials in USD,Fiscal year is November - October
Shares Change (YoY),-11.875%,-15.028%,-11.681%,-,30.690%,34.802%,32.352%,-,-1.373%,0.891%,9.587%,26.153%,49.993%,91.638%,91.378%,77.599%,54.206%,23.319%,14.574%,13.851%,Upgrade,Financials in USD,Fiscal year is November - October
EPS (Basic),-0.162,-0.227,-0.168,-0.155,-0.228,-0.274,-0.326,-,-0.502,-0.270,-0.320,-0.172,-0.256,-0.419,-1.686,-1.167,-1.431,-0.525,-0.276,-0.290,Upgrade,Financials in USD,Fiscal year is November - October
EPS (Diluted),-0.162,-0.227,-0.168,-0.155,-0.228,-0.274,-0.326,-,-0.502,-0.270,-0.320,-0.421,-0.256,-0.419,-1.686,-1.167,-1.431,-0.525,-0.276,-0.290,Upgrade,Financials in USD,Fiscal year is November - October
Free Cash Flow,"-94,000","-415,000","-575,000","214,717","-468,000","-671,000","-1,299,000",-,"-915,783","-293,851","-715,128","-759,362","-681,450","-1,135,255","-529,029","-838,907","-412,670","-393,661","-305,955","-192,886",Upgrade,Financials in USD,Fiscal year is November - October
Free Cash Flow Per Share,-0.015,-0.067,-0.093,0.031,-0.066,-0.092,-0.185,-,-0.168,-0.055,-0.135,-0.136,-0.124,-0.213,-0.109,-0.190,-0.112,-0.141,-0.121,-0.077,Upgrade,Financials in USD,Fiscal year is November - October
Gross Margin,83.868%,74.889%,86.222%,90.653%,86.732%,87.219%,90.280%,-,87.815%,92.714%,90.675%,93.557%,90.054%,88.593%,87.711%,89.758%,86.850%,84.006%,85.692%,81.867%,Upgrade,Financials in USD,Fiscal year is November - October
Operating Margin,-107.058%,-138.019%,-100.693%,-78.944%,-118.428%,-226.391%,-203.364%,-,-161.243%,-72.515%,-102.644%,-57.163%,-101.832%,-186.884%,-596.691%,-523.419%,-683.755%,-222.922%,-98.829%,-121.360%,Upgrade,Financials in USD,Fiscal year is November - October
Profit Margin,-92.759%,-123.696%,-90.121%,-76.730%,-132.514%,-235.621%,-213.738%,-,-159.201%,-83.913%,-105.915%,-57.510%,-102.998%,-187.394%,-595.569%,-525.271%,-685.330%,-240.528%,-99.927%,-123.297%,Upgrade,Financials in USD,Fiscal year is November - October
Free Cash Flow Margin,-8.616%,-36.693%,-49.827%,15.101%,-38.329%,-79.408%,-121.402%,-,-53.454%,-16.935%,-44.719%,-45.578%,-49.817%,-94.994%,-38.659%,-85.319%,-53.780%,-64.722%,-43.899%,-32.936%,Upgrade,Financials in USD,Fiscal year is November - October
EBITDA,"-1,150,000","-1,542,000","-1,143,000","-1,105,990","-1,288,000","-1,757,000","-2,020,000",-,"-2,725,494","-1,239,657","-1,627,262","-937,661","-1,379,832","-2,220,739","-8,153,169","-5,135,701","-5,235,961","-1,347,153","-682,351","-704,818",Upgrade,Financials in USD,Fiscal year is November - October
EBITDA Margin,-105.408%,-136.339%,-99.047%,-77.783%,-105.487%,-207.929%,-188.785%,-,-159.087%,-71.443%,-101.758%,-56.280%,-100.873%,-185.824%,-,-,-,-221.487%,-97.906%,-120.349%,Upgrade,Financials in USD,Fiscal year is November - October
D&A For EBITDA,"18,000","19,000","19,000","16,499","158,000","156,000","156,000","262,797","36,936","18,605","14,170","14,721","13,125","12,664","12,192","10,896","10,720","8,725","6,434","5,922",Upgrade,Financials in USD,Fiscal year is November - October
EBIT,"-1,168,000","-1,561,000","-1,162,000","-1,122,489","-1,446,000","-1,913,000","-2,176,000",-,"-2,762,430","-1,258,262","-1,641,432","-952,382","-1,392,957","-2,233,403","-8,165,361","-5,146,597","-5,246,681","-1,355,878","-688,785","-710,740",Upgrade,Financials in USD,Fiscal year is November - October
EBIT Margin,-107.058%,-138.019%,-100.693%,-78.944%,-118.427%,-226.390%,-203.364%,-,-161.243%,-72.515%,-102.644%,-57.163%,-101.832%,-186.884%,-,-,-,-222.922%,-98.829%,-121.360%,Upgrade,Financials in USD,Fiscal year is November - October
