Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,null 2020,Q1 2020,Q4 2019,+1 Quarters,Currency,Fiscal_Year_period
Earnings From Continuing Operations,"-42,567,000","-21,764,000","-4,822,000","-77,286,000","-17,764,000","-13,061,000","-9,237,000","-216,110,000","-42,993,000","-9,847,000","77,000","-6,826,000","-11,962,000","-29,590,000","-6,620,000","-83,391,000","86,876,000",-,"20,593,000","4,896,883",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,884,000","-4,884,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-42,567,000","-21,764,000","-4,822,000","-77,286,000","-17,764,000","-13,061,000","-9,237,000","-216,110,000","-42,993,000","-9,847,000","77,000","-6,826,000","-11,962,000","-29,590,000","-6,620,000","-78,507,000","81,992,000",-,"20,593,000","4,896,883",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,"78,000","-78,000",-,-,-,-,-,"-291,000","-594,000","-551,000","-98,000","-1,266,000","-1,200,000","-135,000",-,"-168,000","-858,250",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-42,567,000","-21,764,000","-4,822,000","-77,208,000","-17,842,000","-13,061,000","-9,237,000","-216,110,000","-42,993,000","-9,847,000","-214,000","-7,420,000","-12,513,000","-29,688,000","-7,886,000","-79,707,000","81,857,000",-,"20,425,000","4,038,633",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-42,567,000","-21,764,000","-4,822,000","-77,208,000","-17,842,000","-13,061,000","-9,237,000","-216,110,000","-42,993,000","-9,847,000","-214,000","-7,420,000","-12,513,000","-29,688,000","-7,886,000","-79,707,000","81,857,000",-,"20,425,000","4,038,633",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22806.418%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"351,168,596","345,020,397","344,083,000","343,642,118","343,432,601","342,533,911","341,478,860","337,916,660","332,872,464","328,519,193","326,285,814","315,888,751","313,674,044","300,715,671","230,582,166","16,033,051","15,868,627",-,-,"13,915,502",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"351,168,596","345,020,397","344,083,000","343,642,118","343,432,601","342,533,911","341,478,860","337,916,660","332,872,464","328,519,193","326,285,814","315,888,751","313,674,044","300,715,671","230,582,166","16,033,051","15,868,627",-,-,"13,915,502",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.253%,0.726%,0.763%,1.694%,3.172%,4.266%,4.656%,6.973%,6.121%,9.246%,41.505%,1870.235%,1876.693%,-,-,15.217%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.121,-0.063,-0.014,-0.225,-0.052,-0.038,-0.027,-0.640,-0.129,-0.030,-0.001,-0.023,-0.040,-0.099,-0.034,-4.971,5.158,-,-,0.290,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.121,-0.063,-0.014,-0.225,-0.052,-0.040,-0.030,-0.640,-0.130,-0.030,-0.001,-0.023,-0.040,-0.100,-0.034,-5.003,5.158,-,-,0.290,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-26,856,000","-10,595,000","21,342,000","22,522,000","26,659,000","15,892,000","8,307,000","19,582,000","-1,206,000","-29,360,000","-13,843,000","13,694,000","32,853,000","6,532,000","-11,472,000","-9,115,000",-,-,"5,823,000","-10,344,769",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.076,-0.031,0.062,0.066,0.078,0.046,0.024,0.058,-0.004,-0.089,-0.042,0.043,0.105,0.022,-0.050,-0.569,-,-,-,-0.743,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,50.349%,51.414%,51.042%,49.585%,55.488%,49.203%,48.086%,45.739%,54.042%,43.867%,51.044%,51.745%,47.562%,34.767%,59.667%,-85.533%,178.710%,-,110.367%,57.600%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,7.739%,12.260%,10.244%,13.452%,19.536%,13.041%,14.948%,9.870%,16.382%,-0.960%,6.759%,13.066%,10.522%,-0.403%,24.376%,-108.756%,160.339%,-,89.302%,24.055%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-19.645%,-9.786%,-2.179%,-32.551%,-7.431%,-5.579%,-4.068%,-95.655%,-18.891%,-4.403%,-0.106%,-3.510%,-6.060%,-14.914%,-6.523%,-107.666%,127.204%,-,47.667%,16.598%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-12.394%,-4.764%,9.644%,9.495%,11.104%,6.788%,3.659%,8.667%,-0.530%,-13.127%,-6.845%,6.477%,15.912%,3.281%,-9.489%,-12.312%,-,-,13.590%,-42.516%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"53,635,000","62,999,000","58,223,000","67,481,000","82,170,000","65,768,000","68,998,000","57,455,000","73,603,000","33,329,000","48,103,000","58,249,000","51,287,000","23,471,000","41,252,000","-79,660,217","106,073,000",-,"40,441,000","6,243,029",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,24.753%,28.328%,26.309%,28.450%,34.225%,28.092%,30.387%,25.431%,32.340%,14.902%,23.786%,27.551%,24.840%,11.790%,34.122%,-107.602%,164.835%,-,94.380%,25.658%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"36,865,000","35,733,000","35,552,000","35,574,000","35,266,000","35,237,000","35,056,000","35,157,000","36,319,000","35,477,000","34,434,000","30,624,000","29,563,000","24,274,000","11,783,000","853,783","2,893,000","2,863,000","2,176,000","390,003",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"16,770,000","27,266,000","22,671,000","31,907,000","46,904,000","30,531,000","33,942,000","22,298,000","37,284,000","-2,148,000","13,669,000","27,625,000","21,724,000","-803,000","29,469,000","-80,514,000","103,180,000",-,"38,265,000","5,853,026",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,7.739%,12.260%,10.244%,13.452%,19.536%,13.041%,14.948%,9.870%,16.382%,-0.960%,6.759%,13.066%,10.522%,-0.403%,24.376%,-108.756%,160.339%,-,89.302%,24.055%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,1562.281%,348.277%,172.457%,-,165.712%,189.349%,148.404%,-,262.926%,883.997%,99.699%,122.585%,179.093%,-,167.592%,-,17.067%,-,40.249%,46.290%,Upgrade,Financials in USD,Fiscal year is January - December
