Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Shares Outstanding (Diluted),"131,528,808","131,316,879","131,292,312","131,584,092","131,647,961","130,924,747","130,924,747","130,924,747","130,924,747","130,924,747","130,369,919","122,818,595","121,671,149","121,632,019","167,336,491","167,830,806","167,115,439","167,115,439",Financials in CAD,Fiscal year is April - March
Shares Change (YoY),-0.091%,0.300%,0.281%,0.504%,0.552%,-,0.426%,6.600%,7.605%,7.640%,-22.091%,-26.820%,-27.193%,-27.217%,-,-,-,-,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.008,-0.004,-0.010,-0.012,-0.005,-0.008,-0.012,-0.004,-0.003,-0.000,-0.011,-0.003,-0.010,0.001,-0.001,-0.002,-0.002,-0.002,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.010,-0.004,-0.010,-0.012,-0.010,-0.010,-0.012,-0.004,-0.003,-0.000,-0.011,-0.003,-0.010,0.001,-,-0.002,-0.002,-0.002,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"689,562","35,418","-1,359,786","-1,958,730","-664,171","-1,366,951","-1,491,201","-1,608,730","-426,594","-1,707,914","-2,061,244","137,593","-320,908","-1,850,476","-1,785,523","-1,161,805","-1,398,966","-1,608,191",Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,0.005,0.000,-0.010,-0.015,-0.005,-0.010,-0.011,-0.012,-0.003,-0.013,-0.016,0.001,-0.003,-0.015,-0.011,-0.007,-0.008,-0.010,Financials in CAD,Fiscal year is April - March
Gross Margin,17.948%,34.531%,-9.255%,20.163%,26.193%,40.474%,-75.327%,64.626%,66.929%,55.978%,-4.192%,98.896%,-14.300%,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Operating Margin,-42.632%,-11.379%,-76.227%,-88.237%,-40.027%,-79.186%,-125.849%,-30.147%,-15.557%,8.303%,-418.996%,-32.712%,-81.050%,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Profit Margin,-57.756%,-22.617%,-89.958%,-116.505%,-55.854%,-94.515%,-112.380%,-55.514%,-35.827%,-2.693%,-463.838%,-63.538%,-109.609%,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,38.162%,1.479%,-91.741%,-141.099%,-56.019%,-116.417%,-110.003%,-154.924%,-33.744%,-86.974%,-654.922%,26.839%,-27.738%,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
EBITDA,"-306,141","-35,518","-792,771","-786,767","-36,037","-537,716","-1,556,733","-9,532","173,879","548,033","-1,217,927","203,388","-643,439","373,227","-152,358","-248,951","-259,172","-218,766",Financials in CAD,Fiscal year is April - March
EBITDA Margin,-16.942%,-1.484%,-53.486%,-56.675%,-3.039%,-45.795%,-114.837%,-0.918%,13.754%,27.908%,-,39.673%,-55.616%,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"464,206","236,911","337,058","438,135","438,529","392,080","149,281","303,510","370,557","384,993","100,784","371,086","294,255","80,255","4,959","119,733","119,568","119,568",Financials in CAD,Fiscal year is April - March
EBIT,"-770,347","-272,429","-1,129,829","-1,224,902","-474,566","-929,796","-1,706,014","-313,042","-196,678","163,040","-1,318,711","-167,698","-937,694","292,972","-157,317","-368,684","-378,740","-338,334",Financials in CAD,Fiscal year is April - March
EBIT Margin,-42.632%,-11.379%,-76.227%,-88.237%,-40.027%,-79.186%,-125.849%,-30.146%,-15.557%,8.303%,-,-32.712%,-81.050%,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Revenue as Reported,"1,806,957","2,394,159","5,230,194",-,"1,185,611","1,174,189","5,621,933",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
