Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"-23,294","1,796",-210,-364,-,"66,665",-1,2,1,"607,769","146,877","-746,126","-8,403","-103,282","19,727","48,064",-,"-3,227","101,167",Financials in CAD,Fiscal year is July - June
EBT Excluding Unusual Items,"-356,711","-2,664,983","-349,581","-771,622","-208,999","-3,158,361","-1,050,686","-129,457","-968,622","-2,784,111","-548,637","-211,279","120,673","1,312,493","975,480","-115,123","-214,349","-95,422","-220,434",Financials in CAD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,"63,055","-1,950,095","-100,000",-,-,"3,227",Financials in CAD,Fiscal year is July - June
Pretax Income,"-356,711","-2,664,983","-349,581","-771,622","-208,999","-3,158,361","-1,050,686","-129,457","-968,622","-2,784,111","-548,637","-211,279","120,673","1,375,548","-974,615","-215,123","-214,349","-95,422","-217,207",Financials in CAD,Fiscal year is July - June
Income Tax Expense,-,-,-,-,-,-,-,-,-,"-335,447",-,"-4,030","-4,030","335,447",-,-,-,-,-,Financials in CAD,Fiscal year is July - June
Net Income,"-356,711","-2,664,983","-349,581","-771,622","-208,999","-3,158,361","-1,050,686","-129,457","-968,622","-2,448,664","-548,637","-207,249","124,703","1,040,101","-974,615","-215,123","-214,349","-95,422","-217,207",Financials in CAD,Fiscal year is July - June
Net Income to Common,"-356,711","-2,664,983","-349,581","-771,622","-208,999","-3,158,361","-1,050,686","-129,457","-968,622","-2,448,664","-548,637","-207,249","124,703","1,040,101","-974,615","-215,123","-214,349","-95,422","-217,207",Financials in CAD,Fiscal year is July - June
Shares Outstanding (Basic),"194,703,863","194,578,003","192,786,006","160,529,949","160,486,062","158,555,491","157,028,030","155,308,921","129,701,218","121,283,138","121,686,867","118,769,391","104,597,633","103,175,929","85,770,422","80,633,137","79,027,473","72,878,914","82,724,937",Financials in CAD,Fiscal year is July - June
Shares Outstanding (Diluted),"194,703,863","194,578,003","192,786,006","160,529,949","160,486,062","158,555,491","157,028,030","155,308,921","129,701,218","121,283,138","121,686,867","118,769,391","104,597,633","103,175,929","85,770,422","80,633,137","79,027,473","72,878,914","82,724,937",Financials in CAD,Fiscal year is July - June
Shares Change (YoY),21.321%,22.719%,22.772%,3.362%,23.735%,30.732%,29.043%,30.765%,24.000%,17.550%,41.875%,47.296%,32.356%,41.572%,3.681%,-,-,-,-,Financials in CAD,Fiscal year is July - June
EPS (Basic),-0.002,-0.014,-0.002,-0.005,-0.001,-0.020,-0.007,-0.001,-0.007,-0.020,-0.005,-0.002,0.001,0.010,-0.011,-0.003,-0.003,-0.001,-0.003,Financials in CAD,Fiscal year is July - June
EPS (Diluted),-0.002,-0.014,-0.002,-0.005,-0.001,-0.020,-0.007,-0.001,-0.007,-0.020,-0.005,-0.002,0.001,0.010,-0.011,-0.003,-0.003,-0.001,-0.003,Financials in CAD,Fiscal year is July - June
Free Cash Flow,"573,267","-3,442,267","1,062,324","1,136,932","568,511","-1,181,847","348,579","168,890","-285,573","1,325,164","-566,074","-1,365,973","294,170","1,223,353","-1,636,011","-322,938","28,048","-98,751",-,Financials in CAD,Fiscal year is July - June
Free Cash Flow Per Share,0.003,-0.018,0.006,0.007,0.004,-0.007,0.002,0.001,-0.002,0.011,-0.005,-0.012,0.003,0.012,-0.019,-0.004,0.000,-0.001,-,Financials in CAD,Fiscal year is July - June
Gross Margin,38.241%,18.083%,37.293%,36.720%,35.123%,24.734%,29.423%,44.014%,17.885%,-22.228%,8.919%,52.398%,49.896%,86.592%,70.137%,19.366%,21.387%,79.460%,-,Financials in CAD,Fiscal year is July - June
Operating Margin,-1.679%,-36.085%,-4.704%,-10.324%,-1.132%,-71.231%,-36.619%,-4.634%,-46.473%,-154.506%,-28.402%,18.671%,6.918%,54.135%,38.407%,-2.394%,-6.185%,75.225%,-3402.105%,Financials in CAD,Fiscal year is July - June
Profit Margin,-4.295%,-41.769%,-5.389%,-13.292%,-3.231%,-70.217%,-36.829%,-4.185%,-47.304%,-113.364%,-22.962%,-6.976%,6.683%,39.115%,-37.107%,-13.789%,-27.202%,-15.841%,-2297.757%,Financials in CAD,Fiscal year is July - June
Free Cash Flow Margin,6.903%,-53.952%,16.376%,19.584%,8.790%,-26.275%,12.219%,5.460%,-13.946%,61.350%,-23.692%,-45.980%,15.766%,46.007%,-62.288%,-20.700%,3.559%,-16.394%,-,Financials in CAD,Fiscal year is July - June
EBITDA,"66,830","-2,023,665",-298,"-288,195","118,478","-2,999,626","-855,567","47,628","-869,780","-3,285,481","-596,398","631,926","204,025","1,489,548","1,058,612","5,454","-12,528","508,141","-306,107",Financials in CAD,Fiscal year is July - June
EBITDA Margin,0.805%,-31.718%,-0.004%,-4.964%,1.832%,-66.688%,-29.990%,1.540%,-42.477%,-152.106%,-24.961%,21.271%,10.934%,56.017%,40.305%,0.349%,-1.590%,84.356%,-,Financials in CAD,Fiscal year is July - June
D&A For EBITDA,"206,282","278,618","304,859","311,178","191,723","204,329","189,132","190,965","81,834","51,850","82,223","77,259","74,949","50,042","49,858","42,805","36,207","55,005","15,494",Financials in CAD,Fiscal year is July - June
EBIT,"-139,452","-2,302,283","-305,157","-599,373","-73,245","-3,203,955","-1,044,699","-143,337","-951,614","-3,337,331","-678,621","554,667","129,076","1,439,506","1,008,754","-37,351","-48,735","453,136","-321,601",Financials in CAD,Fiscal year is July - June
EBIT Margin,-1.679%,-36.085%,-4.704%,-10.324%,-1.132%,-71.231%,-36.619%,-4.634%,-46.473%,-154.506%,-28.402%,18.671%,6.918%,54.135%,38.407%,-2.394%,-6.185%,75.225%,-,Financials in CAD,Fiscal year is July - June
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,24.386%,-,-,-,-,-,Financials in CAD,Fiscal year is July - June
Revenue as Reported,"8,305,169","6,380,224","6,487,158","5,805,378","6,468,014","4,497,977","2,852,865","3,093,328","2,047,669","2,159,999","2,389,341","2,970,774","1,865,878","2,659,087","2,626,516","1,560,073","787,980","602,376","9,453",Financials in CAD,Fiscal year is July - June
