Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Legal Settlements,-,-,-,-,-,-,-,-,-,-,"-5,000,000",-,-,-,"-36,511,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,"-1,570,000","-2,263,000","-2,610,000","-4,248,000","-3,923,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-18,489,000","-9,678,000","-5,653,000","-7,369,000","-4,514,000","5,578,000","-8,455,000","-3,114,000","-5,684,000","-9,700,000","-20,708,000","-8,069,000","-719,000","-32,902,000","-39,247,000","-513,000","728,000","-673,000","-4,681,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"9,767,000","12,106,000","12,510,000","11,974,000","6,726,000","4,737,000","10,017,000","11,936,000","11,178,000","11,472,000","7,107,000","8,442,000","12,307,000","11,995,000","8,976,000","6,990,000","5,643,000","3,632,000","2,437,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-28,256,000","-21,784,000","-18,163,000","-19,343,000","-11,240,000","841,000","-18,472,000","-15,050,000","-16,862,000","-21,172,000","-27,815,000","-16,511,000","-13,026,000","-44,897,000","-48,223,000","-7,503,000","-4,915,000","-4,305,000","-7,118,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-501,000","-737,000","-360,000",Financials in USD,Fiscal year is January - December
Net Income,"-28,256,000","-21,784,000","-18,163,000","-19,343,000","-11,240,000","841,000","-18,472,000","-15,050,000","-16,862,000","-21,172,000","-27,815,000","-16,511,000","-13,026,000","-44,897,000","-48,223,000","-7,503,000","-5,416,000","-5,042,000","-7,478,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-28,256,000","-21,784,000","-18,163,000","-19,343,000","-11,240,000","841,000","-18,472,000","-15,050,000","-16,862,000","-21,172,000","-27,815,000","-16,511,000","-13,026,000","-44,897,000","-48,223,000","-7,503,000","-5,416,000","-5,042,000","-7,478,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"214,290,000","213,160,000","208,954,000","206,611,000","205,710,000","195,650,000","188,487,000","188,026,000","187,697,000","185,308,000","172,494,000","171,074,000","169,879,000","150,341,000","106,443,000","104,504,000","96,515,000","89,821,000","89,821,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"214,290,000","213,160,000","208,954,000","206,611,000","205,710,000","195,650,000","188,487,000","188,026,000","187,697,000","185,308,000","172,494,000","171,074,000","169,879,000","150,341,000","106,443,000","104,504,000","96,515,000","89,821,000","89,821,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.171%,8.950%,10.859%,9.884%,9.597%,5.581%,9.272%,9.909%,10.489%,23.258%,62.053%,63.701%,76.013%,67.378%,18.506%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.132,-0.102,-0.087,-0.094,-0.055,0.004,-0.098,-0.080,-0.090,-0.114,-0.161,-0.097,-0.077,-0.299,-0.453,-0.072,-0.056,-0.056,-0.083,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.132,-0.102,-0.087,-0.094,-0.055,0.004,-0.098,-0.080,-0.090,-0.114,-0.161,-0.097,-0.077,-0.299,-0.453,-0.074,-0.056,-0.056,-0.083,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,000,000","26,897,000","-3,281,000","8,432,000","16,194,000","20,682,000","5,778,000","-34,754,000","-32,297,000","-32,488,000","-20,459,000","-36,954,000","-25,111,000","-36,921,000","-31,180,000","-8,690,000","-9,599,000","-10,434,000","-3,700,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.014,0.126,-0.016,0.041,0.079,0.106,0.031,-0.185,-0.172,-0.175,-0.119,-0.216,-0.148,-0.246,-0.293,-0.083,-0.099,-0.116,-0.041,Financials in USD,Fiscal year is January - December
Gross Margin,30.872%,29.373%,36.540%,33.919%,30.832%,23.026%,32.646%,39.050%,35.281%,38.171%,32.166%,34.844%,43.392%,41.402%,44.857%,42.172%,44.250%,47.975%,33.162%,Financials in USD,Fiscal year is January - December
Operating Margin,-1.706%,-1.075%,1.800%,0.402%,2.511%,-6.317%,1.211%,6.926%,4.307%,3.663%,-5.922%,-0.876%,12.992%,4.683%,6.836%,8.196%,8.082%,9.805%,-9.548%,Financials in USD,Fiscal year is January - December
Profit Margin,-19.948%,-15.391%,-12.754%,-13.801%,-7.957%,0.684%,-16.179%,-13.426%,-15.158%,-21.715%,-32.689%,-18.658%,-13.801%,-53.855%,-72.914%,-13.822%,-13.059%,-19.863%,-33.100%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2.118%,19.004%,-2.304%,6.016%,11.463%,16.816%,5.061%,-31.003%,-29.034%,-33.321%,-24.044%,-41.758%,-26.606%,-44.287%,-47.145%,-16.009%,-23.145%,-41.105%,-16.377%,Financials in USD,Fiscal year is January - December
EBITDA,"7,076,000","6,917,000","11,627,000","7,863,000","11,563,000","-7,363,000","16,419,000","12,801,000","7,413,000","6,213,000","671,000","1,429,000","13,786,000","6,573,000","8,819,000","5,600,000","6,079,000","4,111,000","607,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,4.995%,4.887%,8.164%,5.610%,8.185%,-5.987%,14.380%,11.419%,6.664%,6.372%,0.788%,1.615%,14.607%,7.884%,13.334%,10.316%,14.658%,16.195%,2.687%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"9,493,000","8,439,000","9,063,000","7,299,000","8,016,000","406,000","15,036,000","5,037,000","2,622,000","2,642,000","5,710,000","2,204,000","1,524,000","2,669,000","4,298,000","1,151,000","2,727,000","1,622,000","2,764,000",Financials in USD,Fiscal year is January - December
EBIT,"-2,417,000","-1,522,000","2,564,000","564,000","3,547,000","-7,769,000","1,383,000","7,764,000","4,791,000","3,571,000","-5,039,000","-775,000","12,262,000","3,904,000","4,521,000","4,449,000","3,352,000","2,489,000","-2,157,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-1.706%,-1.075%,1.800%,0.402%,2.511%,-6.317%,1.211%,6.926%,4.307%,3.663%,-5.922%,-0.876%,12.992%,4.683%,6.836%,8.196%,8.082%,9.805%,-9.548%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,84.923%,-,-,-,-,-,-,-,-,-,-,775.137%,-,-,Financials in USD,Fiscal year is January - December
