Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
EBT Excluding Unusual Items,"35,873,279","14,805,699","30,978,772","14,599,951","25,595,087","8,725,828","19,772,089","5,810,821","10,803,647","610,553",Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-107,107,Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,-,-,"129,734",-,"126,611",-,Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"35,873,279","14,805,699","30,978,772","14,599,951","25,595,087","8,725,828","19,901,823","5,810,821","10,930,151","610,660",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,"11,172,963","3,869,656","11,761,881","3,212,276","10,587,002","2,855,448","1,660,896","-676,499","-3,510,388",-,Upgrade,Financials in AUD,Fiscal year is July - June
Earnings From Continuing Operations,"24,700,316","10,936,043","19,216,891","11,387,675","15,008,085","5,870,380","18,240,927","6,487,320","14,440,539","610,660",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"24,700,316","10,936,043","19,216,891","11,387,675","15,008,085","5,870,380","18,240,927","6,487,320","14,440,539","610,660",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"24,700,316","10,936,043","19,216,891","11,387,675","15,008,085","5,870,380","18,240,927","6,487,320","14,440,539","610,660",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income Growth,28.534%,-3.966%,28.044%,93.985%,-17.723%,-9.510%,26.317%,962.346%,2.716%,-85.016%,Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"50,121,359","49,546,711","49,410,338","49,410,338","49,410,338","49,410,338","50,180,891","48,639,785","50,180,885","48,339,167",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"50,468,318","51,585,108","51,869,835","51,762,159","52,058,327","51,494,561","51,180,881","51,081,259","50,180,885","50,888,333",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),-2.702%,-0.342%,-0.362%,0.520%,1.714%,0.809%,1.993%,0.379%,1.375%,2.388%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),0.493,0.221,0.389,0.230,0.304,0.119,0.364,0.133,0.288,0.013,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),0.489,0.212,0.371,0.220,0.288,0.114,0.357,0.127,0.287,0.012,Upgrade,Financials in AUD,Fiscal year is July - June
EPS Growth,31.870%,-3.636%,28.742%,92.982%,-19.263%,-10.236%,24.104%,958.333%,1.080%,-85.366%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"10,399,373","21,078,294","15,256,568","20,627,963","22,169,988","17,267,856","10,014,784","8,392,952","8,759,151","4,540,391",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,0.206,0.409,0.294,0.399,0.426,0.335,0.196,0.164,0.175,0.089,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,62.610%,42.368%,61.011%,48.553%,63.700%,38.266%,66.541%,43.772%,50.712%,7.948%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,44.604%,33.340%,39.254%,38.778%,36.711%,23.632%,55.997%,41.207%,63.912%,6.124%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,18.779%,64.259%,31.165%,70.243%,54.230%,69.514%,30.744%,53.312%,38.767%,45.536%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"34,848,951","14,473,010","29,889,235","14,634,340","26,075,287","9,898,297","21,728,018","7,338,237","11,576,787","838,241",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"177,754","575,430","21,174","376,086","34,005","392,695","52,541","447,084","118,728","45,746",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"34,671,197","13,897,580","29,868,061","14,258,254","26,041,282","9,505,602","21,675,477","6,891,153","11,458,059","792,495",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue as Reported,"59,575,840","35,729,897","52,014,078","30,976,178",-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
