Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Impairment of Goodwill,-,-,-,-,-,-,-,"-18,057,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"42,000","-22,000","754,000","-137,000","-1,000",-,"-6,000",-,-,-,"28,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"32,900,000",-,-,"-13,141,000","-6,926,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-1,366,000",-,-,-,-,-,-,"1,827,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,834,000","-3,876,000","-3,041,000","-2,416,000","-6,950,000","-65,808,000","-27,008,000","-40,371,000","-22,700,000","-24,567,000","-19,055,000","-9,955,000","-15,169,000","-13,981,000","-13,091,000","-10,090,000","-8,259,000","-7,901,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"-3,461,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-4,834,000","-3,876,000","-3,041,000","-2,416,000","-6,950,000","-62,347,000","-27,008,000","-40,371,000","-22,700,000","-24,567,000","-19,055,000","-9,955,000","-15,169,000","-13,981,000","-13,091,000","-10,090,000","-8,259,000","-7,901,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,834,000","-3,876,000","-3,041,000","-2,416,000","-6,950,000","-62,347,000","-27,008,000","-40,371,000","-22,700,000","-24,567,000","-19,055,000","-9,955,000","-15,169,000","-13,981,000","-13,091,000","-10,090,000","-8,259,000","-7,901,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,605,763","1,605,763","1,605,593","1,604,967","1,604,795","1,602,852","1,597,609","1,590,938","1,585,978","1,584,297","1,583,056","1,581,505","1,579,328","467,775","279,409","275,284","268,977","262,241",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,605,763","1,605,763","1,605,593","1,604,967","1,604,795","1,602,852","1,597,609","1,590,938","1,585,978","1,584,297","1,583,056","1,581,505","1,579,328","467,775","279,409","275,284","268,977","262,241",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.060%,0.182%,0.500%,0.882%,1.186%,1.171%,0.919%,0.596%,0.421%,238.688%,466.573%,474.499%,487.161%,78.376%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.010,-2.414,-1.894,-1.505,-4.331,-38.898,-16.905,-25.376,-14.313,-15.507,-12.037,-6.295,-9.605,-29.888,-46.852,-36.653,-30.705,-30.129,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.010,-2.414,-1.894,-1.505,-4.331,-38.898,-16.905,-25.376,-14.313,-15.507,-12.037,-6.295,-9.605,-29.888,-46.852,-36.653,-30.705,-30.129,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,726,000","-4,362,000","-3,692,000","-5,261,000","-9,157,000","-13,395,000","-14,323,000","-19,422,000","-16,733,000","-26,555,000","-15,789,000","-16,713,000","-26,566,000","-24,048,000","-12,428,000","-7,131,000","-8,360,000","-6,043,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.943,-2.716,-2.299,-3.278,-5.706,-8.357,-8.965,-12.208,-10.551,-16.761,-9.974,-10.568,-16.821,-51.409,-44.480,-25.904,-31.081,-23.044,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-36.974%,-,-265.184%,-,-,-246.318%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-15426.168%,-257287.500%,-15438.406%,-6018.283%,-6943.503%,-2365.012%,-87.569%,-601.272%,-393.301%,-726.729%,-569.226%,-355.896%,-438.783%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-58268.224%,-337600.000%,-29254.348%,-6288.089%,-6939.831%,-2364.144%,-87.763%,-536.007%,-393.498%,-724.460%,-569.735%,-351.596%,-440.904%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-12518.692%,-179037.500%,-14073.913%,-4635.180%,-7501.412%,-1958.933%,-147.342%,-938.728%,-676.836%,-687.770%,-402.654%,-355.896%,-337.221%,Financials in USD,Fiscal year is January - December
EBITDA,"-6,065,000","-5,121,000","-4,637,000","-3,683,000","-9,023,000","-15,139,000","-19,175,000","-19,900,000","-20,363,000","-23,249,000","-18,384,000","-9,295,000","-16,399,000","-13,606,000","-12,916,000","-9,876,000","-8,152,000","-7,702,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-81.945%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"44,000","43,000","44,000","52,000","57,000","1,367,000","1,408,000","1,405,000","1,363,000","1,331,000","678,000","638,000","617,000","368,000","216,000","205,000","208,000","161,000",Financials in USD,Fiscal year is January - December
EBIT,"-6,109,000","-5,164,000","-4,681,000","-3,735,000","-9,080,000","-16,506,000","-20,583,000","-21,305,000","-21,726,000","-24,580,000","-19,062,000","-9,933,000","-17,016,000","-13,974,000","-13,132,000","-10,081,000","-8,360,000","-7,863,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-87.569%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,"107,000","8,000","138,000","361,000","354,000","806,000","11,343,000","2,830,000","3,553,000","1,807,000","1,771,000","2,349,000","1,792,000",Financials in USD,Fiscal year is January - December
