Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Interest Expense,"-1,522,000","-1,534,000","-1,587,000","-1,289,000","-740,000","-640,000","-623,000","-578,000","-68,000","-76,000",Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"16,000","40,000","146,000","15,000",-,"1,000","5,000","23,000","81,000","176,000",Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"42,000","-261,000","-374,000","-105,000","455,000","84,000","40,000","-518,000","3,903,000","22,000",Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"455,000","290,000","53,000","123,000","-1,222,000","1,451,000","2,957,000","44,000","648,000","52,000",Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-10,362,000","-6,573,000","-13,926,000","-11,447,000","-13,525,000","-9,598,000","-4,439,000","-8,004,000","7,103,000","8,548,000",Financials in AUD,Fiscal year is July - June
Merger & Restructuring Charges,"895,000","-895,000","12,292,000","-12,292,000",-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Impairment of Goodwill,-,"-26,820,000",-,-,-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Asset Writedown,"-997,000","-10,910,000","-5,809,000",-,-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Other Unusual Items,"12,036,000",-,"3,484,000",-,"1,375,000",-,"1,967,000","433,000","1,600,000",-,Financials in AUD,Fiscal year is July - June
Pretax Income,"1,572,000","-45,198,000","-3,959,000","-23,739,000","-12,150,000","-9,598,000","-2,472,000","-7,571,000","8,703,000","8,548,000",Financials in AUD,Fiscal year is July - June
Income Tax Expense,"6,000","-320,000","17,343,000","-7,336,000","-4,174,000","-2,904,000","-1,032,000","-2,025,000","2,625,000","1,470,000",Financials in AUD,Fiscal year is July - June
Earnings From Continuing Operations,"1,566,000","-44,878,000","-21,302,000","-16,403,000","-7,976,000","-6,694,000","-1,440,000","-5,546,000","6,078,000","7,078,000",Financials in AUD,Fiscal year is July - June
Earnings From Discontinued Operations,"-1,029,000","-811,000","-1,003,000","-1,205,000",-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Net Income to Company,"537,000","-45,689,000","-22,305,000","-17,608,000","-7,976,000","-6,694,000","-1,440,000","-5,546,000","6,078,000","7,078,000",Financials in AUD,Fiscal year is July - June
Minority Interest in Earnings,"697,000","111,000",-,-,-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Net Income,"1,234,000","-45,578,000","-22,305,000","-17,608,000","-7,976,000","-6,694,000","-1,440,000","-5,546,000","6,078,000","7,078,000",Financials in AUD,Fiscal year is July - June
Net Income to Common,"1,234,000","-45,578,000","-22,305,000","-17,608,000","-7,976,000","-6,694,000","-1,440,000","-5,546,000","6,078,000","7,078,000",Financials in AUD,Fiscal year is July - June
Net Income Growth,-,-,-,-,-,-,-,-,-4.987%,-,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"365,564,983","354,942,741","335,736,702","335,603,932","335,304,180","329,762,160","325,453,901","320,039,217","300,342,808","293,516,056",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"365,564,983","354,942,741","335,736,702","335,603,932","335,304,180","329,762,160","325,453,901","320,039,217","306,265,702","300,065,674",Financials in AUD,Fiscal year is July - June
Shares Change (YoY),8.884%,5.762%,0.129%,1.772%,3.027%,3.038%,6.265%,6.656%,0.453%,21.244%,Financials in AUD,Fiscal year is July - June
EPS (Basic),0.003,-0.128,-0.066,-0.052,-0.024,-0.020,-0.004,-0.017,0.020,0.024,Financials in AUD,Fiscal year is July - June
EPS (Diluted),0.003,-0.128,-0.066,-0.052,-0.024,-0.020,-0.004,-0.017,0.020,0.024,Financials in AUD,Fiscal year is July - June
EPS Growth,-,-,-,-,-,-,-,-,-5.335%,-,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-6,671,000","-10,558,000","-1,750,000","-6,868,000","-6,527,000","-6,860,000","-4,312,000","-9,826,000","-14,397,000","-2,399,000",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.018,-0.030,-0.005,-0.020,-0.019,-0.021,-0.013,-0.031,-0.047,-0.008,Financials in AUD,Fiscal year is July - June
Operating Margin,-61.271%,-40.160%,-80.642%,-65.503%,-81.478%,-67.835%,-48.286%,-47.536%,11.707%,28.847%,Financials in AUD,Fiscal year is July - June
Profit Margin,8.084%,-358.346%,-147.872%,-113.177%,-54.075%,-43.271%,-10.198%,-37.797%,28.025%,24.383%,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-43.701%,-83.010%,-11.602%,-44.144%,-44.251%,-44.344%,-30.538%,-66.967%,-66.382%,-8.264%,Financials in AUD,Fiscal year is July - June
EBITDA,"-8,250,000","-3,738,000","-10,316,000","-7,933,000","-10,323,000","-8,033,000","-5,236,000","-5,002,000","3,015,000","9,250,000",Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"1,103,000","1,370,000","1,848,000","2,258,000","1,695,000","2,461,000","1,582,000","1,973,000","476,000","876,000",Financials in AUD,Fiscal year is July - June
EBIT,"-9,353,000","-5,108,000","-12,164,000","-10,191,000","-12,018,000","-10,494,000","-6,818,000","-6,975,000","2,539,000","8,374,000",Financials in AUD,Fiscal year is July - June
