Fiscal Quarter,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q3 2000,Q2 2000,Q1 2000,Q4 1999,Q3 1999,Q2 1999,Q1 1999,Q4 1998,Q3 1998,Currency,Fiscal_Year_period
Pretax Income,"-441,147","-512,652","-387,414","-1,021,845","-1,021,845","-2,445","-1,223",-,-,"-2,385,000","-794,000","-146,000","-1,216,900","-461,000","-689,000","-712,000","-842,900","204,800",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"116,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-441,147","-512,652","-387,414","-1,021,845","-1,021,845","-2,445","-1,223",-,-,"-2,385,000","-794,000","-146,000","-1,216,900","-461,000","-689,000","-712,000","-958,900","204,800",Financials in USD,Fiscal year is January - December
Net Income to Common,"-441,147","-512,652","-387,414","-1,021,845","-1,021,845","-2,445","-1,223",-,-,"-2,385,000","-794,000","-146,000","-1,216,900","-461,000","-689,000","-712,000","-958,900","204,800",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"305,554,360","305,554,360","305,554,360","305,554,360","305,554,360","9,493,146","18,631,932","354,360","354,360","14,450","14,206","14,206",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"305,554,360","305,554,360","305,554,360","305,554,360","305,554,360","9,493,146","18,631,932","354,360","354,360","14,450","14,206","14,206",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,3118.684%,1539.950%,86127.102%,86127.102%,65596.512%,131055.371%,2394.439%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.001,-0.002,-0.001,-0.003,-0.003,-0.000,-0.000,-,-,-165.052,-55.892,-10.277,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.001,-0.002,-0.001,-0.003,-0.003,-0.000,-0.000,-,-,-165.052,-55.892,-10.277,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-262,026","-229,785","-199,939","-334,941","-391,017","237,620",-,-,-,"-2,665,000","-1,274,000","326,000","1,585,000","-251,000","-100,000","-3,266,000","163,000",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.001,-0.001,-0.001,-0.001,-0.001,0.025,-,-,-,-184.429,-89.680,22.948,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,-49.161%,-19.256%,81.088%,83.636%,83.636%,-,-,-,-,31.409%,42.966%,44.471%,34.330%,48.408%,45.585%,48.229%,45.300%,56.100%,Financials in USD,Fiscal year is January - December
Operating Margin,-2915.947%,-1788.364%,-1189.277%,-2815.221%,-2815.221%,-,-,-,-,-43.745%,-13.716%,1.162%,-28.442%,-8.795%,-7.277%,-7.132%,-32.818%,1.212%,Financials in USD,Fiscal year is January - December
Profit Margin,-4068.871%,-3637.378%,-1755.785%,-3207.600%,-3207.600%,-,-,-,-,-69.880%,-23.271%,-4.352%,-37.715%,-17.475%,-28.168%,-34.546%,-39.658%,8.299%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2416.768%,-1630.375%,-906.136%,-1051.389%,-1227.413%,-,-,-,-,-78.084%,-37.339%,9.717%,49.123%,-9.515%,-4.088%,-158.467%,6.741%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-284,346","-220,251","-225,894","-385,247","-380,600",-,-,-,-,"-1,325,000","-222,000","168,000","-769,700","-98,000","-58,000","-35,000","-672,500","138,567",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-38.822%,-6.506%,5.007%,-23.855%,-3.715%,-2.371%,-1.698%,-27.813%,5.615%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"31,801","31,801","36,520","511,598","516,245",-,-,-,-,"168,000","246,000","129,000","148,000","134,000","120,000","112,000","121,000","108,667",Financials in USD,Fiscal year is January - December
EBIT,"-316,147","-252,052","-262,414","-896,845","-896,845","-2,445","-1,223",-,-,"-1,493,000","-468,000","39,000","-917,700","-232,000","-178,000","-147,000","-793,500","29,900",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-43.745%,-13.716%,1.162%,-28.442%,-8.794%,-7.277%,-7.132%,-32.818%,1.212%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"10,842","111,089","22,065","38,832","38,832",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"-10,160",-,"9,337","9,337",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
