Fiscal Quarter,Q4 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Currency,Fiscal_Year_period
Shares Change (YoY),34.681%,36.734%,31.759%,52.499%,35.741%,25.353%,186.770%,48.266%,181.467%,233.448%,-56.597%,408.148%,4116.753%,3385.846%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.001,-0.001,-0.000,-0.000,-0.001,-0.000,-0.001,-0.001,-0.000,-0.002,-0.003,-0.001,-0.000,-0.001,-0.000,0.002,0.001,-0.005,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.001,-0.001,-0.000,-0.000,-0.001,-0.000,-0.001,-0.001,-0.000,-0.002,-0.003,-0.001,-0.000,-0.001,-0.000,0.002,0.001,-0.005,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,"-826,513","-1,035,267","-1,151,905","-260,834","14,818","-392,725","-48,046","11,443","-323,529","-213,883","-408,181","-31,161","-5,662",-,"324,166",-,"-1,015",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-0.002,-0.002,-0.003,-0.001,0.000,-0.001,-0.000,0.000,-0.001,-0.002,-0.002,-0.000,-0.000,-,0.009,-,-0.000,Financials in USD,Fiscal year is January - December
Gross Margin,8.107%,17.678%,46.673%,62.871%,-3.814%,15.778%,50.533%,52.171%,32.185%,34.756%,100.000%,51.347%,100.000%,100.000%,106.753%,99.611%,-,48.915%,Financials in USD,Fiscal year is January - December
Operating Margin,-88.988%,-104.613%,-9.834%,-12.978%,-128.818%,-110.817%,-172.972%,-176.474%,-1.149%,-276.905%,-631.943%,-169.180%,-117.003%,-172.664%,-25.323%,26.680%,-,-486.261%,Financials in USD,Fiscal year is January - December
Profit Margin,-88.988%,-104.613%,-9.834%,-12.978%,-128.818%,-110.817%,-172.972%,-176.474%,-1.149%,-276.905%,-631.815%,-170.348%,-116.215%,-173.914%,-27.314%,26.433%,-,-494.045%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-219.969%,-194.970%,-256.774%,-121.069%,10.198%,-282.002%,-46.854%,3.370%,-161.503%,-391.233%,-529.844%,-92.744%,-19.130%,-,112.474%,-,-43.173%,Financials in USD,Fiscal year is January - December
EBITDA,"-229,241","-385,879","-33,241","-53,459","-272,768","-156,257","-240,816","-180,892","-3,831","-554,638","-345,407","-130,263","-39,242","-51,035","-8,337","77,177","3,840","-10,515",Financials in USD,Fiscal year is January - December
EBITDA Margin,-78.713%,-102.698%,-6.260%,-11.917%,-126.608%,-107.539%,-172.922%,-176.406%,-1.128%,-276.870%,-,-169.089%,-116.795%,-172.427%,-25.112%,26.777%,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"29,923","7,194","18,979","4,762","4,762","4,762",70,70,70,70,70,70,70,70,70,281,917,917,Financials in USD,Fiscal year is January - December
EBIT,"-259,164","-393,073","-52,220","-58,221","-277,530","-161,019","-240,886","-180,962","-3,901","-554,708","-345,477","-130,333","-39,312","-51,105","-8,407","76,896","2,923","-11,432",Financials in USD,Fiscal year is January - December
EBIT Margin,-88.988%,-104.613%,-9.834%,-12.978%,-128.818%,-110.817%,-172.972%,-176.474%,-1.149%,-276.905%,-,-169.180%,-117.003%,-172.664%,-25.323%,26.680%,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"291,235","375,741","530,989","448,607","215,443","145,302","139,263","102,543","339,545","200,324","54,669","77,038","33,599","29,598","33,199","288,215",-,"2,351",Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,665,-,-,Financials in USD,Fiscal year is January - December
