Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017,Currency,Fiscal_Year_period
Other Unusual Items,-,-,"-3,456,642","-1,057,691","-2,799,164",-,Upgrade,Financials in CAD,Fiscal year is April - March
Pretax Income,"-51,164,794","-51,164,794","-25,537,465","-23,342,148","-4,171,210","-42,697",Upgrade,Financials in CAD,Fiscal year is April - March
Income Tax Expense,"309,615","309,615","-78,154",-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Earnings From Continuing Operations,"-51,474,409","-51,474,409","-25,459,311","-23,342,148","-4,171,210","-42,697",Upgrade,Financials in CAD,Fiscal year is April - March
Minority Interest in Earnings,"1,385,417","1,385,417","198,421",-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Net Income,"-50,088,992","-50,088,992","-25,260,890","-23,342,148","-4,171,210","-42,697",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income to Common,"-50,088,992","-50,088,992","-25,260,890","-23,342,148","-4,171,210","-42,697",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"247,486,896","247,486,896","177,116,372","162,361,059","94,372,433",-,Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"247,486,896","247,486,896","177,116,372","162,361,059","94,372,433",-,Upgrade,Financials in CAD,Fiscal year is April - March
Shares Change (YoY),39.731%,39.731%,9.088%,72.043%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.202,-0.202,-0.143,-0.144,-0.044,-,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.202,-0.202,-0.143,-0.144,-0.044,-,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-14,168,117","-14,168,117","-10,943,810","-9,027,851","-2,936,620",-619,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-0.057,-0.057,-0.062,-0.056,-0.031,-,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Margin,61.947%,61.947%,-28.291%,100.000%,100.000%,-,Upgrade,Financials in CAD,Fiscal year is April - March
Operating Margin,-204.571%,-204.571%,-1957.109%,-6500.657%,-2896.642%,-,Upgrade,Financials in CAD,Fiscal year is April - March
Profit Margin,-528.670%,-528.670%,-3522.395%,-10539.072%,-3214.582%,-,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-149.539%,-149.539%,-1526.012%,-4076.110%,-2263.134%,-,Upgrade,Financials in CAD,Fiscal year is April - March
EBITDA,"-17,679,159","-17,679,159","-13,420,266","-13,974,813","-3,748,629",-,Upgrade,Financials in CAD,Fiscal year is April - March
EBITDA Margin,-186.597%,-186.597%,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"1,702,956","1,702,956","615,160","422,973","10,025",-,Upgrade,Financials in CAD,Fiscal year is April - March
EBIT,"-19,382,115","-19,382,115","-14,035,426","-14,397,786","-3,758,654","-1,040",Upgrade,Financials in CAD,Fiscal year is April - March
EBIT Margin,-204.571%,-204.571%,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Revenue as Reported,-,-,"717,151","221,482","129,759",-,Upgrade,Financials in CAD,Fiscal year is April - March
Advertising Expenses,-,-,"393,204","369,354","432,938",-,Upgrade,Financials in CAD,Fiscal year is April - March
