Fiscal Quarter,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Currency,Fiscal_Year_period
EBT Excluding Unusual Items,"-615,506","-615,506","-2,005,664","-1,220,353","3,356,291","3,082,137","4,649,315","3,273,642","2,696,028","2,623,776","2,984,144","4,091,665","3,305,442","3,172,698","3,381,516","2,973,578","2,863,050","3,559,804","3,559,805",Financials in USD,Fiscal year is January - December
Asset Writedown,"6,529","6,529","-426,525","-1,500,632",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-395,892","-395,892",-116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,004,869","-1,004,869","-2,432,305","-2,720,985","3,356,291","3,082,137","4,649,315","3,273,642","2,696,028","2,623,776","2,984,144","4,091,665","3,305,442","3,172,698","3,381,516","2,973,578","2,863,050","3,559,804","3,559,805",Financials in USD,Fiscal year is January - December
Income Tax Expense,"171,269","171,269","-193,774","117,791","810,791","985,888","1,068,632","800,632","648,591","812,373","636,423","933,461","600,415","874,415","850,856","673,592","647,021","793,064","793,065",Financials in USD,Fiscal year is January - December
Net Income,"-1,176,137","-1,176,137","-2,238,531","-2,838,776","2,545,500","2,096,249","3,580,683","2,473,010","2,047,437","1,811,403","2,347,721","3,158,204","2,705,027","2,298,283","2,530,660","2,299,986","2,216,029","2,766,740","2,766,740",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,176,137","-1,176,137","-2,238,531","-2,838,776","2,545,500","2,096,249","3,580,683","2,473,010","2,047,437","1,811,403","2,347,721","3,158,204","2,705,027","2,298,283","2,530,660","2,299,986","2,216,029","2,766,740","2,766,740",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,24.326%,15.725%,52.517%,-21.696%,-24.310%,-21.185%,-7.229%,37.314%,22.066%,-16.932%,-8.533%,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,411,041","2,411,041","2,411,065","2,405,377","2,394,123","2,373,988","2,373,988","1,625,725","1,600,000","1,600,000","1,600,000","1,591,084","1,608,916","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,411,041","2,411,041","2,411,065","2,405,377","2,394,123","2,373,988","2,373,988","1,625,725","1,600,000","1,600,000","1,600,000","1,591,084","1,608,916","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.707%,1.561%,1.562%,47.957%,49.633%,48.374%,48.374%,2.177%,-0.554%,-,-,-0.557%,0.557%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.488,-0.488,-0.928,-1.180,1.063,0.883,1.508,1.521,1.280,1.132,1.467,1.985,1.681,1.436,1.582,1.437,1.385,1.729,1.729,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.488,-0.488,-0.928,-1.180,1.063,0.883,1.508,1.521,1.280,1.132,1.467,1.985,1.681,1.436,1.582,1.437,1.385,1.729,1.729,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-16.912%,-22.005%,2.792%,-23.364%,-23.888%,-21.185%,-7.229%,38.084%,21.390%,-16.932%,-8.533%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-106,968","-106,968","-248,612","83,430","1,883,955","177,818","4,048,497","83,080","9,516,581","-6,716,695","1,302,485","5,379,013","2,470,898","1,282,516","2,139,269","-1,957,077","22,057","-297,430","-297,429",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.044,-0.044,-0.103,0.035,0.787,0.075,1.705,0.051,5.948,-4.198,0.814,3.381,1.536,0.802,1.337,-1.223,0.014,-0.186,-0.186,Financials in USD,Fiscal year is January - December
Gross Margin,14.061%,14.061%,16.425%,32.497%,38.473%,38.038%,40.789%,36.774%,37.893%,35.996%,35.398%,37.664%,39.670%,36.831%,38.516%,36.810%,35.464%,37.676%,37.676%,Financials in USD,Fiscal year is January - December
Operating Margin,-18.954%,-18.954%,-107.794%,-38.349%,31.729%,26.365%,33.874%,27.872%,29.054%,25.905%,28.525%,36.379%,34.346%,31.478%,34.524%,32.178%,32.026%,34.249%,34.249%,Financials in USD,Fiscal year is January - December
Profit Margin,-47.817%,-47.817%,-125.521%,-101.239%,22.718%,16.648%,26.820%,19.657%,19.595%,15.719%,20.106%,25.990%,25.816%,20.680%,23.622%,22.287%,22.418%,24.841%,24.841%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-4.349%,-4.349%,-13.940%,2.975%,16.814%,1.412%,30.324%,0.660%,91.080%,-58.285%,11.154%,44.265%,23.581%,11.540%,19.969%,-18.964%,0.223%,-2.670%,-2.670%,Financials in USD,Fiscal year is January - December
EBITDA,"-273,214","-273,214","-1,780,080","-916,600","4,136,379","3,929,509","5,128,403","4,019,645","3,473,226","3,414,495","3,703,737","4,772,879","3,951,299","3,825,607","4,055,092","3,602,697","3,426,649","4,071,425","4,071,426",Financials in USD,Fiscal year is January - December
EBITDA Margin,-11.108%,-11.108%,-99.814%,-32.689%,36.916%,31.207%,38.413%,31.950%,33.241%,29.630%,31.718%,39.277%,37.710%,34.423%,37.852%,34.910%,34.665%,36.555%,36.555%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"192,988","192,988","142,310","158,712","581,193","609,776","605,915","513,053","437,489","429,252","372,857","352,129","352,484","327,326","356,470","281,901","260,935","256,823","256,823",Financials in USD,Fiscal year is January - December
EBIT,"-466,202","-466,202","-1,922,390","-1,075,312","3,555,186","3,319,733","4,522,488","3,506,592","3,035,737","2,985,243","3,330,880","4,420,750","3,598,815","3,498,281","3,698,622","3,320,796","3,165,714","3,814,602","3,814,603",Financials in USD,Fiscal year is January - December
EBIT Margin,-18.954%,-18.954%,-107.794%,-38.349%,31.729%,26.365%,33.874%,27.872%,29.054%,25.905%,28.525%,36.379%,34.346%,31.478%,34.524%,32.178%,32.026%,34.249%,34.249%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,24.157%,31.987%,22.985%,24.457%,24.057%,30.962%,21.327%,22.814%,18.164%,27.561%,25.162%,22.652%,22.599%,22.278%,22.278%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"2,459,642","2,459,642","1,783,390","2,804,030","11,204,864","12,591,660","13,350,868","12,580,984","10,448,616","11,523,869","11,676,915","12,151,799","10,478,158","11,113,404","10,713,075","10,319,992","9,884,955","11,137,836","11,137,836",Financials in USD,Fiscal year is January - December
