Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Interest & Investment Income,"4,000,000","4,000,000","3,000,000","2,000,000","1,000,000",-,"1,000,000","2,000,000","5,000,000","3,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"1,000,000",-,-,-,-,"1,000,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"-3,000,000",-,"-7,000,000",-,-,-,-,-,"-3,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"-14,000,000",-,"-11,000,000",-,"-13,000,000",-,"-11,000,000",-,"-16,000,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"363,000,000","268,000,000","268,000,000","160,000,000","264,000,000","222,000,000","285,000,000","232,000,000","263,000,000","203,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-29,000,000","-12,000,000",-,-,"-2,000,000","-1,000,000","-7,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"2,000,000",-,-,"-2,000,000",-,-,"-1,000,000","2,000,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"12,000,000",-,"-1,000,000",-,"-2,000,000",-,"-3,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-51,000,000","-21,000,000","-64,000,000","-137,000,000","-45,000,000","5,000,000","17,000,000","20,000,000","13,000,000","18,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,"-129,000,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-24,000,000","-41,000,000","-2,000,000","12,000,000","10,000,000","-1,000,000","17,000,000","27,000,000","-4,000,000","54,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"288,000,000","79,000,000","202,000,000","18,000,000","215,000,000","225,000,000","319,000,000","284,000,000","274,000,000","265,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"59,000,000","18,000,000","71,000,000","1,000,000","41,000,000","53,000,000","71,000,000","66,000,000","62,000,000","-37,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"229,000,000","61,000,000","131,000,000","17,000,000","174,000,000","172,000,000","248,000,000","218,000,000","212,000,000","302,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-3,000,000","-2,000,000",-,"-2,000,000","-1,000,000","1,000,000",-,"1,000,000",-,"-1,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"226,000,000","59,000,000","131,000,000","15,000,000","173,000,000","173,000,000","248,000,000","219,000,000","212,000,000","301,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"226,000,000","59,000,000","131,000,000","15,000,000","173,000,000","173,000,000","248,000,000","219,000,000","212,000,000","301,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,72.519%,293.333%,-24.277%,-91.329%,-30.242%,-21.005%,16.981%,-27.243%,14.595%,71.023%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"221,568,627","220,724,206","222,033,898","220,456,944","227,000,000","231,000,000","231,000,000","230,000,000","242,000,000","241,853,404",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"223,762,376","222,737,428","222,033,898","221,817,618","228,000,000","234,000,000","232,000,000","233,000,000","243,000,000","242,898,818",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.778%,0.415%,-2.617%,-5.206%,-1.724%,0.429%,-4.527%,-4.075%,-0.042%,0.375%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),1.020,0.267,0.590,0.068,0.762,0.749,1.074,0.952,0.876,1.245,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),1.010,0.261,0.590,0.068,0.759,0.739,1.069,0.940,0.872,1.239,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,71.186%,282.931%,-22.266%,-90.798%,-28.999%,-21.375%,22.592%,-24.109%,14.586%,70.451%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"129,000,000","301,000,000","138,000,000","286,000,000","106,000,000","334,000,000","159,000,000","66,000,000","226,000,000","214,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.577,1.351,0.622,1.289,0.465,1.427,0.685,0.283,0.930,0.881,Upgrade,Financials in USD,Fiscal year is January - December
Dividend Per Share,0.320,0.470,0.250,0.370,0.190,0.360,0.180,0.340,0.160,0.300,Upgrade,Financials in USD,Fiscal year is January - December
Dividend Growth,28.000%,27.027%,31.579%,2.778%,5.556%,5.882%,12.500%,13.333%,14.286%,15.385%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,25.621%,21.409%,21.654%,15.491%,24.402%,18.848%,25.411%,21.340%,24.912%,19.828%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,14.404%,4.075%,9.180%,1.150%,14.262%,12.939%,20.395%,18.114%,18.728%,25.948%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,8.222%,20.787%,9.671%,21.933%,8.739%,24.981%,13.076%,5.459%,19.965%,18.448%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"499,000,000","345,000,000","446,000,000","284,000,000","386,000,000","382,000,000","336,000,000","317,000,000","337,000,000","279,000,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"97,000,000","35,000,000","137,000,000","82,000,000","90,000,000","130,000,000","27,000,000","59,000,000","55,000,000","49,000,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"402,000,000","310,000,000","309,000,000","202,000,000","296,000,000","252,000,000","309,000,000","258,000,000","282,000,000","230,000,000",Upgrade,Financials in USD,Fiscal year is January - December
