Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Merger & Restructuring Charges,"-284,000","-507,000","-8,000","-473,000",-,"-247,000",-,"-11,000",-,"-78,000",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-1,893,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"2,047,000",-,-,-,-,-,"1,812,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"179,000","-18,000",-,"-24,000","-25,000","-4,000","2,000","-58,000","5,000","-21,000",Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,"-12,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-511,000",-,"-193,000",-,"-1,725,000",-,"-103,000","103,000","1,072,000",Financials in USD,Fiscal year is January - December
Pretax Income,"397,000","7,170,000","7,407,000","18,166,000","17,930,000","13,596,000","11,470,000","14,231,000","5,291,000","10,845,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"697,000","1,000,000","2,849,000","5,368,000","4,828,000","3,733,000","2,411,000","1,273,000","834,000","1,707,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-300,000","6,170,000","4,558,000","12,798,000","13,102,000","9,863,000","9,059,000","12,958,000","4,457,000","9,138,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"183,000","46,000","34,000","-8,000","-157,000","-271,000","-223,000","-207,000","-58,000","-8,000",Financials in USD,Fiscal year is January - December
Net Income,"-117,000","6,216,000","4,592,000","12,790,000","12,945,000","9,592,000","8,836,000","12,751,000","4,399,000","9,130,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-117,000","6,216,000","4,592,000","12,790,000","12,945,000","9,592,000","8,836,000","12,751,000","4,399,000","9,130,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-51.400%,-64.527%,33.340%,46.503%,-24.775%,100.864%,39.660%,-52.668%,8.035%,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,028,389,387","2,038,706,868","2,040,766,194","2,041,127,995","2,055,448,261","2,051,328,874","2,047,270,202","2,007,179,004","2,017,539,448","2,011,036,864",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,028,389,387","2,067,590,480","2,071,830,136","2,063,331,842","2,105,532,136","2,119,458,824","2,111,916,372","2,067,771,441","2,089,304,315","2,095,966,306",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-2.097%,0.206%,-1.601%,-2.648%,-0.302%,2.500%,1.082%,-1.345%,28.619%,37.868%,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,0.003,0.002,0.006,0.006,0.005,0.004,0.006,0.002,0.005,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,0.003,0.002,0.006,0.006,0.004,0.004,0.006,0.002,0.004,Financials in USD,Fiscal year is January - December
EPS Growth,-,-51.621%,-63.945%,37.831%,45.214%,-27.680%,100.095%,42.422%,-63.169%,-21.958%,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-11,551,000","18,687,000","-84,000","11,033,000","3,744,000","10,242,000","-16,073,000","12,871,000","4,207,000","1,317,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.006,0.009,-0.000,0.005,0.002,0.005,-0.008,0.006,0.002,0.001,Financials in USD,Fiscal year is January - December
Operating Margin,2.092%,8.903%,6.623%,12.414%,14.495%,13.755%,13.678%,17.045%,5.655%,8.150%,Financials in USD,Fiscal year is January - December
Profit Margin,-0.091%,4.727%,3.578%,9.732%,10.884%,9.658%,10.380%,16.967%,8.684%,17.999%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-8.991%,14.211%,-0.065%,8.395%,3.148%,10.313%,-18.882%,17.127%,8.305%,2.596%,Financials in USD,Fiscal year is January - December
EBITDA,"16,502,000","24,678,000","20,341,000","27,383,000","26,719,000","24,909,000","17,654,000","16,193,000","7,007,000","6,523,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"13,814,000","12,970,000","11,840,000","11,068,000","9,480,000","11,248,000","6,011,000","3,383,000","4,142,000","2,389,000",Financials in USD,Fiscal year is January - December
EBIT,"2,688,000","11,708,000","8,501,000","16,315,000","17,239,000","13,661,000","11,643,000","12,810,000","2,865,000","4,134,000",Financials in USD,Fiscal year is January - December
