Fiscal Quarter,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Shares Change (YoY),-,0.015%,0.486%,0.473%,0.490%,-8.376%,1.712%,4.876%,12.882%,293.332%,6478.096%,6280.459%,5826.947%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.008,-0.007,-0.002,-0.006,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.008,-0.007,-0.002,-0.006,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-50,710","-27,068","-22,045","-23,262","-65,426","-39,558","-164,915","-146,772","-180,243","-194,940","-286,353","-99,932","-432,438","-605,957","-221,317","-81,500","-179,861",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.006,-0.002,-0.004,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,-,-,19.090%,100.000%,100.000%,80.185%,-7.354%,-,-,-,-,1985.356%,-,73.022%,-84.139%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-791.056%,-,-867.304%,-3330.633%,-4703.890%,-29900.121%,-31687.318%,-3797.286%,-34544.672%,-12002.209%,-122295.480%,-72877.657%,-783585.914%,-79526.211%,-583.948%,-3301.510%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-902.016%,-,-930.583%,-3382.825%,-5132.271%,-30904.005%,-32585.337%,-3883.044%,-63568.961%,-12248.313%,-119457.657%,-51050.108%,-785446.444%,-81868.661%,-618.329%,-3356.066%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-150.746%,-,-114.874%,-294.089%,-1465.654%,-20013.956%,-19388.639%,-2630.133%,-12901.390%,-11500.120%,-9218.819%,-93804.338%,-84512.831%,-63053.276%,-512.643%,-2361.620%,Financials in USD,Fiscal year is January - December
EBITDA,"-114,384","-121,424","-194,371","-155,011","-720,348","-106,340","-225,759","-219,255","-240,006","-463,329","-262,556","-1,289,385","-299,668","-5,588,237","-249,064","-62,763","-221,370",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"20,618","20,618","20,618","20,618","20,618","20,618","20,618","20,618","20,222","58,641","36,299","36,298","36,298","30,074","30,073","30,073","30,073",Financials in USD,Fiscal year is January - December
EBIT,"-135,002","-142,042","-214,989","-175,629","-740,966","-126,958","-246,377","-239,873","-260,228","-521,970","-298,855","-1,325,683","-335,966","-5,618,311","-279,137","-92,836","-251,443",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,"17,956",-,"20,250","22,247","2,699",824,757,"6,853","1,511","2,490","1,084",461,717,351,"15,898","7,616",Financials in USD,Fiscal year is January - December
