Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"-5,000",-,-,-,-,-,-,"-9,000","1,000","8,000",-,"-3,000","108,000",-,-,"-77,000","30,000","25,000","-602,000","328,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,530,000","-2,089,000","-3,474,000","-2,967,000","-3,599,000","-3,394,000","-684,000","-3,144,000","-3,858,000","-4,187,000","-4,278,000","-3,522,000","-3,263,000","-3,034,000","-1,854,000","-2,600,000","-1,698,000","-1,657,000","4,304,000","-1,026,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-324,000",-,"1,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"-9,000",-,"467,000",-,-,-,-,-,"276,000",-,-,-,"-364,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-3,854,000","-2,089,000","-3,473,000","-2,967,000","-3,599,000","-3,394,000","-684,000","-3,153,000","-3,858,000","-3,720,000","-4,278,000","-3,522,000","-3,263,000","-10,178,000","-1,854,000","-2,324,000","-1,698,000","-3,907,000","4,304,000","-1,390,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-3,854,000","-2,089,000","-3,473,000","-2,967,000","-3,599,000","-3,394,000","-684,000","-3,153,000","-3,858,000","-3,720,000","-4,278,000","-3,522,000","-3,263,000","-10,178,000","-1,854,000","-2,324,000","-1,698,000","-3,907,000","4,304,000","-1,390,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"3,000","-3,000","3,000","3,000","3,000","6,000","11,000","18,000","17,000","16,000","8,000","14,000","14,000","10,000","10,000","14,000","4,000","8,000","9,000","37,000",Financials in USD,Fiscal year is January - December
Net Income,"-3,851,000","-2,092,000","-3,470,000","-2,964,000","-3,596,000","-3,388,000","-673,000","-3,135,000","-3,841,000","-3,704,000","-4,270,000","-3,508,000","-3,249,000","-10,168,000","-1,844,000","-2,310,000","-1,694,000","-3,899,000","4,313,000","-1,353,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"488,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,851,000","-2,092,000","-3,470,000","-2,964,000","-3,596,000","-3,876,000","-673,000","-3,135,000","-3,841,000","-3,704,000","-4,270,000","-3,508,000","-3,249,000","-10,168,000","-1,844,000","-2,310,000","-1,694,000","-3,899,000","4,313,000","-1,353,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,271,759","4,271,759","4,271,759","4,283,417","3,554,623","2,497,450","2,497,450","2,140,047","2,086,403","1,859,770","1,578,584","688,186","608,459","335,525","167,168","167,175","167,168","166,369","165,733","114,782",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,271,759","4,271,759","4,271,759","4,283,417","3,554,623","2,497,450","2,497,450","2,140,047","2,086,403","1,859,770","1,578,584","688,186","608,459","335,525","167,168","167,175","167,168","166,369","217,015","114,782",Financials in USD,Fiscal year is January - December
Shares Change (YoY),20.175%,71.045%,71.045%,100.155%,70.371%,34.288%,58.208%,210.969%,242.900%,454.287%,844.310%,311.656%,263.981%,101.675%,-22.969%,45.646%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.902,-0.490,-0.812,-0.692,-1.012,-1.552,-0.269,-1.465,-1.841,-1.992,-2.705,-5.097,-5.340,-30.305,-11.031,-13.818,-10.134,-23.436,26.024,-11.788,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.902,-0.490,-0.812,-0.692,-1.012,-1.552,-0.269,-1.465,-1.841,-1.992,-2.705,-5.097,-5.340,-30.305,-11.031,-13.818,-10.134,-23.436,19.882,-11.991,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,689,000","-2,396,000","-2,550,000","-2,440,000","-2,459,000","-4,640,000","-360,000","-2,868,000","-3,933,000","-4,360,000","-3,612,000","-4,074,000","-3,750,000","-2,973,000","-1,306,000","-1,686,000","-2,485,000","-2,286,000","5,014,000","-1,198,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.629,-0.561,-0.597,-0.570,-0.692,-1.858,-0.144,-1.340,-1.885,-2.344,-2.288,-5.920,-6.163,-8.861,-7.813,-10.085,-14.865,-13.741,23.104,-10.437,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,48.549%,-,-295.601%,-,-,-,-275.555%,-,-68.609%,-48.559%,-173.248%,-10.386%,82.892%,-177.305%,Financials in USD,Fiscal year is January - December
Operating Margin,-70500.000%,-41760.000%,-69480.000%,-74200.000%,-71960.000%,-67880.000%,-18.189%,-62680.000%,-652.623%,-83860.000%,-991.415%,-733.891%,-675.960%,-2783.333%,-189.571%,-162.012%,-556.051%,-119.228%,60.155%,-319.622%,Financials in USD,Fiscal year is January - December
Profit Margin,-77020.000%,-41840.000%,-69400.000%,-74100.000%,-71920.000%,-77520.000%,-17.923%,-62700.000%,-649.915%,-74080.000%,-990.719%,-733.891%,-656.364%,-9414.815%,-188.548%,-147.982%,-539.490%,-273.614%,52.894%,-319.858%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-53780.000%,-47920.000%,-51000.000%,-61000.000%,-49180.000%,-92800.000%,-9.587%,-57360.000%,-665.482%,-87200.000%,-838.051%,-852.301%,-757.576%,-2752.778%,-133.538%,-108.008%,-791.401%,-160.421%,61.491%,-283.215%,Financials in USD,Fiscal year is January - December
EBITDA,"-3,501,000","-2,050,000","-3,436,000","-2,930,000","-3,561,000","-3,360,000","-652,000","-3,110,000","-3,830,000","-4,170,000","-4,250,000","-3,484,000","-3,323,000","-2,983,000","-1,826,000","-2,491,000","-1,713,000","-1,662,000","4,942,000","-1,318,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-17.363%,-,-,-,-,-,-,-,-186.708%,-159.577%,-,-116.632%,60.608%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"24,000","38,000","38,000","38,000","37,000","34,000","31,000","24,000","27,000","23,000","23,000","24,000","23,000","23,000","28,000","38,000","33,000","37,000","37,000","34,000",Financials in USD,Fiscal year is January - December
EBIT,"-3,525,000","-2,088,000","-3,474,000","-2,968,000","-3,598,000","-3,394,000","-683,000","-3,134,000","-3,857,000","-4,193,000","-4,273,000","-3,508,000","-3,346,000","-3,006,000","-1,854,000","-2,529,000","-1,746,000","-1,699,000","4,905,000","-1,352,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-18.189%,-,-,-,-,-,-,-,-189.571%,-162.012%,-,-119.228%,60.154%,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"5,000","5,000","5,000","4,000","5,000","5,000","3,755,000","5,000","591,000","5,000","431,000","478,000","495,000","108,000","978,000","1,561,000","314,000","1,425,000","8,154,000","423,000",Financials in USD,Fiscal year is January - December
