Fiscal Quarter,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Currency,Fiscal_Year_period
Impairment of Goodwill,"-10,655,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"33,500,000","300,000","-4,600,000","-4,700,000","700,000","-800,000","-1,500,000","201,000",-,"-700,000","-1,390,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,588,000","-8,264,000","-16,382,000","-19,335,000","-16,794,000","-20,239,000","-17,103,000","-11,267,000","-16,476,000","-12,938,000","-10,153,000","-8,288,000","-4,110,000","-4,927,000","-3,837,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-4,618,000",-,-,-,-,-,-,"-78,000","-85,000","-81,000","-46,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-3,970,000","-8,264,000","-16,382,000","-19,335,000","-16,794,000","-20,239,000","-17,103,000","-11,189,000","-16,391,000","-12,857,000","-10,107,000","-8,288,000","-4,110,000","-4,927,000","-3,837,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,970,000","-8,264,000","-16,382,000","-19,335,000","-16,794,000","-20,239,000","-17,103,000","-11,189,000","-16,391,000","-12,857,000","-10,107,000","-8,288,000","-4,110,000","-4,927,000","-3,837,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"30,726,000","30,354,000","24,606,000","20,805,000","20,473,000","20,289,000","20,228,000","20,128,000","14,674,000","1,978,000","1,907,000","1,700,000","1,697,000","1,693,000","1,684,327",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"30,726,000","30,354,000","24,606,000","20,805,000","20,473,000","20,289,000","20,228,000","20,128,000","14,674,000","1,978,000","1,907,000","1,700,000","1,697,000","1,693,000","1,684,327",Financials in USD,Fiscal year is January - December
Shares Change (YoY),50.081%,49.608%,21.643%,3.363%,39.519%,925.733%,960.724%,1084.000%,764.702%,16.834%,13.220%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.129,-0.272,-0.666,-0.929,-0.820,-0.998,-0.846,-0.556,-1.117,-6.500,-5.300,-4.875,-2.422,-2.910,-2.278,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.129,-0.272,-0.666,-0.929,-0.820,-0.998,-0.846,-0.556,-1.117,-6.500,-5.300,-4.875,-2.422,-2.910,-2.278,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,844,000","-8,417,000","-12,773,000","-15,605,000","-15,905,000","-15,763,000","-14,459,000","-14,185,000","-9,496,000","-11,551,000","-6,054,000","-5,047,000","-5,680,000","-4,437,000","-2,756,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.581,-0.277,-0.519,-0.750,-0.777,-0.777,-0.715,-0.705,-0.647,-5.840,-3.175,-2.969,-3.347,-2.621,-1.636,Financials in USD,Fiscal year is January - December
EBITDA,"-8,805,000","-7,990,000","-10,400,000","-15,029,000","-17,245,000","-20,829,000","-16,938,000","-14,150,000","-14,295,000","-10,539,000","-7,577,000","-5,676,000","-4,309,000","-5,019,000","-3,917,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"36,000","37,000","39,000","40,000","39,000","39,000","39,000","40,000","27,000","27,000","26,000","23,000","18,000","14,000","12,000",Financials in USD,Fiscal year is January - December
EBIT,"-8,841,000","-8,027,000","-10,439,000","-15,069,000","-17,284,000","-20,868,000","-16,977,000","-14,190,000","-14,322,000","-10,566,000","-7,603,000","-5,699,000","-4,327,000","-5,033,000","-3,929,000",Financials in USD,Fiscal year is January - December
