Fiscal Quarter,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q2 2017,Q1 2017,Q2 2016,Currency,Fiscal_Year_period
Legal Settlements,"122,601","378,304",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,"25,424",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-942,158","-1,466,112","-2,109,977","-2,443,975","-5,436,873","-1,377,065","-1,149,124","-1,829,700","-328,574","-175,771","-265,360","-749,385","-5,421,103","-336,304","-288,358","-1,070,445","-662,385","-1,126,036","-1,126,036","-75,978",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-942,158","-1,466,112","-2,109,977","-2,443,975","-5,436,873","-1,377,065","-1,149,124","-1,829,700","-328,574","-175,771","-265,360","-749,385","-5,421,103","-336,304","-288,358","-1,070,445","-662,385","-1,126,036","-1,126,036","-75,978",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-29,896","10,386","-27,567","-12,696","-20,864","-1,630","-6,205","-3,514","-28,802","-7,989","-4,212","6,744","-3,220,295","-47,232","-4,774","2,267,448","-795,996",-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Company,"-972,054","-1,455,726","-2,137,544","-2,456,671","-5,457,737","-1,378,695","-1,155,329","-1,833,214","-357,376","-183,760","-269,572","-742,641","-8,641,398","-383,536","-293,132","1,197,003","-1,458,381","-1,126,036","-1,126,036","-75,978",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-13,843",58,"2,422","1,587","1,963","1,137","2,815","-3,668","10,414","4,904","9,287","30,075","212,124",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-985,897","-1,455,668","-2,135,122","-2,455,084","-5,455,774","-1,377,558","-1,152,514","-1,836,882","-346,962","-178,856","-260,285","-712,566","-8,429,274","-383,536","-293,132","1,197,003","-1,458,381","-1,126,036","-1,126,036","-75,978",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"19,967","19,668","20,992","20,992","18,187","16,125","20,250","20,250",-,-,-,-,-,-,-,-,"513,888",-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,005,864","-1,475,336","-2,156,114","-2,476,076","-5,473,961","-1,393,683","-1,172,764","-1,857,132","-346,962","-178,856","-260,285","-712,566","-8,429,274","-383,536","-293,132","1,197,003","-1,972,269","-1,126,036","-1,126,036","-75,978",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"113,204,445","113,204,002","113,145,211","113,099,558","112,557,599","54,109,797","34,977,953","26,691,992","16,883,732","17,380,317","17,380,317","17,242,955","6,535,888","520,949","418,342","418,342","82,421","1,000,000","1,000,000","255,965",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"113,204,445","113,204,002","113,145,211","120,488,276","112,557,599","54,109,797","34,977,953","26,691,992","16,883,732","17,380,317","17,380,317","17,242,955","6,535,888","520,949","418,342","418,342","82,421","1,000,000","1,000,000","255,965",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.575%,109.212%,223.476%,351.402%,566.663%,211.328%,101.250%,54.799%,158.323%,3236.280%,4054.571%,4021.737%,7829.882%,-47.905%,-58.166%,63.437%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.009,-0.013,-0.019,-0.022,-0.049,-0.026,-0.034,-0.070,-0.021,-0.010,-0.015,-0.041,-1.290,-0.736,-0.701,2.861,-23.929,-1.126,-1.126,-0.297,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.011,-0.013,-0.020,-0.022,-0.049,-0.030,-0.034,-0.070,-0.021,-0.010,-0.015,-0.041,-1.291,-0.741,-0.701,2.860,-23.933,-1.126,-1.126,-0.297,Financials in USD,Fiscal year is January - December
Free Cash Flow,"371,158","41,749","-539,983","-505,477","-838,818","-595,569","-641,377","-1,498,975","-211,456","-158,637","-130,127","-333,267","-1,018,377","-273,569","-251,913","-106,196","386,774","-1,205,779","-1,205,779",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.003,0.000,-0.005,-0.004,-0.007,-0.011,-0.018,-0.056,-0.013,-0.009,-0.007,-0.019,-0.156,-0.525,-0.602,-0.254,4.693,-1.206,-1.206,-,Financials in USD,Fiscal year is January - December
Gross Margin,61.527%,69.969%,53.589%,-,-29.154%,44.308%,-,-135.531%,100.000%,100.000%,100.000%,100.000%,100.000%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-99.881%,-105.665%,-560.444%,-10120.557%,-6790.473%,-243.296%,-3643.728%,-2326.799%,-1119.693%,-454.516%,-882.311%,-2534.400%,-3839.533%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-103.801%,-118.062%,-608.384%,-10988.666%,-6887.998%,-277.577%,-4535.927%,-2767.295%,-1542.053%,-794.916%,-1156.822%,-3166.960%,-112390.320%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,38.302%,3.341%,-152.365%,-2243.274%,-1055.502%,-118.618%,-2480.669%,-2233.609%,-939.804%,-705.053%,-578.342%,-1481.187%,-13578.360%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-706,395","-1,058,927","-1,724,723","-2,059,716","-5,062,836","-905,831","-600,639","-1,211,887","-235,892","-86,228","-182,481","-547,356","-282,154","-91,083","-78,686","-537,925","-603,633","-645,992","-645,992",-,Financials in USD,Fiscal year is January - December
EBITDA Margin,-72.897%,-84.740%,-,-,-,-180.413%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"261,490","261,490","261,491","220,749","333,621","315,729","341,447","349,628","16,039","16,038","16,039","22,884","5,811","3,264","3,266","3,268","3,267","362,013","362,013",-,Financials in USD,Fiscal year is January - December
EBIT,"-967,885","-1,320,417","-1,986,214","-2,280,465","-5,396,457","-1,221,560","-942,086","-1,561,515","-251,931","-102,266","-198,520","-570,240","-287,965","-94,347","-81,952","-541,193","-606,900","-1,008,005","-1,008,005","-75,978",Financials in USD,Fiscal year is January - December
EBIT Margin,-99.881%,-105.665%,-,-,-,-243.296%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"969,034","1,249,623","354,400","22,533","79,471","502,088","25,855","67,110","22,500","22,500","22,500","22,500",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
