Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Merger & Restructuring Charges,"-42,000,000","-42,000,000","-24,000,000","-45,000,000","-502,000,000","-696,000,000",Financials in GBP,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-10,000,000","-10,000,000","24,000,000","31,000,000","212,000,000","-17,000,000",Financials in GBP,Fiscal year is January - December
Asset Writedown,"-191,000,000","-191,000,000","-137,000,000","-13,000,000","-19,000,000","3,000,000",Financials in GBP,Fiscal year is January - December
Other Unusual Items,"-9,000,000","-9,000,000","-619,000,000","-243,000,000","-37,000,000","3,000,000",Financials in GBP,Fiscal year is January - December
Pretax Income,"1,794,000,000","1,628,000,000","1,618,000,000","1,636,000,000","1,591,000,000","886,000,000",Financials in GBP,Fiscal year is January - December
Income Tax Expense,"534,000,000","517,000,000","499,000,000","197,000,000","410,000,000","199,000,000",Financials in GBP,Fiscal year is January - December
Earnings From Continuing Operations,"1,260,000,000","1,111,000,000","1,119,000,000","1,439,000,000","1,181,000,000","687,000,000",Financials in GBP,Fiscal year is January - December
Minority Interest in Earnings,"-52,000,000","-62,000,000","-59,000,000","-49,000,000","-36,000,000","-32,000,000",Financials in GBP,Fiscal year is January - December
Net Income,"1,208,000,000","1,049,000,000","1,060,000,000","1,390,000,000","1,145,000,000","655,000,000",Financials in GBP,Fiscal year is January - December
Net Income to Common,"1,208,000,000","1,049,000,000","1,060,000,000","1,390,000,000","1,145,000,000","655,000,000",Financials in GBP,Fiscal year is January - December
Net Income Growth,-3.360%,-1.038%,-23.741%,21.397%,74.809%,-,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"9,192,629,187","9,233,000,000","9,235,000,000","9,234,573,831","9,234,573,831",-,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"9,192,629,187","9,263,000,000","9,239,000,000","9,234,573,831","9,234,573,831",-,Financials in GBP,Fiscal year is January - December
Shares Change (YoY),-0.831%,0.260%,0.048%,-,-,-,Financials in GBP,Fiscal year is January - December
EPS (Basic),0.131,0.114,0.115,0.151,0.124,-,Financials in GBP,Fiscal year is January - December
EPS (Diluted),0.131,0.113,0.115,0.151,0.124,-,Financials in GBP,Fiscal year is January - December
EPS Growth,-2.927%,-1.551%,-23.745%,21.398%,-,-,Financials in GBP,Fiscal year is January - December
Free Cash Flow,-,"1,866,000,000","1,759,000,000","1,128,000,000","1,185,000,000","596,000,000",Financials in GBP,Fiscal year is January - December
Free Cash Flow Per Share,-,0.201,0.190,0.122,0.128,-,Financials in GBP,Fiscal year is January - December
Dividend Per Share,0.062,0.060,0.024,-,2371.000,-,Financials in GBP,Fiscal year is January - December
Dividend Growth,-,150.000%,-,-,-,-,Financials in GBP,Fiscal year is January - December
Gross Margin,62.197%,61.591%,61.973%,62.693%,61.676%,61.686%,Financials in GBP,Fiscal year is January - December
Operating Margin,22.153%,20.872%,21.855%,20.356%,19.945%,18.950%,Financials in GBP,Fiscal year is January - December
Profit Margin,10.747%,9.282%,9.762%,14.563%,11.575%,7.724%,Financials in GBP,Fiscal year is January - December
Free Cash Flow Margin,-,16.510%,16.200%,11.818%,11.979%,7.028%,Financials in GBP,Fiscal year is January - December
EBITDA,"2,685,500,000","2,550,000,000","2,558,000,000","2,211,000,000","2,190,000,000","1,801,000,000",Financials in GBP,Fiscal year is January - December
EBITDA Margin,23.892%,22.562%,23.559%,23.164%,22.139%,21.238%,Financials in GBP,Fiscal year is January - December
D&A For EBITDA,"195,500,000","191,000,000","185,000,000","268,000,000","217,000,000","194,000,000",Financials in GBP,Fiscal year is January - December
EBIT,"2,490,000,000","2,359,000,000","2,373,000,000","1,943,000,000","1,973,000,000","1,607,000,000",Financials in GBP,Fiscal year is January - December
EBIT Margin,22.153%,20.872%,21.855%,20.356%,19.945%,18.950%,Financials in GBP,Fiscal year is January - December
Effective Tax Rate,29.766%,31.757%,30.840%,12.041%,25.770%,22.460%,Financials in GBP,Fiscal year is January - December
Advertising Expenses,-,"2,023,000,000","2,026,000,000","1,941,000,000","2,013,000,000","1,772,000,000",Financials in GBP,Fiscal year is January - December
