Fiscal Quarter,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Currency,Fiscal_Year_period
Free Cash Flow,"-5,336,597","-3,393,502","-2,088,611","-3,349,407","-1,623,794","-3,156,083","-2,907,635","-3,256,298","-3,169,182","-2,175,240","-3,015,286","-668,143","-1,106,026","-1,166,770","-664,529",705,-314,-317,1,11,Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-0.020,-0.014,-0.009,-0.014,-0.009,-0.018,-0.017,-0.019,-0.019,-0.013,-0.019,-0.004,-0.008,-0.008,-0.008,0.000,-,-,-,-,Financials in CAD,Fiscal year is April - March
Gross Margin,55.669%,77.742%,54.307%,61.592%,5.153%,-183.726%,-110.802%,88.555%,100.000%,100.000%,100.000%,100.000%,-,100.000%,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Operating Margin,-233.362%,-182.230%,-193.859%,-197.609%,-802.785%,-5604.064%,-2635.149%,-4017.060%,-6703.601%,-6269.608%,-8148.424%,-5170.892%,-,-1414.854%,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Profit Margin,-1022.290%,-198.832%,-184.499%,-547.334%,716.314%,-21489.840%,-5548.837%,-5274.872%,-20167.890%,-11710.557%,-10700.841%,-1944.536%,-,-806.587%,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-171.975%,-143.112%,-91.935%,-193.791%,-353.636%,-3492.092%,-2774.461%,-5185.023%,-6054.065%,-4369.794%,-5697.173%,-1005.800%,-,-884.667%,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
EBITDA,"-6,699,393","-3,957,101","-4,032,055","-2,990,610","-3,620,354","-4,804,205","-2,600,701","-2,395,006","-3,385,839","-2,998,696","-4,192,443","-3,377,805","-1,505,910","-1,863,475","-379,847",-,-,-,-,-,Financials in CAD,Fiscal year is April - March
EBITDA Margin,-215.892%,-166.881%,-177.480%,-173.031%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"542,101","363,981","372,086","424,788","65,801","260,636","160,935","127,788","123,362","122,252","120,192","57,167","6,266","2,548",606,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
EBIT,"-7,241,494","-4,321,082","-4,404,141","-3,415,398","-3,686,155","-5,064,841","-2,761,636","-2,522,794","-3,509,201","-3,120,948","-4,312,635","-3,434,972","-1,512,176","-1,866,023","-380,453",-2,"-1,040",-,-,-,Financials in CAD,Fiscal year is April - March
EBIT Margin,-233.362%,-182.230%,-193.859%,-197.609%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,49.074%,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Revenue as Reported,-,"2,371,218","2,271,830","1,728,363","459,171","90,378","104,800","62,802","52,348","49,779","52,926","66,429",-,"131,888",-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Advertising Expenses,-,"1,115,332","594,229","212,510",-,"115,687","63,681","81,789",-,"73,885","112,316","96,376",-,"252,766",-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
