Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Interest Expense,"-14,000","-11,000","-14,000","-15,000","-17,000","-16,000","-17,000","-5,000","-8,000","-10,000",Upgrade,Financials in GBP,Fiscal year is October - September
Interest & Investment Income,"30,000","55,000","61,000","44,000","10,000",-,-,"1,000","3,000","17,000",Upgrade,Financials in GBP,Fiscal year is October - September
Other Non Operating Income (Expenses),-,-,-,-,-,-,"1,000","-1,000",-,-,Upgrade,Financials in GBP,Fiscal year is October - September
EBT Excluding Unusual Items,"-550,000","-1,544,000","-477,000","-884,000","732,000","153,000","463,000","634,000","365,000","493,000",Upgrade,Financials in GBP,Fiscal year is October - September
Pretax Income,"-550,000","-1,544,000","-477,000","-884,000","732,000","153,000","463,000","634,000","365,000","493,000",Upgrade,Financials in GBP,Fiscal year is October - September
Income Tax Expense,"38,000","-131,000","-24,000","-159,000","-132,000","-15,000","-207,000","-208,000","-112,000","18,000",Upgrade,Financials in GBP,Fiscal year is October - September
Net Income,"-588,000","-1,413,000","-453,000","-725,000","864,000","168,000","670,000","842,000","477,000","475,000",Upgrade,Financials in GBP,Fiscal year is October - September
Net Income to Common,"-588,000","-1,413,000","-453,000","-725,000","864,000","168,000","670,000","842,000","477,000","475,000",Upgrade,Financials in GBP,Fiscal year is October - September
Net Income Growth,-,-,-,-,28.955%,-80.048%,40.461%,77.263%,119.816%,120.930%,Upgrade,Financials in GBP,Fiscal year is October - September
Shares Outstanding (Basic),"48,266,989","48,351,373","48,350,967","48,267,395","48,151,373","48,151,373","48,069,021","47,259,617","47,090,982","46,981,814",Upgrade,Financials in GBP,Fiscal year is October - September
Shares Outstanding (Diluted),"48,266,989","48,351,373","48,350,967","48,267,395","50,877,055","50,638,391","50,616,916","50,210,568","47,416,254","47,683,584",Upgrade,Financials in GBP,Fiscal year is October - September
Shares Change (YoY),-0.174%,0.174%,-4.965%,-4.682%,0.514%,0.852%,6.750%,5.299%,1.286%,1.938%,Upgrade,Financials in GBP,Fiscal year is October - September
EPS (Basic),-0.012,-0.029,-0.009,-0.015,0.018,0.003,0.014,0.018,0.010,0.010,Upgrade,Financials in GBP,Fiscal year is October - September
EPS (Diluted),-0.012,-0.029,-0.009,-0.015,0.017,0.003,0.013,0.017,0.010,0.010,Upgrade,Financials in GBP,Fiscal year is October - September
EPS Growth,-,-,-,-,28.273%,-80.256%,32.153%,68.000%,117.370%,117.581%,Upgrade,Financials in GBP,Fiscal year is October - September
Free Cash Flow,"-571,000","-1,195,000","118,000","84,000","1,056,000","181,000","773,000","-330,000","1,695,000","-464,000",Upgrade,Financials in GBP,Fiscal year is October - September
Free Cash Flow Per Share,-0.012,-0.025,0.002,0.002,0.021,0.004,0.015,-0.007,0.036,-0.010,Upgrade,Financials in GBP,Fiscal year is October - September
Operating Margin,-17.534%,-62.569%,-15.136%,-28.505%,15.653%,4.309%,11.199%,13.006%,7.434%,10.670%,Upgrade,Financials in GBP,Fiscal year is October - September
Profit Margin,-18.216%,-55.674%,-13.085%,-22.635%,18.301%,4.284%,15.665%,17.138%,9.584%,10.428%,Upgrade,Financials in GBP,Fiscal year is October - September
Free Cash Flow Margin,-17.689%,-47.084%,3.408%,2.623%,22.368%,4.615%,18.073%,-6.717%,34.057%,-10.187%,Upgrade,Financials in GBP,Fiscal year is October - September
EBITDA,"-598,000","-1,347,000","-484,000","-608,000","806,000","488,000","547,000","936,000","378,000","674,000",Upgrade,Financials in GBP,Fiscal year is October - September
D&A For EBITDA,"-32,000","241,000","40,000","305,000","67,000","319,000","68,000","297,000","8,000","188,000",Upgrade,Financials in GBP,Fiscal year is October - September
EBIT,"-566,000","-1,588,000","-524,000","-913,000","739,000","169,000","479,000","639,000","370,000","486,000",Upgrade,Financials in GBP,Fiscal year is October - September
