Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Earnings From Continuing Operations,"794,000,000","1,920,000,000","604,000,000","1,640,000,000","494,700,000","1,760,300,000","565,000,000","1,810,000,000","854,500,000","1,248,000,000",Upgrade,Financials in USD,Fiscal year is July - June
Minority Interest in Earnings,"-53,000,000","-19,000,000","-33,000,000","-17,000,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"741,000,000","1,901,000,000","571,000,000","1,623,000,000","494,700,000","1,760,300,000","565,000,000","1,810,000,000","854,500,000","1,248,000,000",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"741,000,000","1,901,000,000","571,000,000","1,623,000,000","494,700,000","1,760,300,000","565,000,000","1,810,000,000","854,500,000","1,248,000,000",Upgrade,Financials in USD,Fiscal year is July - June
Net Income Growth,29.772%,17.129%,15.423%,-7.800%,-12.442%,-2.746%,-33.879%,45.032%,12.731%,7.521%,Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"483,191,925","482,829,777","482,308,189","482,038,107","480,758,459","456,751,255","454,940,380","454,790,828","453,866,122","453,750,076",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"485,414,281","484,984,333","484,145,225","483,627,675","482,121,057","458,113,319","456,212,201","456,195,405","455,798,658","455,411,362",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),0.262%,0.281%,0.420%,5.569%,5.679%,0.420%,0.091%,0.172%,0.499%,0.196%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),1.534,3.937,1.184,3.367,1.029,3.854,1.242,3.980,1.883,2.750,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),1.531,3.920,1.171,3.360,1.029,3.840,1.240,3.970,1.870,2.740,Upgrade,Financials in USD,Fiscal year is July - June
EPS Growth,30.729%,16.667%,13.816%,-12.500%,-17.020%,-3.275%,-33.700%,44.891%,11.771%,7.451%,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"1,321,000,000","594,000,000","963,000,000","410,000,000","648,100,000","901,900,000","669,900,000","1,755,700,000","659,400,000","622,100,000",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,2.721,1.225,1.989,0.848,1.344,1.969,1.468,3.849,1.447,1.366,Upgrade,Financials in USD,Fiscal year is July - June
Dividend Per Share,1.450,1.190,1.290,1.070,1.180,1.040,1.180,1.040,1.070,0.950,Upgrade,Financials in USD,Fiscal year is July - June
Dividend Growth,12.403%,11.215%,9.322%,2.885%,0%,0%,10.280%,9.474%,7.000%,11.765%,Upgrade,Financials in USD,Fiscal year is July - June
Operating Margin,19.016%,32.448%,21.025%,29.705%,15.756%,36.660%,16.893%,41.083%,25.577%,33.234%,Upgrade,Financials in USD,Fiscal year is July - June
Profit Margin,10.983%,23.606%,9.321%,22.592%,10.943%,29.138%,12.362%,31.536%,20.152%,25.414%,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,19.579%,7.376%,15.720%,5.707%,14.336%,14.929%,14.657%,30.590%,15.551%,12.669%,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"1,576,000,000","3,042,000,000","1,530,000,000","2,515,000,000","805,100,000","2,478,900,000","864,900,000","2,588,300,000","1,159,500,000","1,836,300,000",Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"293,000,000","429,000,000","242,000,000","381,000,000","92,800,000","264,200,000","92,800,000","230,400,000","75,000,000","204,300,000",Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"1,283,000,000","2,613,000,000","1,288,000,000","2,134,000,000","712,300,000","2,214,700,000","772,100,000","2,357,900,000","1,084,500,000","1,632,000,000",Upgrade,Financials in USD,Fiscal year is July - June
Revenue as Reported,"6,747,000,000","8,053,000,000","6,126,000,000","7,184,000,000","4,520,800,000","6,041,200,000","4,570,600,000","5,739,400,000","4,240,200,000","4,910,600,000",Upgrade,Financials in USD,Fiscal year is July - June
