Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Asset Writedown,"-25,800,000","2,600,000","300,000","-17,200,000","1,400,000","-6,800,000","-14,300,000","3,500,000","2,500,000","13,300,000",Upgrade,Financials in GBP,Fiscal year is July - June
Legal Settlements,"-6,400,000","-4,000,000","-2,700,000","-1,800,000","100,000","1,800,000","-800,000","-1,700,000","-4,400,000","-12,000,000",Upgrade,Financials in GBP,Fiscal year is July - June
Other Unusual Items,"500,000","-600,000","-100,000","-200,000","-800,000",-,"2,800,000","-3,300,000","-400,000","-300,000",Upgrade,Financials in GBP,Fiscal year is July - June
Pretax Income,"-8,800,000","14,300,000","24,400,000","15,000,000","24,000,000","24,400,000","18,400,000","37,400,000","15,900,000","30,400,000",Upgrade,Financials in GBP,Fiscal year is July - June
Income Tax Expense,"-900,000","4,000,000","4,600,000","3,000,000","6,200,000","5,500,000","600,000","8,400,000","4,300,000","6,300,000",Upgrade,Financials in GBP,Fiscal year is July - June
Earnings From Continuing Operations,"-7,900,000","10,300,000","19,800,000","12,000,000","17,800,000","18,900,000","17,800,000","29,000,000","11,600,000","24,100,000",Upgrade,Financials in GBP,Fiscal year is July - June
Minority Interest in Earnings,"2,300,000","3,200,000","100,000","1,400,000","3,200,000","1,000,000","-700,000","1,200,000",-,"-400,000",Upgrade,Financials in GBP,Fiscal year is July - June
Net Income,"-5,600,000","13,500,000","19,900,000","13,400,000","21,000,000","19,900,000","17,100,000","30,200,000","11,600,000","23,700,000",Upgrade,Financials in GBP,Fiscal year is July - June
Net Income to Common,"-5,600,000","13,500,000","19,900,000","13,400,000","21,000,000","19,900,000","17,100,000","30,200,000","11,600,000","23,700,000",Upgrade,Financials in GBP,Fiscal year is July - June
Net Income Growth,-,0.746%,-5.238%,-32.663%,22.807%,-34.106%,47.414%,27.426%,-22.667%,-,Upgrade,Financials in GBP,Fiscal year is July - June
Shares Outstanding (Basic),"65,692,000","65,680,000","65,574,000","65,540,000","65,400,000","65,390,000","65,160,000","65,056,000","64,948,000","64,868,000",Upgrade,Financials in GBP,Fiscal year is July - June
Shares Outstanding (Diluted),"66,128,000","66,220,000","66,015,000","65,981,000","65,608,000","65,820,000","65,714,000","65,610,000","65,501,000","65,353,000",Upgrade,Financials in GBP,Fiscal year is July - June
Shares Change (YoY),0.171%,0.362%,0.620%,0.245%,-0.161%,0.320%,0.325%,0.393%,-5.082%,6.093%,Upgrade,Financials in GBP,Fiscal year is July - June
EPS (Basic),-0.085,0.206,0.303,0.204,0.321,0.304,0.262,0.464,0.179,0.365,Upgrade,Financials in GBP,Fiscal year is July - June
EPS (Diluted),-0.085,0.204,0.302,0.203,0.320,0.302,0.260,0.460,0.177,0.363,Upgrade,Financials in GBP,Fiscal year is July - June
EPS Growth,-,0.493%,-5.642%,-32.781%,23.013%,-34.348%,46.808%,26.722%,-18.317%,-,Upgrade,Financials in GBP,Fiscal year is July - June
Free Cash Flow,"18,000,000","-3,000,000","23,400,000","1,100,000","4,700,000","-12,500,000","12,400,000","26,400,000","22,500,000","13,000,000",Upgrade,Financials in GBP,Fiscal year is July - June
Free Cash Flow Per Share,0.272,-0.045,0.354,0.017,0.072,-0.190,0.189,0.402,0.344,0.199,Upgrade,Financials in GBP,Fiscal year is July - June
Dividend Per Share,0.217,0.103,0.217,0.103,0.217,0.103,0.217,0.103,0.197,0.094,Upgrade,Financials in GBP,Fiscal year is July - June
Dividend Growth,0%,0%,0%,0%,0%,0%,10.152%,9.574%,4.787%,5.618%,Upgrade,Financials in GBP,Fiscal year is July - June
Operating Margin,8.294%,7.824%,7.865%,9.709%,8.873%,10.277%,8.974%,12.461%,6.448%,10.085%,Upgrade,Financials in GBP,Fiscal year is July - June
Profit Margin,-1.671%,4.047%,5.862%,3.826%,6.726%,7.077%,5.925%,10.571%,4.133%,8.755%,Upgrade,Financials in GBP,Fiscal year is July - June
Free Cash Flow Margin,5.370%,-0.899%,6.892%,0.314%,1.505%,-4.445%,4.297%,9.240%,8.016%,4.802%,Upgrade,Financials in GBP,Fiscal year is July - June
EBITDA,"38,300,000","39,800,000","30,300,000","56,600,000","32,900,000","46,900,000","29,200,000","52,800,000","23,800,000","44,200,000",Upgrade,Financials in GBP,Fiscal year is July - June
D&A For EBITDA,"10,500,000","13,700,000","3,600,000","22,600,000","5,200,000","18,000,000","3,300,000","17,200,000","5,700,000","16,900,000",Upgrade,Financials in GBP,Fiscal year is July - June
EBIT,"27,800,000","26,100,000","26,700,000","34,000,000","27,700,000","28,900,000","25,900,000","35,600,000","18,100,000","27,300,000",Upgrade,Financials in GBP,Fiscal year is July - June
