Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Gain (Loss) on Sale of Investments,"-3,738,000","-3,738,000","6,851,000",-,"-464,000","-756,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-19,000,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-2,263,000","3,262,000","-2,360,000","-3,374,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-19,729,000","-19,729,000","-44,158,000","-44,776,000","-25,895,000","-45,980,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"68,000","68,000","-6,354,000","950,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-19,797,000","-19,797,000","-37,804,000","-45,726,000","-25,895,000","-45,980,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"1,898,000","1,898,000","-28,361,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-17,899,000","-17,899,000","-66,165,000","-45,726,000","-25,895,000","-45,980,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,"6,450,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-17,899,000","-17,899,000","-66,165,000","-45,726,000","-25,895,000","-39,530,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"10,219,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,899,000","-17,899,000","-66,165,000","-45,726,000","-36,114,000","-39,530,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,567,601","1,567,601","1,279,746","856,336","360,519","260,493",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,567,601","1,567,601","1,279,746","856,336","360,519","260,493",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),22.493%,22.493%,49.444%,137.529%,38.399%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-11.418,-11.418,-51.702,-53.397,-100.172,-151.751,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-11.418,-11.418,-51.702,-53.397,-100.172,-151.751,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-11,539,000","-11,539,000","-30,372,000","-43,513,000","-25,626,000","-55,727,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-7.361,-7.361,-23.733,-50.813,-71.081,-213.929,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,37.641%,37.641%,43.979%,44.289%,61.178%,39.597%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-89.533%,-89.533%,-130.835%,-251.717%,-221.556%,-466.428%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-102.767%,-102.767%,-403.199%,-297.424%,-298.044%,-504.595%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-66.251%,-66.251%,-185.082%,-283.030%,-211.488%,-711.348%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-13,220,000","-13,220,000","-17,798,000","-35,191,000","-23,256,000","-35,060,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-75.903%,-75.903%,-108.458%,-228.899%,-191.929%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,374,000","2,374,000","3,672,000","3,508,000","3,590,000","1,480,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-15,594,000","-15,594,000","-21,470,000","-38,699,000","-26,846,000","-36,540,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-89.533%,-89.533%,-130.835%,-251.717%,-221.556%,-,Upgrade,Financials in USD,Fiscal year is January - December
