Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Interest Expense,"-43,397","-26,307","-23,369","-11,769","-1,331",-,-1,-,-95,-,"-14,321","-68,155","-180,850","-38,710","-2,169","-2,196",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,"1,265",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-1,-,-4,220,-184,-97,-40,-158,-,-,105,-105,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,628","-25,370","10,779","-8,722","-24,851","-26,634","-13,252","-3,506","-39,117","-203,235","-130,422","190,723","95,321",399,"-2,964",-481,-93,-62,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-479,839","-290,982","-742,159","-520,752","-903,998","-791,837","-975,970","-797,763","-717,195","-1,649,073","-772,874","-309,728","-412,502","-184,086","-33,928","-27,945",-93,-62,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,"-2,501,118",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-15,606",-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,"-709,794",-,-,-,-,-,-,-,"9,974","-9,974",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,"-156,255",-,-,-,"2,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-479,839","-290,982","-742,159","-520,752","-903,998","-791,837","-1,685,764","-797,763","-717,195","-1,649,073","-929,129","-2,810,846","-412,502","-184,086","-37,560","-37,919",-93,-62,Financials in USD,Fiscal year is January - December
Net Income,"-479,839","-290,982","-742,159","-520,752","-903,998","-791,837","-1,685,764","-797,763","-717,195","-1,649,073","-929,129","-2,810,846","-412,502","-184,086","-37,560","-37,919",-93,-62,Financials in USD,Fiscal year is January - December
Net Income to Common,"-479,839","-290,982","-742,159","-520,752","-903,998","-791,837","-1,685,764","-797,763","-717,195","-1,649,073","-929,129","-2,810,846","-412,502","-184,086","-37,560","-37,919",-93,-62,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"15,243,841","11,947,138","11,791,373","11,961,582","11,881,583","11,847,139","11,607,141","11,927,138","11,846,951","11,846,761","11,845,139","5,636,386","4,000,000","4,000,000","4,255,452","3,800,000","413,030","413,030",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"15,243,841","11,947,138","11,791,373","11,961,582","11,881,583","11,847,139","11,607,141","11,927,138","11,846,951","11,846,761","11,845,139","5,636,386","4,000,000","4,000,000","4,255,452","3,800,000","413,030","413,030",Financials in USD,Fiscal year is January - December
Shares Change (YoY),28.298%,0.844%,1.587%,0.289%,0.292%,0.003%,-2.009%,111.610%,196.174%,196.169%,178.352%,48.326%,868.453%,868.453%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.031,-0.024,-0.063,-0.044,-0.076,-0.067,-0.145,-0.067,-0.061,-0.139,-0.078,-0.499,-0.103,-0.046,-0.009,-0.010,-0.000,-0.000,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.031,-0.024,-0.063,-0.044,-0.076,-0.067,-0.145,-0.067,-0.061,-0.139,-0.078,-0.499,-0.103,-0.046,-0.009,-0.010,-0.000,-0.000,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-606,872","-87,979","-306,945","-444,322","-383,054","-704,197","-956,760","-816,856","-875,422","-1,086,502","-1,102,050","-394,634","-350,090","-214,504","-41,606","-144,668",-62,-62,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.040,-0.007,-0.026,-0.037,-0.032,-0.059,-0.082,-0.068,-0.074,-0.092,-0.093,-0.070,-0.088,-0.054,-0.010,-0.038,-0.000,-0.000,Financials in USD,Fiscal year is January - December
Gross Margin,-,35.815%,-36.610%,-62.070%,-44.216%,-34.066%,-15.054%,59.852%,47.782%,54.376%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-4426.489%,-91.003%,-1675.819%,-887.538%,-1427.638%,-1161.827%,-505.768%,-5704.763%,-3676.480%,-22858.531%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-4884.852%,-110.655%,-1704.741%,-923.892%,-1470.226%,-1201.920%,-885.794%,-5730.644%,-3889.344%,-26051.706%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-6178.072%,-33.457%,-705.053%,-788.294%,-622.984%,-1068.892%,-502.735%,-5867.797%,-4747.408%,-17164.329%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-422,403","-226,895","-717,158","-500,260","-852,991","-753,013","-950,184","-784,514","-666,752","-1,441,112","-624,342","-419,818","-321,110","-141,750","-26,821","-21,341",-,-,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-86.284%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"12,411","12,410","12,410",1,"24,821","12,410","12,349","9,646","11,191","5,833","3,789","12,478","5,968","3,920","1,974","3,927",492,513,Financials in USD,Fiscal year is January - December
EBIT,"-434,814","-239,305","-729,568","-500,261","-877,812","-765,423","-962,533","-794,160","-677,943","-1,446,945","-628,131","-432,296","-327,078","-145,670","-28,795","-25,268",-,-,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-91.003%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Advertising Expenses,"1,753","26,474",-,"39,017","70,967","251,640",-,"132,409","170,254","219,502",-,"85,528","101,753","41,203",-,"2,500",-,-,Financials in USD,Fiscal year is January - December
