Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Net Income to Common,"-2,756,000","-4,111,000","-3,396,000","-3,441,000","-7,130,000","-6,197,000","-10,828,000","-14,204,000","-90,302,000",-,Financials in AUD,Fiscal year is January - December
Shares Outstanding (Basic),"124,740,090","73,351,923","45,002,523","39,516,839","39,502,197","39,508,719","39,196,271","26,200,103","18,655,159",-,Financials in AUD,Fiscal year is January - December
Shares Outstanding (Diluted),"124,740,090","73,351,923","45,002,523","39,516,839","39,502,197","39,508,719","39,196,271","26,200,103","18,655,159",-,Financials in AUD,Fiscal year is January - December
Shares Change (YoY),177.185%,85.622%,13.924%,0.021%,0.780%,50.796%,110.110%,-,17.214%,-,Financials in AUD,Fiscal year is January - December
EPS (Basic),-0.022,-0.056,-0.075,-0.087,-0.180,-0.157,-0.276,-0.542,-4.841,-,Financials in AUD,Fiscal year is January - December
EPS (Diluted),-0.022,-0.056,-0.075,-0.087,-0.181,-0.157,-0.276,-0.542,-4.841,-,Financials in AUD,Fiscal year is January - December
Free Cash Flow,"-2,190,000","-2,155,000","-615,000","-2,821,000","-5,336,000","-6,124,000","-8,107,000","-7,606,000","-15,310,000",-,Financials in AUD,Fiscal year is January - December
Free Cash Flow Per Share,-0.018,-0.029,-0.014,-0.071,-0.135,-0.155,-0.207,-0.290,-0.821,-,Financials in AUD,Fiscal year is January - December
Operating Margin,-38.955%,-58.683%,-93.169%,-102.423%,-180.908%,-210.202%,-173.820%,-125.419%,-205.389%,-,Financials in AUD,Fiscal year is January - December
Profit Margin,-40.697%,-85.397%,-98.292%,-89.633%,-221.704%,-136.258%,-226.054%,-198.380%,-1150.344%,-,Financials in AUD,Fiscal year is January - December
Free Cash Flow Margin,-32.339%,-44.765%,-17.800%,-73.483%,-165.920%,-134.653%,-169.248%,-106.229%,-195.032%,-,Financials in AUD,Fiscal year is January - December
EBITDA,"-2,372,000","-2,742,000","-2,955,000","-4,197,000","-5,376,000","-9,886,000","-7,513,000","-9,195,000","-14,162,000",-,Financials in AUD,Fiscal year is January - December
D&A For EBITDA,"266,000","83,000","264,000","-265,000","442,000","-326,000","813,000","-215,000","1,961,000","769,000",Financials in AUD,Fiscal year is January - December
EBIT,"-2,638,000","-2,825,000","-3,219,000","-3,932,000","-5,818,000","-9,560,000","-8,326,000","-8,980,000","-16,123,000",-,Financials in AUD,Fiscal year is January - December
