Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Currency,Fiscal_Year_period
Income Tax Expense,"68,000",-,-,-,"296,000","-6,650,000",-,-,"950,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-5,114,000","-7,271,000","-3,261,000","-4,151,000","-7,644,000","-18,191,000","1,856,000","-13,825,000","-24,000,000","995,000","-8,956,000","-13,765,000","-848,000","-6,108,000","-8,753,000","-10,186,000","-18,399,000","-12,587,000","-8,330,000","-6,664,000",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"29,000","2,133,000","-334,000","70,000","-21,172,000","-1,972,000","-2,902,000","-2,315,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Company,"-5,085,000","-5,138,000","-3,595,000","-4,081,000","-28,816,000","-20,163,000","-1,046,000","-16,140,000","-24,000,000","995,000","-8,956,000","-13,765,000","-848,000","-6,108,000","-8,753,000","-10,186,000","-18,399,000","-12,587,000","-8,330,000","-6,664,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,"-2,662,000","1,014,000","744,000","904,000","2,093,000","1,947,000","1,833,000","577,000",Financials in USD,Fiscal year is January - December
Net Income,"-5,085,000","-5,138,000","-3,595,000","-4,081,000","-28,816,000","-20,163,000","-1,046,000","-16,140,000","-24,000,000","995,000","-8,956,000","-13,765,000","-3,510,000","-5,094,000","-8,009,000","-9,282,000","-16,306,000","-10,640,000","-6,497,000","-6,087,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,"10,219,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,085,000","-5,138,000","-3,595,000","-4,081,000","-28,816,000","-20,163,000","-1,046,000","-16,140,000","-24,000,000","995,000","-8,956,000","-13,765,000","-13,729,000","-5,094,000","-8,009,000","-9,282,000","-16,306,000","-10,640,000","-6,497,000","-6,087,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,726,215","1,580,456","1,495,538","1,463,441","1,455,663","1,407,419","1,318,658","932,019","878,462","858,532","852,965","834,335","596,379","354,601","326,686","276,801","19,266,609",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,726,215","1,580,456","1,495,538","1,463,441","1,455,663","1,407,419","1,318,658","932,019","878,462","858,532","852,965","834,335","596,379","354,601","326,686","276,801","19,266,609",-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),18.586%,12.295%,13.414%,57.018%,65.706%,63.933%,54.597%,11.708%,47.299%,142.112%,161.096%,201.421%,-96.905%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.946,-3.251,-2.404,-2.789,-19.796,-14.326,-0.793,-17.317,-27.320,1.159,-10.500,-16.498,-23.021,-14.365,-24.516,-33.533,-0.846,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.946,-3.251,-2.404,-2.789,-19.796,-14.326,-0.793,-17.317,-27.320,1.159,-10.500,-16.498,-23.021,-14.365,-24.516,-33.533,-0.846,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,387,000","-2,309,000","-1,731,000","-6,112,000","-4,547,000","-5,640,000","-8,599,000","-11,586,000","-9,370,000","-10,328,000","-10,972,000","-12,843,000","-4,061,000","-3,586,000","-9,103,000","-8,876,000","-15,146,000","-19,014,000","-18,392,000","-3,175,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.803,-1.461,-1.157,-4.176,-3.124,-4.007,-6.521,-12.431,-10.666,-12.030,-12.863,-15.393,-6.809,-10.113,-27.865,-32.066,-0.786,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,-7.460%,50.838%,54.728%,56.159%,19.173%,45.309%,60.512%,51.438%,23.128%,47.904%,48.148%,61.547%,67.882%,52.923%,46.777%,74.159%,56.843%,31.305%,30.362%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-105.908%,-88.403%,-63.742%,-103.821%,-109.927%,-188.559%,-130.439%,-116.564%,-277.635%,-240.238%,-261.520%,-223.411%,-218.644%,-120.271%,-377.772%,-257.104%,-660.579%,-291.855%,-243.918%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-109.638%,-134.503%,-72.174%,-102.589%,-654.612%,-703.279%,-25.512%,-320.175%,-572.246%,24.684%,-243.900%,-395.887%,-410.188%,-130.049%,-413.048%,-318.531%,-621.655%,-348.054%,-301.625%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-29.905%,-60.445%,-34.752%,-153.645%,-103.294%,-196.721%,-209.732%,-229.835%,-223.414%,-256.214%,-298.802%,-369.370%,-121.333%,-91.550%,-469.469%,-304.598%,-577.430%,-621.982%,-853.853%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-4,471,000","-2,686,000","-2,556,000","-3,507,000","-4,102,000","-4,455,000","-4,260,000","-4,980,000","-9,951,000","-9,246,000","-9,021,000","-6,973,000","-4,979,000","-4,177,000","-6,960,000","-7,140,000","-16,553,000","-8,686,000","-4,997,000","-4,209,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-96.399%,-70.314%,-51.315%,-88.160%,-93.185%,-155.389%,-103.902%,-98.790%,-237.268%,-229.372%,-245.670%,-200.546%,-148.760%,-106.638%,-,-245.024%,-,-284.135%,-231.987%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"441,000","691,000","619,000","623,000","737,000","951,000","1,088,000","896,000","1,693,000","438,000","582,000","795,000","2,339,000","534,000","365,000","352,000","774,000","236,000","257,000","213,000",Financials in USD,Fiscal year is January - December
EBIT,"-4,912,000","-3,377,000","-3,175,000","-4,130,000","-4,839,000","-5,406,000","-5,348,000","-5,876,000","-11,644,000","-9,684,000","-9,603,000","-7,768,000","-7,318,000","-4,711,000","-7,325,000","-7,492,000","-17,327,000","-8,922,000","-5,254,000","-4,422,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-105.908%,-88.403%,-63.742%,-103.821%,-109.927%,-188.559%,-130.439%,-116.564%,-277.635%,-240.238%,-261.520%,-223.411%,-218.643%,-120.271%,-,-257.104%,-,-291.855%,-243.918%,-,Financials in USD,Fiscal year is January - December
