Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"-438,983","88,475","350,508","-1,030,573","940,087","396,321",-,-,-,-,-,"2,159,428","-1,132,281","-757,124","-270,023","19,209","-46,874","-78,603",-314,Financials in CAD,Fiscal year is December - November
EBT Excluding Unusual Items,"-3,614,661","-2,006,077","-1,899,058","-6,156,511","1,128,194","-2,617,049","-5,254,863","-2,852,259","-4,244,370","-2,853,770","-2,730,021","-2,965,971","-4,407,159","-3,788,791","-1,659,458","-1,172,233","-448,396","-932,463","-112,000",Financials in CAD,Fiscal year is December - November
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,"-1,907,405",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Impairment of Goodwill,-,-,-,-,-,-,-,"-6,198,979",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,"-332,225",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Asset Writedown,-,-,-,"99,354",-,-,-,"1,202,168",39,"-7,287",-,"-10,833,224",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Legal Settlements,-,-,"3,095",-,-,-,"100,000",-,-,-,"-67,535",-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Other Unusual Items,"1,297,533","-700,000",-,"-407,254","30,595","-36,624","21,500","1,091,365","-215,302","197,765",-,-,-,-,-,-,"-74,111",-,-,Financials in CAD,Fiscal year is December - November
Pretax Income,"-2,317,128","-2,706,077","-1,895,963","-6,464,411","1,158,789","-2,653,673","-5,133,363","-6,757,705","-4,459,633","-2,663,292","-2,797,556","-16,038,825","-4,407,159","-3,788,791","-1,659,458","-1,172,233","-522,507","-932,463","-112,000",Financials in CAD,Fiscal year is December - November
Income Tax Expense,-,-,-,-,-,-,-,"-310,409",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Net Income,"-2,317,128","-2,706,077","-1,895,963","-6,464,411","1,158,789","-2,653,673","-5,133,363","-6,447,296","-4,459,633","-2,663,292","-2,797,556","-16,038,825","-4,407,159","-3,788,791","-1,659,458","-1,172,233","-522,507","-932,463","-112,000",Financials in CAD,Fiscal year is December - November
Net Income to Common,"-2,317,128","-2,706,077","-1,895,963","-6,464,411","1,158,789","-2,653,673","-5,133,363","-6,447,296","-4,459,633","-2,663,292","-2,797,556","-16,038,825","-4,407,159","-3,788,791","-1,659,458","-1,172,233","-522,507","-932,463","-112,000",Financials in CAD,Fiscal year is December - November
Shares Outstanding (Basic),"78,404,602","68,238,856","53,404,602","65,428,452","53,333,204","53,073,460","43,763,994","43,763,994","43,763,994","45,266,040","40,656,601","35,669,418","33,851,815","22,489,073","15,446,828","12,083,887","12,021,521","10,107,471","7,884,000",Financials in CAD,Fiscal year is December - November
Shares Outstanding (Diluted),"78,404,602","68,238,856","53,404,602","65,428,452","53,333,204","53,073,460","43,763,994","43,763,994","43,763,994","45,266,040","40,656,601","35,669,418","33,851,815","22,489,073","15,446,828","12,083,887","12,021,521","10,107,471","7,884,000",Financials in CAD,Fiscal year is December - November
Shares Change (YoY),47.009%,28.574%,22.029%,49.503%,21.865%,17.248%,7.643%,22.693%,29.281%,101.280%,163.204%,195.182%,181.593%,122.500%,95.926%,-,-,-,-,Financials in CAD,Fiscal year is December - November
EPS (Basic),-0.030,-0.040,-0.036,-0.099,0.022,-0.050,-0.117,-0.147,-0.102,-0.059,-0.069,-0.450,-0.130,-0.168,-0.107,-0.097,-0.043,-0.092,-0.014,Financials in CAD,Fiscal year is December - November
EPS (Diluted),-0.030,-0.040,-0.036,-0.099,0.022,-0.050,-0.117,-0.147,-0.102,-0.059,-0.069,-0.450,-0.130,-0.168,-0.107,-0.097,-0.043,-0.092,-0.014,Financials in CAD,Fiscal year is December - November
Free Cash Flow,-,-,"-184,302","-1,671,184","-3,311,869","-688,941","-2,475,753","66,358","-2,230,389","-1,069,128","-2,776,551","6,297,958","-4,580,677","-25,183,198","-1,425,976",-,-,"-500,791","-222,912",Financials in CAD,Fiscal year is December - November
Free Cash Flow Per Share,-,-,-0.003,-0.026,-0.062,-0.013,-0.057,0.002,-0.051,-0.024,-0.068,0.177,-0.135,-1.120,-0.092,-,-,-0.050,-0.028,Financials in CAD,Fiscal year is December - November
Gross Margin,-36.509%,27.246%,19.505%,-95.187%,17.604%,39.403%,27.035%,73.983%,-28.288%,-14.056%,87.268%,36.550%,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Operating Margin,-218.656%,-158.035%,-284.095%,-364.773%,-5.733%,-108.093%,-577.692%,-160.589%,-192.149%,-83.028%,-310.901%,-2229.981%,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Profit Margin,-338.688%,-293.871%,-323.901%,-380.655%,118.834%,-361.435%,-867.949%,-718.873%,-256.093%,-75.870%,-325.616%,-6670.059%,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Free Cash Flow Margin,-,-,-31.486%,-98.407%,-339.634%,-93.835%,-418.600%,7.399%,-128.079%,-30.456%,-323.171%,2619.129%,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
EBITDA,"-1,295,710","-1,255,025","-1,462,736","-5,681,770","14,594","-734,605","-3,251,740","-1,367,453","-3,211,848","-2,689,999","-2,500,114","-5,322,887","-2,606,273","-3,362,838","-1,378,823","-1,185,999","-397,795",-,-,Financials in CAD,Fiscal year is December - November
EBITDA Margin,-189.390%,-136.292%,-249.889%,-,1.497%,-100.055%,-,-152.471%,-184.439%,-76.630%,-290.995%,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
D&A For EBITDA,"200,223","200,223","200,223","512,924","70,500","59,021","164,938","72,810","134,268","224,592","171,016","39,325",-,"2,675","2,675","1,573","3,147",-,-,Financials in CAD,Fiscal year is December - November
EBIT,"-1,495,933","-1,455,248","-1,662,959","-6,194,694","-55,906","-793,626","-3,416,678","-1,440,263","-3,346,116","-2,914,591","-2,671,130","-5,362,212","-2,606,273","-3,365,513","-1,381,498","-1,187,572","-400,942","-852,086","-110,847",Financials in CAD,Fiscal year is December - November
EBIT Margin,-218.656%,-158.035%,-284.095%,-,-5.733%,-108.093%,-,-160.589%,-192.149%,-83.028%,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Advertising Expenses,"-1,422","1,965","4,361",-,"16,250","93,820","41,509",-,"89,538","223,357","221,552",-,"1,048,699","1,959,899","845,532",-,"68,149","53,766",-,Financials in CAD,Fiscal year is December - November
