Fiscal Quarter,Q3 2022,Q3 2014,Q4 2013,Q3 2013,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Currency,Fiscal_Year_period
Shares Change (YoY),864.570%,73.043%,3.495%,12.535%,0.933%,5.565%,9.979%,1.151%,4.585%,0.006%,0.010%,0.003%,0.010%,-66.434%,9533.791%,9533.791%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.003,-0.002,-0.001,0.002,0.003,0.005,0.002,0.001,-0.000,0.002,0.000,0.001,0.000,0.001,0.000,0.001,0.000,-0.000,-0.002,-0.022,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.003,-0.002,-0.001,0.002,0.003,0.005,0.002,0.001,-0.000,0.002,0.000,0.001,0.000,0.001,0.000,0.001,0.000,-0.000,-0.002,-0.022,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,55.515%,-,244.055%,10718.750%,84.718%,-,68.973%,-79.747%,-13.657%,10.264%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-865,861",-,"-72,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.004,-,-0.003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,60.454%,41.483%,121.987%,56.102%,20.008%,48.495%,45.269%,42.251%,-2.555%,43.179%,-0.002%,29.703%,11.146%,29.098%,3.559%,39.185%,24.419%,-7.005%,-3.755%,-23.700%,Financials in USD,Fiscal year is January - December
Operating Margin,-289.947%,-52.025%,-9.615%,31.377%,20.008%,48.495%,45.269%,42.251%,-2.555%,43.179%,-0.002%,29.703%,11.146%,29.098%,3.559%,39.185%,24.420%,-7.005%,-3.755%,-23.700%,Financials in USD,Fiscal year is January - December
Profit Margin,-289.894%,-51.729%,-9.412%,21.189%,20.475%,49.066%,45.922%,42.891%,-1.889%,44.465%,0.830%,30.406%,12.582%,28.506%,3.949%,39.678%,25.846%,-5.596%,-1.821%,-21.351%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-466.844%,-,-34.852%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-532,767","-75,636","-19,859","78,821",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA Margin,-287.251%,-51.965%,-9.573%,31.412%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,000",88,88,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-537,767","-75,724","-19,947","78,733","60,332","118,431","40,905","29,929","-1,787","32,049",-1,"15,884","7,262","19,938","1,570","18,600","7,036","-2,396",-963,"-5,581",Financials in USD,Fiscal year is January - December
EBIT Margin,-289.947%,-52.025%,-9.615%,31.377%,20.008%,48.495%,45.269%,42.251%,-2.555%,43.179%,-0.002%,29.703%,11.146%,29.098%,3.559%,39.185%,24.419%,-7.005%,-3.755%,-23.700%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,32.841%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,"145,552","207,451","250,929","302,941","245,605","90,950","71,291","70,399","75,179","42,399","53,853","226,192",-,"44,287","47,701","29,224","34,687","26,142","24,102",Financials in USD,Fiscal year is January - December
