Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Net Income to Common,"-824,540","-1,282,987","186,735","-858,036","-815,989","3,148,966","-1,143,307","-1,013,016","-1,250,684","-996,343","-1,501,911","-9,197,979","-1,695,253","-1,175,796","-1,279,303","-1,411,772","-2,774,558","-1,341,490","-1,172,786","-2,990,667",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"495,092","495,092","495,092","495,265","495,092","488,398","460,790","517,415","450,373","443,201","390,088","391,306","384,723","365,493","364,800","363,934","351,951","335,083","335,083","332,979",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"495,092","495,092","495,092","495,265","495,092","488,398","460,790","517,415","450,373","443,201","390,088","391,306","384,723","365,493","364,800","363,934","351,951","335,083","335,083","332,979",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,1.371%,7.444%,-4.281%,9.929%,10.198%,18.125%,32.228%,17.064%,21.261%,6.932%,7.521%,9.312%,9.075%,8.869%,9.296%,5.850%,0.777%,0.777%,0.712%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.665,-2.591,0.377,-1.732,-1.648,6.448,-2.481,-1.958,-2.777,-2.248,-3.850,-23.506,-4.406,-3.217,-3.507,-3.879,-7.883,-4.003,-3.500,-8.982,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.665,-2.591,0.377,-1.872,-1.648,6.448,-2.481,-1.958,-2.780,-2.248,-3.850,-23.506,-4.406,-3.217,-3.507,-3.879,-7.883,-4.003,-3.500,-8.982,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-759,312","-1,247,623","-5,884","-863,335","-669,897","3,246,934","-699,810","-1,571,913","-1,012,126","-763,320","-1,485,871","-9,516,782","-1,152,573","-965,693","-680,846","-2,598,502","-2,024,524","58,291","-1,601,300","-2,384,705",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.534,-2.520,-0.012,-1.743,-1.353,6.648,-1.519,-3.038,-2.247,-1.722,-3.809,-24.321,-2.996,-2.642,-1.866,-7.140,-5.752,0.174,-4.779,-7.162,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-826,549","-1,293,167","-829,837","-879,151","-837,355","-1,018,206","-1,077,081","-946,960","-1,163,769","-1,144,279","-1,290,875","-1,982,574","-1,529,369","-1,177,927","-1,276,545","-1,415,266","-2,793,130","-1,371,914","-1,219,805","-3,040,773",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,164","1,401","2,060","2,958","2,958","2,960","2,958","3,756","3,758","3,758","3,732","4,147","3,244","3,284","3,303","7,513","7,512","7,512","6,500","4,835",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-827,713","-1,294,568","-831,897","-882,109","-840,313","-1,021,166","-1,080,039","-950,716","-1,167,527","-1,148,037","-1,294,607","-1,986,721","-1,532,613","-1,181,211","-1,279,848","-1,422,779","-2,800,642","-1,379,426","-1,226,305","-3,045,608",Upgrade,Financials in USD,Fiscal year is January - December
