Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2014,Q4 2013,Currency,Fiscal_Year_period
Currency Exchange Gain (Loss),"1,000","-3,000","-84,000",-,"-168,000","51,000","153,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"207,000","2,217,000","2,837,000","1,981,000","3,381,000","3,750,000","1,232,000","-2,090,000","-4,555,000","-1,605,000","2,109,000","74,000","2,640,000","-33,000","668,000","-530,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,353,000","-10,652,000","-24,197,000","-16,111,000","-31,325,000","-39,416,000","-19,164,000","-30,730,000","-24,739,000","-18,569,000","-14,137,000","-10,189,000","11,783,000","-11,323,000","-2,931,000","-499,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"2,672,000","5,522,000","1,262,000","1,962,000","18,812,000","33,713,000","-128,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,681,000","-5,130,000","-22,935,000","-14,149,000","-12,513,000","-5,703,000","-19,292,000","-30,730,000","-24,739,000","-18,569,000","-14,137,000","-10,189,000","11,783,000","-11,323,000","-2,931,000","-499,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"16,000","480,000",-,-,-,-,-,-,"17,000","-197,000","278,000","1,894,000","64,000","31,000","89,000",Financials in USD,Fiscal year is January - December
Net Income,"-7,681,000","-5,146,000","-23,415,000","-14,149,000","-12,513,000","-5,703,000","-19,292,000","-30,730,000","-24,739,000","-18,586,000","-13,940,000","-10,467,000","9,889,000","-11,387,000","-2,962,000","-588,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,"100,000","1,095,000","80,000","85,000","38,022,000","-45,012,000","23,206,000","82,461,000","33,855,000","4,904,000","6,258,000","777,000",-,-,"-588,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,681,000","-5,246,000","-24,510,000","-14,229,000","-12,598,000","-43,725,000","25,720,000","-53,936,000","-107,200,000","-52,441,000","-18,844,000","-16,725,000","9,112,000","-11,387,000","-2,962,000",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"73,334,861","73,329,309","73,154,051","72,772,627","72,423,043","62,743,154","6,069,375","5,615,192","5,589,728","5,589,290","2,155,536","2,151,890","2,144,651","2,144,651","1,981,209","1,979,231",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"73,334,861","73,329,309","73,154,051","72,772,627","72,423,043","62,743,154","6,069,375","5,615,192","5,589,728","5,589,290","2,155,536","2,151,890","2,144,651","2,144,651","1,981,209","1,979,231",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.259%,16.872%,1105.298%,1195.995%,1195.645%,1022.560%,181.571%,160.942%,160.636%,160.615%,8.799%,8.724%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.105,-0.072,-0.335,-0.196,-0.174,-0.697,4.238,-9.605,-19.178,-9.382,-8.742,-7.772,4.249,-5.309,-1.495,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.105,-0.072,-0.335,-0.196,-0.174,-0.697,4.238,-9.605,-19.178,-9.382,-8.744,-7.772,4.249,-5.309,-1.495,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"599,000","-8,920,000","-16,922,000","-25,087,000","-7,693,000","-37,146,000","-30,430,000","648,000","-30,778,000","-14,648,000","-12,235,000","-26,606,000","-3,836,000","-11,526,000","-2,489,000","-1,449,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.008,-0.122,-0.231,-0.345,-0.106,-0.592,-5.014,0.115,-5.506,-2.621,-5.676,-12.364,-1.789,-5.374,-1.256,-0.732,Financials in USD,Fiscal year is January - December
Gross Margin,55.014%,29.435%,-,45.640%,46.662%,34.615%,17.047%,8.328%,7.943%,9.191%,22.419%,23.238%,97.853%,-,-,58.078%,Financials in USD,Fiscal year is January - December
Operating Margin,-902.981%,-683.115%,-1006.240%,-269.513%,-382.837%,-573.356%,-696.196%,-938.255%,-916.299%,-535.408%,-725.239%,-2675.718%,48.791%,-,-8921.622%,2.636%,Financials in USD,Fiscal year is January - December
Profit Margin,-693.857%,-299.258%,-932.648%,-213.906%,-140.399%,-581.914%,889.350%,-1789.516%,-4921.947%,-1691.100%,-856.935%,-4366.841%,48.314%,-,-8005.405%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,54.110%,-508.842%,-643.912%,-377.135%,-85.735%,-494.357%,-1052.213%,21.500%,-1413.131%,-472.364%,-556.389%,-6946.736%,-20.339%,-,-6727.027%,-123.214%,Financials in USD,Fiscal year is January - December
EBITDA,"-7,930,000","-9,399,000","-24,789,000","-16,668,000","-33,365,000","-41,496,000","-18,634,000","-27,479,000","-19,207,000","-15,862,000","-15,470,000","-9,497,000","9,965,000","-10,447,000","-3,245,000","76,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-250.571%,-,-,-,-,-,-,-,-,52.837%,-,-,6.463%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,066,000","2,576,000","1,655,000","1,260,000","987,000","1,586,000","1,500,000","800,000","750,000","741,000","478,000","751,000","763,000","783,000","56,000","45,000",Financials in USD,Fiscal year is January - December
EBIT,"-9,996,000","-11,975,000","-26,444,000","-17,928,000","-34,352,000","-43,082,000","-20,134,000","-28,279,000","-19,957,000","-16,603,000","-15,948,000","-10,248,000","9,202,000","-11,230,000","-3,301,000","31,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-269.513%,-,-,-,-,-,-,-,-,48.791%,-,-,2.636%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,16.074%,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"1,107,000","1,753,000","2,628,000","6,652,000","8,973,000","7,514,000","2,892,000","3,014,000","2,178,000","3,101,000","2,199,000","383,000","18,860,000",-,"37,000","1,176,000",Financials in USD,Fiscal year is January - December
