Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Currency Exchange Gain (Loss),-10,-1,-,-,-577,-,-446,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Other Non Operating Income (Expenses),"-11,861","-11,874","7,627","-25,893","-9,731","-4,677","-4,607","-14,138","-33,314","-6,878","-46,045","-2,000,673",-524,-4,"18,479","-3,112",-,-430,Financials in CAD,Fiscal year is March - February
EBT Excluding Unusual Items,"-144,991","-261,611","-526,097","-355,599","-192,662","-149,698","-519,454","-173,974","-214,227","-506,160","-637,547","-2,128,709","-60,027","-31,541","82,549","-34,499","-6,901",-430,Financials in CAD,Fiscal year is March - February
Other Unusual Items,"-252,754","280,806",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Pretax Income,"-397,745","19,195","-526,097","-355,599","-192,662","-149,698","-519,454","-173,974","-214,227","-506,160","-637,547","-2,128,709","-60,027","-31,541","82,549","-34,499","-6,901",-430,Financials in CAD,Fiscal year is March - February
Net Income,"-397,745","19,195","-526,097","-355,599","-192,662","-149,698","-519,454","-173,974","-214,227","-506,160","-637,547","-2,128,709","-60,027","-31,541","82,549","-34,499","-6,901",-430,Financials in CAD,Fiscal year is March - February
Net Income to Common,"-397,745","19,195","-526,097","-355,599","-192,662","-149,698","-519,454","-173,974","-214,227","-506,160","-637,547","-2,128,709","-60,027","-31,541","82,549","-34,499","-6,901",-430,Financials in CAD,Fiscal year is March - February
Shares Outstanding (Basic),"77,010,982","64,986,432","56,926,925","56,117,232","55,244,704","53,470,565","48,223,011","44,843,482","44,843,482","44,843,482","58,371,162","34,536,219","12,500,000","12,500,000","12,500,000","12,801,816",-,-,Financials in CAD,Fiscal year is March - February
Shares Outstanding (Diluted),"77,010,982","64,986,432","56,926,925","56,117,232","55,244,704","53,470,565","48,223,011","44,843,482","44,843,482","44,843,482","58,371,162","34,536,219","12,500,000","12,500,000","12,500,000","12,801,816",-,-,Financials in CAD,Fiscal year is March - February
Shares Change (YoY),39.400%,21.537%,18.049%,25.140%,23.195%,19.238%,-17.386%,29.845%,258.748%,258.748%,366.969%,169.776%,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
EPS (Basic),-0.005,0.000,-0.009,-0.006,-0.003,-0.003,-0.011,-0.004,-0.005,-0.011,-0.011,-0.062,-0.005,-0.003,0.007,-0.003,-,-,Financials in CAD,Fiscal year is March - February
EPS (Diluted),-0.005,0.000,-0.009,-0.010,-0.003,-0.003,-0.011,-0.004,-0.010,-0.011,-0.011,-0.062,-0.010,-0.003,0.007,-0.003,-,-,Financials in CAD,Fiscal year is March - February
Free Cash Flow,"-112,039","-317,291","-52,406","-83,289","-215,290","-269,377","-62,098","-256,524","-435,426","-677,657","1,533,115","-2,228,455","-152,422","-27,935","34,071","1,770",-,-,Financials in CAD,Fiscal year is March - February
Free Cash Flow Per Share,-0.001,-0.005,-0.001,-0.001,-0.004,-0.005,-0.001,-0.006,-0.010,-0.015,0.026,-0.065,-0.012,-0.002,0.003,0.000,-,-,Financials in CAD,Fiscal year is March - February
Gross Margin,-22.157%,-,-,-246.125%,19.918%,40.228%,-,-28.890%,12.762%,-64.495%,-,51.020%,96.226%,-,51.123%,-,-,-,Financials in CAD,Fiscal year is March - February
Operating Margin,-352.147%,-3888.566%,-,-434.165%,-68.197%,-72.369%,-,-97.634%,-60.626%,-153.124%,-,-127018.367%,-112269.811%,-,12207.678%,-,-,-,Financials in CAD,Fiscal year is March - February
Profit Margin,-1089.742%,304.393%,-,-474.518%,-73.475%,-75.766%,-,-107.572%,-72.559%,-155.820%,-,-2172152.041%,-113258.491%,-,15458.614%,-,-,-,Financials in CAD,Fiscal year is March - February
Free Cash Flow Margin,-306.965%,-5031.573%,-,-111.142%,-82.105%,-136.339%,-,-158.614%,-147.479%,-208.614%,-,-2273933.673%,-287588.679%,-,6380.337%,-,-,-,Financials in CAD,Fiscal year is March - February
EBITDA,"-125,100","-241,783","-525,885","-321,929","-175,393","-139,555","-509,019","-154,471","-175,566","-493,972","-577,660","-118,872","-58,648",-,-,-,-,-,Financials in CAD,Fiscal year is March - February
EBITDA Margin,-,-,-,-,-66.889%,-70.632%,-,-95.513%,-59.464%,-152.068%,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
D&A For EBITDA,"3,430","3,430","3,430","3,430","3,429","3,430","3,430","3,430","3,429","3,430","12,039","5,606",855,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
EBIT,"-128,530","-245,213","-529,315","-325,359","-178,822","-142,985","-512,449","-157,901","-178,995","-497,402","-589,699","-124,478","-59,503","-30,063","65,189","-31,387","-6,901",-,Financials in CAD,Fiscal year is March - February
EBIT Margin,-,-,-,-,-68.197%,-72.368%,-,-97.634%,-60.626%,-153.124%,-,-,-,-,12207.678%,-,-,-,Financials in CAD,Fiscal year is March - February
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,98,53,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Advertising Expenses,-,"1,390",-,"-6,906","44,755","67,550",-,"4,063","4,259","47,523",-,"48,768","22,384","10,840",-,-,"6,659",-,Financials in CAD,Fiscal year is March - February
