Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017,Currency,Fiscal_Year_period
Preferred Dividends & Other Adjustments,"80,002","80,002","74,812",-,-,"513,888",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,111,773","-7,111,773","-9,897,540","-1,498,669","-7,908,939","-5,585,222",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"113,163,591","113,163,591","57,159,659","17,346,164","1,973,662","82,421",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"118,829,077","118,829,077","57,159,659","17,346,164","1,973,662","82,421",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),107.890%,107.890%,229.523%,778.882%,2294.611%,-90.125%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.063,-0.063,-0.173,-0.086,-4.007,-67.765,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.063,-0.063,-0.173,-0.086,-4.010,-67.769,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-632,553","-632,553","-3,574,739","-833,487","-1,650,055","-358,923",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.005,-0.005,-0.063,-0.048,-0.836,-4.355,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,60.821%,60.821%,3.262%,100.000%,100.000%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-252.543%,-252.543%,-1352.304%,-1247.730%,-13406.093%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-273.994%,-273.994%,-1467.337%,-1665.188%,-105452.520%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-24.370%,-24.370%,-529.965%,-926.097%,-22000.733%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-5,549,761","-5,549,761","-7,781,193","-1,051,957","-989,848","-2,593,436",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-213.815%,-213.815%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,005,220","1,005,220","1,340,425","71,000","15,609","10,639",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,554,981","-6,554,981","-9,121,618","-1,122,957","-1,005,457","-2,604,075",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-252.543%,-252.543%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"2,595,590","2,595,590","674,524","90,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
