Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Currency,Fiscal_Year_period
EBT Excluding Unusual Items,"-2,021,542","-1,525,793","-1,184,887","10,676,286","-11,050,551","-2,887,361","-1,761,683","-1,898,237","-2,406,444","-1,413,246","-998,651","-885,941","-1,865,320","-4,131,980","-1,746,722","-3,931,589","-4,017,307",Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-20,080",-,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Assets,-,-,-,-,"423,950",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is October - September
Asset Writedown,-,-,-,"-249,560",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,"-62,000","66,352","-584,738","108,270","114,478",-,-,-,"-91,576",-,"-400,866","-132,500",-,"165,850","-165,850",Financials in USD,Fiscal year is October - September
Pretax Income,"-2,021,542","-1,525,793","-1,246,887","10,493,078","-11,211,339","-2,779,091","-1,647,205","-1,898,237","-2,406,444","-1,413,246","-1,090,227","-885,941","-2,266,186","-4,264,480","-1,746,722","-3,785,819","-4,183,157",Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"-2,021,542","-1,525,793","-1,246,887","10,493,078","-11,211,339","-2,779,091","-1,647,205","-1,898,237","-2,406,444","-1,413,246","-1,090,227","-885,941","-2,266,186","-4,264,480","-1,746,722","-3,785,819","-4,183,157",Financials in USD,Fiscal year is October - September
Minority Interest in Earnings,"182,531","97,879",-,"260,092",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is October - September
Net Income,"-1,839,011","-1,427,914","-1,246,887","10,753,170","-11,211,339","-2,779,091","-1,647,205","-1,898,237","-2,406,444","-1,413,246","-1,090,227","-885,941","-2,266,186","-4,264,480","-1,746,722","-3,785,819","-4,183,157",Financials in USD,Fiscal year is October - September
Net Income to Common,"-1,839,011","-1,427,914","-1,246,887","10,753,170","-11,211,339","-2,779,091","-1,647,205","-1,898,237","-2,406,444","-1,413,246","-1,090,227","-885,941","-2,266,186","-4,264,480","-1,746,722","-3,785,819","-4,183,157",Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"505,295,364","504,095,364","502,735,814","515,390,995","504,758,044","495,086,738","492,786,146","483,994,743","460,035,302","452,950,963","418,249,404","387,067,576","393,903,423","379,229,262","361,032,963","381,624,723","347,370,320",Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"505,295,364","504,095,364","502,735,814","515,390,995","504,758,044","495,086,738","492,786,146","483,994,743","460,035,302","452,950,963","418,249,404","387,067,576","393,903,423","379,229,262","361,032,963","381,624,723","347,370,320",Financials in USD,Fiscal year is October - September
Shares Change (YoY),0.106%,1.820%,2.019%,6.487%,9.722%,9.303%,17.821%,25.041%,16.789%,19.440%,15.848%,1.426%,13.396%,-,-,-,-,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.004,-0.003,-0.002,0.021,-0.022,-0.006,-0.003,-0.004,-0.005,-0.003,-0.003,-0.002,-0.006,-0.011,-0.005,-0.010,-0.012,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.004,-0.003,-0.002,0.021,-0.022,-0.006,-0.003,-0.004,-0.005,-0.003,-0.003,-0.002,-0.006,-0.011,-0.005,-0.010,-0.012,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-266,506","-482,544","-358,789","-861,021","-106,663","-174,709","-945,911","-576,192","-1,097,849","-851,341","-1,194,885","-101,206","-1,419,659","222,660","-1,199,396","-1,348,081",-,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.001,-0.001,-0.001,-0.002,-0.000,-0.000,-0.002,-0.001,-0.002,-0.002,-0.003,-0.000,-0.004,0.001,-0.003,-0.004,-,Financials in USD,Fiscal year is October - September
Gross Margin,3.480%,13.907%,75.639%,66.718%,49.454%,68.999%,5.920%,82.231%,-218.786%,-117.351%,-67.629%,620.818%,71.712%,-186.032%,53.093%,-,48.170%,Financials in USD,Fiscal year is October - September
Operating Margin,-632.558%,-14.713%,-149.357%,-86.879%,-151.379%,-226.140%,-518.568%,-614.457%,-1739.140%,-619.271%,-620.178%,265.512%,-252.903%,-611.349%,-204.055%,-1764.216%,-86.198%,Financials in USD,Fiscal year is October - September
Profit Margin,-1550.613%,-50.378%,-389.203%,903.186%,-2681.170%,-1091.183%,-599.876%,-809.756%,-1992.073%,-964.627%,-732.748%,-586.370%,-1132.753%,-875.978%,-560.016%,-1968.244%,-614.350%,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-224.712%,-17.025%,-111.992%,-72.319%,-25.508%,-68.598%,-344.480%,-245.794%,-908.808%,-581.092%,-803.090%,-66.984%,-709.617%,45.737%,-384.538%,-700.866%,-,Financials in USD,Fiscal year is October - September
EBITDA,"-748,039","-414,643","-475,928","-1,030,601","-626,355","-570,847","-1,418,842","-1,435,317","-2,095,798","-902,176","-917,638","401,160","-500,690","-2,972,136","-630,342","-3,377,283","-586,492",Financials in USD,Fiscal year is October - September
EBITDA Margin,-,-14.629%,-148.556%,-86.563%,-149.792%,-224.137%,-,-,-,-,-,265.512%,-250.270%,-,-202.094%,-,-86.134%,Financials in USD,Fiscal year is October - September
D&A For EBITDA,"2,168","2,366","2,566","3,768","6,638","5,100","5,100","5,100","5,100","5,100","5,100",-,"5,268","4,066","6,118","16,099",440,Financials in USD,Fiscal year is October - September
EBIT,"-750,207","-417,009","-478,494","-1,034,369","-632,993","-575,947","-1,423,942","-1,440,417","-2,100,898","-907,276","-922,738","401,160","-505,958","-2,976,202","-636,460","-3,393,382","-586,932",Financials in USD,Fiscal year is October - September
EBIT Margin,-,-14.713%,-149.357%,-86.879%,-151.379%,-226.140%,-,-,-,-,-,265.512%,-252.903%,-,-204.055%,-,-86.198%,Financials in USD,Fiscal year is October - September
Advertising Expenses,"132,409","109,292","93,945",-,"94,311","26,293","323,648",-,"1,085,311","54,982","304,307",-,"69,494","79,153","152,585",-,"64,401",Financials in USD,Fiscal year is October - September
