Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Shares Change (YoY),44.240%,135.247%,2549.350%,8996.693%,11015.204%,179.844%,-93.714%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.097,-0.078,-0.135,-0.183,-0.197,-1.141,-4.008,-11.033,-6.338,-0.681,-0.047,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.097,-0.078,-0.135,-0.183,-0.197,-1.141,-4.008,-11.033,-6.338,-0.681,-0.047,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,914,028","-999,153","-1,994,127","-1,847,766","-2,414,596","-2,668,463","-2,869,552","-1,734,090","-945,189","-729,907","-490,776",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.083,-0.052,-0.105,-0.111,-0.151,-0.328,-3.994,-9.452,-6.556,-0.251,-0.043,Financials in USD,Fiscal year is January - December
Gross Margin,69.216%,82.213%,70.345%,67.743%,74.050%,62.827%,53.297%,46.907%,44.895%,18.825%,81.618%,Financials in USD,Fiscal year is January - December
Operating Margin,-1582.475%,-469.834%,-636.386%,-966.616%,-1079.250%,-2707.691%,-2572.694%,-2760.115%,-1041.052%,-2684.592%,-790.084%,Financials in USD,Fiscal year is January - December
Profit Margin,-1642.711%,-475.311%,-653.609%,-1952.643%,-1346.684%,-6329.101%,-3020.323%,-2760.115%,-1041.052%,-2792.800%,-607.426%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1404.173%,-317.136%,-507.521%,-1183.555%,-1027.829%,-1818.671%,-3009.999%,-2364.647%,-1076.930%,-1029.241%,-558.881%,Financials in USD,Fiscal year is January - December
EBITDA,"-2,134,077","-1,455,390","-2,472,196","-1,485,318","-2,511,605","-3,951,267","-2,427,878","-1,999,895","-894,540","-1,883,390","-671,478",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"22,994","24,844","28,260","23,763","23,790","21,620","24,774","24,208","19,160","20,442","22,326",Financials in USD,Fiscal year is January - December
EBIT,"-2,157,071","-1,480,234","-2,500,456","-1,509,081","-2,535,395","-3,972,887","-2,452,652","-2,024,103","-913,700","-1,903,832","-693,804",Financials in USD,Fiscal year is January - December
