Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Earnings From Equity Investments,"45,000","-94,000","18,180","34,986","91,000","36,000","-2,263,697","-708,647","-871,329","-73,004","-353,659",-,-,-,"1,388",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"478,000","-24,000","75,194","-253,888","-560,000","-1,270,000","-229,408","-267,133","608,942","-102,745","-16,105","-59,872","-97,858","200,538","664,976","1,663,034","-986,190","-794,333","-114,886",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"12,044,000","2,332,000","-10,969,567","-3,986,531","2,259,000","769,000","-9,329,143","-13,575,416","-11,899,247","-17,982,052","-14,795,169","-20,224,707","-9,101,862","-655,430","-2,101,002","813,129","-2,713,417","-1,603,987","-4,315,113",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,"-934,962","-791,581","-534,652","-34,582","-508,744","-1,287,694","-3,186,451",-,-,"-239,751","-239,751",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-20,430,618",-,-,"-14,143,983","-5,850,772",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,"-1,054,193","-568,471","-285,646",-,"-1,999,715","-51,489","-55,711","-19,197",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,2,-,-,"-6,090,339",-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"-6,300,000",-,-,"-8,048,500",-,"-1,328,000","-5,526,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-17,000","7,910,000","-6,464,873","-5,913,154","4,024,000","-19,100,000","-3,409,774","-2,086,400","30,632,754","6,314,190","-6,481,242","808,241","3,223,393",-,-,-,"573,113","-389,056",-,Financials in USD,Fiscal year is January - December
Pretax Income,"5,727,000","10,242,000","-17,434,440","-38,378,803","6,283,000","-19,659,000","-32,408,900","-21,512,588","17,798,545","-12,459,443","-21,811,063","-20,505,239","-6,955,684","-2,228,770","-11,377,792","-1,186,586","-2,191,793","-2,288,505","-4,574,061",Financials in USD,Fiscal year is January - December
Income Tax Expense,"8,935,000","203,000","834,254","-4,218,454","6,494,000","5,293,000","2,374,261","-7,397,398","2,629,995","1,732,849","-1,397,669","-1,738,643","772,792","2,487,951","1,776,001","2,872,663","1,613,167","1,366,110","566,593",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-3,208,000","10,039,000","-18,268,694","-34,160,349","-211,000","-24,952,000","-34,783,161","-14,115,190","15,168,550","-14,192,292","-20,413,394","-18,766,596","-7,728,476","-4,716,721","-13,153,793","-4,059,249","-3,804,960","-3,654,615","-5,140,654",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-41,000","-43,000","-62,380","-98,519","-63,000","-100,000","36,734","8,071","7,044","23,964","22,596","197,774",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-3,249,000","9,996,000","-18,331,074","-34,258,868","-274,000","-25,052,000","-34,746,427","-14,107,119","15,175,594","-14,168,328","-20,390,798","-18,568,822","-7,728,476","-4,716,721","-13,153,793","-4,059,249","-3,804,960","-3,654,615","-5,140,654",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"3,903,000","3,808,000","3,720,163","5,340,768","7,270,000","2,915,000","2,916,164","6,296,089","12,224,614","1,729,778",-,"889,048","888,342",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,152,000","6,188,000","-22,051,237","-39,599,636","-7,544,000","-27,967,000","-37,662,591","-20,403,208","2,950,980","-15,898,106","-20,390,798","-19,457,870","-8,616,818","-4,716,721","-13,153,793","-4,059,249","-3,804,960","-3,654,615","-5,140,654",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"75,962,337","73,807,711","73,158,443","71,467,554","72,018,714","71,092,510","72,460,677","78,915,244","61,647,076","58,966,989","57,200,435","61,207,430","51,293,958","24,262,497","23,971,614","23,212,727","23,191,563","23,191,563",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"75,962,337","82,232,068","73,158,443","71,467,554","72,018,714","71,092,510","72,460,677","78,915,244","68,600,429","58,966,989","57,200,435","61,207,430","51,293,958","24,262,497","23,971,614","23,212,727","23,191,563","23,191,563",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.476%,15.669%,0.963%,-9.438%,4.983%,20.563%,26.679%,28.931%,33.740%,143.038%,138.617%,163.680%,121.175%,4.618%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.094,0.084,-0.301,-0.554,-0.105,-0.393,-0.520,-0.259,0.048,-0.270,-0.356,-0.318,-0.168,-0.194,-0.549,-0.175,-0.164,-0.158,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.094,0.080,-0.301,-0.554,-0.105,-0.393,-0.520,-0.260,0.040,-0.270,-0.356,-0.318,-0.170,-0.194,-0.549,-0.175,-0.164,-0.158,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"11,758,000","4,988,496","-4,280,496","-4,635,119","4,121,000","8,059,684","3,368,316","-13,388,052","-11,434,814","-15,372,519","-28,354,900","-19,691,506","-105,404,241","-1,580,343","-2,104,984","-1,425,590","-2,509,475","-1,246,885","-6,366,318",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.155,0.061,-0.059,-0.065,0.057,0.113,0.046,-0.170,-0.167,-0.261,-0.496,-0.322,-2.055,-0.065,-0.088,-0.061,-0.108,-0.054,-,Financials in USD,Fiscal year is January - December
Gross Margin,52.400%,53.161%,41.614%,47.816%,53.979%,54.566%,45.632%,35.890%,30.881%,1.541%,14.006%,-1.986%,13.669%,46.024%,35.708%,40.133%,37.164%,47.851%,22.692%,Financials in USD,Fiscal year is January - December
Operating Margin,21.585%,9.350%,-29.426%,-1.885%,10.142%,10.187%,-17.423%,-40.073%,-31.726%,-98.560%,-108.691%,-106.956%,-52.462%,1.602%,-11.634%,-0.350%,-8.609%,-3.312%,-61.022%,Financials in USD,Fiscal year is January - December
Profit Margin,-11.206%,11.472%,-73.258%,-101.637%,-15.656%,-62.615%,-136.683%,-77.960%,10.443%,-96.509%,-167.548%,-105.977%,-50.180%,-25.258%,-86.309%,-23.963%,-28.592%,-31.607%,-79.708%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,18.423%,9.249%,-14.221%,-11.897%,8.552%,18.045%,12.224%,-51.155%,-40.467%,-93.318%,-232.987%,-107.250%,-613.820%,-8.463%,-13.812%,-8.416%,-18.857%,-10.784%,-98.713%,Financials in USD,Fiscal year is January - December
EBITDA,"17,507,000","8,766,456","-5,141,973","2,811,076","8,563,000","8,119,612","-964,390","-7,071,301","-5,524,149","-13,398,884","-10,620,382","-17,116,449","-8,225,300","1,037,580","-1,048,570","667,056","-444,331","234,184","-3,404,094",Financials in USD,Fiscal year is January - December
EBITDA Margin,27.431%,16.253%,-17.083%,7.215%,17.770%,18.179%,-3.500%,-27.019%,-19.550%,-81.337%,-87.266%,-93.225%,-47.900%,5.556%,-6.880%,3.938%,-3.339%,2.025%,-52.782%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,731,000","3,723,456","3,715,544","3,545,447","3,676,000","3,569,612","3,836,388","3,416,357","3,440,503","2,837,112","2,607,494","2,521,058","783,482","738,402","724,454","726,392","701,352","617,114","531,405",Financials in USD,Fiscal year is January - December
EBIT,"13,776,000","5,043,000","-8,857,517","-734,371","4,887,000","4,550,000","-4,800,778","-10,487,658","-8,964,652","-16,235,996","-13,227,876","-19,637,507","-9,008,782","299,178","-1,773,024","-59,336","-1,145,683","-382,930","-3,935,499",Financials in USD,Fiscal year is January - December
EBIT Margin,21.585%,9.350%,-29.426%,-1.885%,10.142%,10.187%,-17.423%,-40.073%,-31.726%,-98.560%,-108.691%,-106.956%,-52.462%,1.602%,-11.634%,-0.350%,-8.609%,-3.312%,-61.022%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,156.015%,1.982%,-,-,103.358%,-,-,-,14.776%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
