Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Earnings From Continuing Operations,"-49,552,979","-98,060,979","-32,964,696","-43,300,506","-16,659,478","-10,734,639",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-228,439","-208,439","61,675","197,774",-,"511,465",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-49,781,418","-98,269,418","-32,903,021","-43,102,732","-16,659,478","-10,223,174",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"16,772,488","18,442,488","20,250,481","1,797,423",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-66,553,906","-116,711,906","-53,153,502","-44,900,155","-16,659,478","-10,223,174",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"73,631,119","72,028,902","64,182,436","40,280,639","21,265,601",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"73,631,119","72,028,902","64,182,436","40,280,639","21,265,601",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-0.352%,12.225%,59.338%,89.417%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.904,-1.620,-0.828,-1.115,-0.783,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.907,-1.620,-0.828,-1.115,-0.783,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"7,831,568","10,914,568","-68,550,285","-128,781,074","-11,548,268","-9,159,444",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.106,0.152,-1.068,-3.197,-0.543,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,49.209%,50.343%,24.403%,25.002%,38.833%,50.054%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,4.573%,2.043%,-56.886%,-48.013%,-11.445%,-49.821%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-35.347%,-72.566%,-62.626%,-71.053%,-34.521%,-60.344%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,4.159%,6.786%,-80.767%,-203.792%,-23.929%,-54.065%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"23,324,892","17,912,892","-35,980,017","-25,573,023","-2,947,185","-6,984,551",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,12.388%,11.137%,-42.392%,-40.468%,-6.107%,-41.228%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"14,715,126","14,627,126","12,301,466","4,767,396","2,576,263","1,455,780",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"8,609,766","3,285,766","-48,281,483","-30,340,419","-5,523,448","-8,440,331",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,4.573%,2.043%,-56.886%,-48.013%,-11.445%,-49.821%,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,-,"9,736",Upgrade,Financials in USD,Fiscal year is January - December
