Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,"377,562","824,781","824,781","815,816","815,516","714,787",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,326,765","-3,077,273","-5,358,625","-9,854,187","-7,566,504","-9,565,077","-16,893,025","-14,729,380","-15,860,789","-15,023,005","-15,525,598","-14,647,112","-12,182,247","-8,924,113","-8,836,010","-9,433,516","-7,746,341","-7,131,024","-5,836,712",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,380,395","1,250,498","1,063,673","1,047,871","1,043,138","1,043,138","1,044,024","976,413","914,855","913,471","909,559","906,136","904,355","505,325","50,205","50,192","50,187","50,187","50,093",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,380,395","1,250,498","1,063,673","1,047,871","1,043,138","1,043,138","1,044,024","976,413","914,855","913,471","909,559","906,136","904,355","505,325","50,205","50,192","50,187","50,187","50,093",Financials in USD,Fiscal year is January - December
Shares Change (YoY),32.331%,19.878%,1.882%,7.318%,14.022%,14.195%,14.784%,7.756%,1.161%,80.769%,1711.690%,1705.339%,1701.971%,906.884%,0.224%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.686,-2.461,-5.038,-9.404,-7.254,-9.170,-16.181,-15.085,-17.337,-16.446,-17.069,-16.164,-13.471,-17.660,-175.999,-187.949,-154.350,-142.089,-116.518,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.686,-2.461,-5.038,-9.404,-7.254,-9.170,-16.181,-15.085,-17.337,-16.446,-17.069,-16.164,-13.471,-17.660,-175.999,-187.949,-154.350,-142.089,-116.518,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,072,362","-2,416,058","-5,832,758","-7,285,038","-6,034,195","-12,327,125","-11,348,914","-12,429,182","-11,848,112","-16,819,828","-11,954,100","-9,777,219","-14,667,408","-11,736,760","-7,417,588","-6,943,838","-6,155,991","-6,751,943","-5,120,765",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.501,-1.932,-5.484,-6.952,-5.785,-11.817,-10.870,-12.729,-12.951,-18.413,-13.143,-10.790,-16.219,-23.226,-147.746,-138.346,-122.661,-134.536,-102.225,Financials in USD,Fiscal year is January - December
EBITDA,"-2,654,459","-2,642,554","-1,348,510","-9,730,225","-7,517,503","-9,561,643","-16,983,211","-14,595,229","-15,683,091","-14,826,566","-15,288,932","-15,257,217","-11,943,479","-9,895,869","-6,880,014","-7,507,948","-6,627,431","-6,217,050","-5,036,364",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"75,408","114,912","228,509","265,542","267,156","263,766","264,091","260,872","242,873","226,956","243,242","233,168","219,544","174,331","170,882","157,358","147,232","143,518","131,637",Financials in USD,Fiscal year is January - December
EBIT,"-2,729,867","-2,757,466","-1,577,019","-9,995,767","-7,784,659","-9,825,409","-17,247,302","-14,856,101","-15,925,964","-15,053,522","-15,532,174","-15,490,385","-12,163,023","-10,070,200","-7,050,896","-7,665,306","-6,774,663","-6,360,568","-5,168,001",Financials in USD,Fiscal year is January - December
