Fiscal Quarter,Q2 2012,Q1 2012,Q3 2005,Q2 2005,Q1 2005,Q4 2004,Q3 2004,Q2 2004,Q1 2004,Q4 2003,Q3 2003,Q2 2003,Q1 2003,Currency,Fiscal_Year_period
EPS (Basic),-0.001,-0.001,-0.068,-0.125,-0.109,-0.107,-0.091,-0.057,-0.102,-0.025,-0.015,-0.005,0.004,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.001,-0.001,-0.068,-0.125,-0.109,-0.107,-0.091,-0.057,-0.102,-0.025,-0.015,-0.005,0.004,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,-,"-550,170","-1,070,065","-1,788,710","-1,812,410","-961,283","-974,031","-239,812","-204,080","31,244","-26,421","-115,106",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-,-0.018,-0.040,-0.071,-0.056,-0.041,-0.044,-0.014,-0.014,0.002,-0.002,-0.008,Financials in USD,Fiscal year is January - December
Gross Margin,39.890%,39.890%,37.989%,64.919%,5.243%,-42.165%,79.184%,100.000%,100.000%,-151.563%,62.995%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-184.019%,-184.019%,-1118.236%,-1062.904%,-1693.354%,-3130.902%,-1880.792%,-28845.294%,-1766.279%,-2315.787%,-119.955%,-29.346%,19.558%,Financials in USD,Fiscal year is January - December
Profit Margin,-184.019%,-184.019%,-1753.604%,-2539.622%,-1706.040%,-3730.733%,-2836.986%,-28863.552%,-7129.313%,-2321.388%,-132.623%,-29.342%,19.565%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-459.076%,-801.667%,-1113.275%,-1945.481%,-1268.351%,-22091.880%,-999.217%,-1275.500%,19.059%,-10.631%,-34.728%,Financials in USD,Fiscal year is January - December
EBITDA,-,-,"-1,276,468","-1,315,142","-2,621,831","-2,868,182","-1,321,155","-1,240,913","-420,006","-366,530","-192,641","-68,556","69,503",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-117.510%,-27.584%,20.969%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,"63,659","103,622","98,898","48,566","104,297","30,876","3,901","3,996","4,007","4,380","4,677",Financials in USD,Fiscal year is January - December
EBIT,"-45,287","-45,287","-1,340,127","-1,418,764","-2,720,729","-2,916,748","-1,425,452","-1,271,789","-423,907","-370,526","-196,648","-72,936","64,826",Financials in USD,Fiscal year is January - December
EBIT Margin,-184.019%,-184.019%,-,-,-,-,-,-,-,-,-119.955%,-29.346%,19.558%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"24,610","24,610","119,843","133,480","160,671","93,160","75,790","4,409","24,000","16,000","163,935","248,535",-,Financials in USD,Fiscal year is January - December
