Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"-594,000","-392,000","160,000","-2,624,000","1,581,000","58,000","-103,000","-179,000","308,000","-7,000","-71,000","29,000","-29,000",-,-,-,"-161,000","-324,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-95,675,000","-98,063,000","-92,044,000","-98,246,000","-93,017,000","-76,726,000","-64,158,000","-60,298,000","-60,445,000","-65,560,000","-55,979,000","-64,933,000","-46,601,000","-43,401,000","-30,717,000","-25,766,000","-22,990,000","-18,943,000","-18,424,000",Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-108,000","1,188,000",-,-,"-1,169,000","2,806,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,"-827,000",-,-,-,"-883,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-95,675,000","-98,063,000","-92,152,000","-97,058,000","-93,017,000","-76,726,000","-65,327,000","-57,492,000","-60,445,000","-65,560,000","-55,979,000","-64,933,000","-47,428,000","-43,401,000","-30,717,000","-25,766,000","-23,873,000","-18,943,000","-18,424,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"167,000","-523,000","-779,000","-4,062,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-95,842,000","-97,540,000","-91,373,000","-92,996,000","-93,017,000","-76,726,000","-65,327,000","-57,492,000","-60,445,000","-65,560,000","-55,979,000","-64,933,000","-47,428,000","-43,401,000","-30,717,000","-25,766,000","-23,873,000","-18,943,000","-18,424,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-95,842,000","-97,540,000","-91,373,000","-92,996,000","-93,017,000","-76,726,000","-65,327,000","-57,492,000","-60,445,000","-65,560,000","-55,979,000","-64,933,000","-47,428,000","-43,401,000","-30,717,000","-25,766,000","-23,873,000","-18,943,000","-18,424,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"282,583,048","242,196,409","236,019,349","223,158,161","214,327,186","201,415,475","191,618,238","185,669,683","173,435,970","172,212,390","170,690,392","169,368,999","168,533,550","138,360,646","23,035,623","22,013,520","21,817,900","21,652,277","21,639,891",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"282,583,048","242,196,409","236,019,349","223,158,161","214,327,186","201,415,475","191,618,238","185,669,683","173,435,970","172,212,390","170,690,392","169,368,999","168,533,550","138,360,646","23,035,623","22,013,520","21,817,900","21,652,277","21,639,891",Financials in USD,Fiscal year is January - December
Shares Change (YoY),31.847%,20.247%,23.172%,20.191%,23.577%,16.958%,12.261%,9.624%,2.909%,24.466%,640.984%,669.386%,672.455%,539.012%,6.450%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.339,-0.403,-0.387,-0.417,-0.434,-0.381,-0.341,-0.310,-0.349,-0.381,-0.328,-0.383,-0.281,-0.314,-1.333,-1.170,-1.094,-0.875,-0.851,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.340,-0.403,-0.387,-0.417,-0.434,-0.381,-0.341,-0.310,-0.349,-0.381,-0.328,-0.383,-0.281,-0.314,-1.333,-1.170,-1.094,-0.875,-0.851,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-63,787,000","-83,401,000","-108,953,000","-76,144,000","-73,665,000","-71,435,000","-78,491,000","-52,727,000","-62,804,000","-78,098,000","73,046,000","-65,622,000","-42,754,000","-39,865,000","-50,171,000","4,886,000","-20,282,000","-17,333,000","-18,501,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.226,-0.344,-0.462,-0.341,-0.344,-0.355,-0.410,-0.284,-0.362,-0.453,0.428,-0.387,-0.254,-0.288,-2.178,0.222,-0.930,-0.801,-0.855,Financials in USD,Fiscal year is January - December
Gross Margin,-232.333%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-377.095%,-697.392%,-697.637%,-919.273%,-945.125%,-741.717%,-566.145%,-466.423%,-475.479%,-862.536%,-1049.709%,-2564.548%,-1831.176%,-1605.689%,-1189.852%,-950.613%,-2192.585%,-9794.086%,-30571.667%,Financials in USD,Fiscal year is January - December
Profit Margin,-367.464%,-676.562%,-662.411%,-853.879%,-883.101%,-696.433%,-538.380%,-420.386%,-459.309%,-854.313%,-1049.672%,-2563.482%,-1871.665%,-1702.668%,-1198.946%,-957.488%,-2329.073%,-10184.409%,-30706.667%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-244.563%,-578.491%,-789.858%,-699.146%,-699.373%,-648.407%,-646.868%,-385.544%,-477.234%,-1017.696%,1369.698%,-2590.683%,-1687.214%,-1563.947%,-1958.275%,181.568%,-1978.732%,-9318.817%,-30835.000%,Financials in USD,Fiscal year is January - December
EBITDA,"-91,156,000","-91,575,000","-88,855,000","-92,565,000","-91,972,000","-76,172,000","-64,968,000","-60,574,000","-59,584,000","-63,405,000","-53,214,000","-62,724,000","-43,966,000","-38,598,000","-29,082,000","-24,456,000","-21,617,000","-17,193,000","-17,406,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,198,000","8,968,000","7,377,000","7,553,000","7,578,000","5,543,000","3,728,000","3,214,000","2,989,000","2,786,000","2,767,000","2,236,000","2,436,000","2,331,000","1,402,000","1,125,000","857,000","1,024,000","937,000",Financials in USD,Fiscal year is January - December
EBIT,"-98,354,000","-100,543,000","-96,232,000","-100,118,000","-99,550,000","-81,715,000","-68,696,000","-63,788,000","-62,573,000","-66,191,000","-55,981,000","-64,960,000","-46,402,000","-40,929,000","-30,484,000","-25,581,000","-22,474,000","-18,217,000","-18,343,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,"26,082,000","14,417,000","13,794,000","10,891,000","10,533,000","11,017,000","12,134,000","13,676,000","13,160,000","7,674,000","5,333,000","2,533,000","2,534,000","2,549,000","2,562,000","2,691,000","1,025,000","186,000","60,000",Financials in USD,Fiscal year is January - December
