Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Net Income to Common,"-25,867,000","-27,202,000","-7,198,000","19,844,000","-39,336,000","-23,854,000","-27,344,000","-38,992,000","-92,874,000","-30,772,000","-26,041,000","-20,670,000","-17,091,000","-15,927,000","-11,281,000","-9,093,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"53,821,893","53,516,907","52,757,973","48,913,462","48,348,094","48,106,528","46,769,380","43,979,778","43,819,365","36,609,772","20,760,722","519,313","492,199","437,258","337,302","321,973",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"53,821,893","53,516,907","52,757,973","48,913,462","48,348,094","48,106,528","46,769,380","43,979,778","43,819,365","36,609,772","20,760,722","519,313","492,199","437,258","337,302","321,973",Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.322%,11.247%,12.805%,11.218%,10.335%,31.404%,125.278%,8368.838%,8802.774%,8272.579%,6054.936%,61.291%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.481,-0.508,-0.136,0.406,-0.814,-0.496,-0.585,-0.887,-2.119,-0.841,-1.254,-39.803,-34.724,-36.425,-33.445,-28.241,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.481,-0.508,-0.136,0.406,-0.814,-0.496,-0.585,-0.887,-2.119,-0.841,-1.254,-39.803,-34.724,-36.425,-33.445,-28.241,Financials in USD,Fiscal year is January - December
Free Cash Flow,"28,429,000","-39,462,000","-38,339,000","52,955,000","-18,029,000","-29,843,000","181,062,000","-28,796,000","-17,034,000","-22,697,000","-33,053,000","-26,299,000","-12,008,000","-11,141,000","-10,573,000","-7,888,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.528,-0.737,-0.727,1.083,-0.373,-0.620,3.871,-0.655,-0.389,-0.620,-1.592,-50.642,-24.397,-25.479,-31.346,-24.499,Financials in USD,Fiscal year is January - December
Gross Margin,-50.492%,-49.551%,17.674%,100.000%,-192.886%,-98.063%,-83.854%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-129.143%,-127.786%,-40.274%,23.752%,-299.940%,-206.684%,-170.037%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-99.374%,-99.335%,-18.336%,31.425%,-262.994%,-166.788%,-152.657%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,109.216%,-144.106%,-97.664%,83.859%,-120.539%,-208.663%,1010.842%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-32,282,000","-33,754,000","-14,984,000","15,721,000","-44,415,000","-29,121,000","-30,025,000","-39,588,000","-93,535,000","-30,988,000","-25,828,000","-20,367,000","-16,857,000","-15,678,000","-11,075,000","-8,929,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-124.018%,-123.262%,-38.170%,24.895%,-296.951%,-203.615%,-167.625%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,334,000","1,239,000","826,000","722,000","447,000","439,000","432,000","416,000","340,000","302,000","263,000","331,000","253,000","250,000","207,000","165,000",Financials in USD,Fiscal year is January - December
EBIT,"-33,616,000","-34,993,000","-15,810,000","14,999,000","-44,862,000","-29,560,000","-30,457,000","-40,004,000","-93,875,000","-31,290,000","-26,091,000","-20,698,000","-17,110,000","-15,928,000","-11,282,000","-9,094,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-129.143%,-127.786%,-40.274%,23.752%,-299.940%,-206.684%,-170.037%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,3.039%,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
