Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
EBT Excluding Unusual Items,"-1,434,000","-25,261,000","-8,830,000","-8,873,000","-8,940,000","-9,387,000","-13,090,000","-775,000","-13,357,000","-13,925,000","-7,947,000","-14,954,000","-14,019,000","-12,653,000","-13,022,000","-10,827,000","-8,635,000","-6,967,000","-6,287,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-40,000","-1,505,000",-,"-1,207,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,434,000","-25,261,000","-8,830,000","-8,913,000","-10,445,000","-9,387,000","-14,297,000","-775,000","-13,357,000","-13,925,000","-7,947,000","-14,954,000","-14,019,000","-12,653,000","-13,022,000","-10,827,000","-8,635,000","-6,967,000","-6,287,000",Financials in USD,Fiscal year is January - December
Net Income,"-1,434,000","-25,261,000","-8,830,000","-8,913,000","-10,445,000","-9,387,000","-14,297,000","-775,000","-13,357,000","-13,925,000","-7,947,000","-14,954,000","-14,019,000","-12,653,000","-13,022,000","-10,827,000","-8,635,000","-6,967,000","-6,287,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,434,000","-25,261,000","-8,830,000","-8,913,000","-10,445,000","-9,387,000","-14,297,000","-775,000","-13,357,000","-13,925,000","-7,947,000","-14,954,000","-14,019,000","-12,653,000","-13,022,000","-10,827,000","-8,635,000","-6,967,000","-6,287,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,228,000","3,162,000","2,083,000","2,035,598","2,033,000","2,004,000","1,998,000","2,270,797","2,331,201","2,329,668","2,324,201","2,325,533","1,826,801","1,214,467","1,210,267","1,206,985","1,233,829","487,892","469,514",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,228,000","3,162,000","2,083,000","2,035,598","2,033,000","2,004,000","1,998,000","2,270,797","2,331,201","2,329,668","2,324,201","2,325,533","1,826,801","1,214,467","1,210,267","1,206,985","1,233,829","487,892","469,514",Financials in USD,Fiscal year is January - December
Shares Change (YoY),58.780%,57.784%,4.254%,-10.358%,-12.792%,-13.979%,-14.035%,-2.354%,27.611%,91.826%,92.040%,92.673%,48.059%,148.921%,157.770%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.444,-7.989,-4.239,-4.379,-5.138,-4.684,-7.156,-0.341,-5.730,-5.977,-3.419,-6.430,-7.674,-10.419,-10.760,-8.970,-6.999,-14.280,-13.390,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.444,-7.989,-4.239,-4.379,-5.138,-4.684,-7.156,-0.341,-5.730,-5.977,-3.419,-6.430,-7.674,-10.419,-10.760,-8.970,-6.999,-14.280,-13.390,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,752,000","-5,611,000","-8,753,000","-7,311,000","-10,133,000","-8,832,000","-14,485,000","-353,000","-14,298,000","-11,436,000","-18,786,000","-11,867,000","-14,599,000","-12,941,000","-10,675,000","-9,797,000","-7,784,000","-6,318,000","-6,074,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.092,-1.775,-4.202,-3.592,-4.984,-4.407,-7.250,-0.155,-6.133,-4.909,-8.083,-5.103,-7.992,-10.656,-8.820,-8.117,-6.309,-12.950,-12.937,Financials in USD,Fiscal year is January - December
Gross Margin,48.000%,-,-,-,-,-,-,24.504%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,12.320%,-,-,-,-,-,-,-17.352%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-14.340%,-,-,-,-,-,-,-6.200%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-67.520%,-,-,-,-,-,-,-2.824%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"1,574,000","-8,663,000","-8,738,000","-9,233,000","-9,201,000","-9,780,000","-12,903,000","-1,691,000","-13,135,000","-13,599,000","-13,959,000","-14,457,000","-13,180,000","-12,168,000","-12,520,000","-10,367,000","-8,190,000","-6,488,000","-5,825,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,15.740%,-,-,-,-,-,-,-13.528%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"342,000","386,000","392,000","451,000","483,000","495,000","482,000","478,000","470,000","473,000","534,000","538,000","525,000","492,000","511,000","469,000","451,000","481,000","536,000",Financials in USD,Fiscal year is January - December
EBIT,"1,232,000","-9,049,000","-9,130,000","-9,684,000","-9,684,000","-10,275,000","-13,385,000","-2,169,000","-13,605,000","-14,072,000","-14,493,000","-14,995,000","-13,705,000","-12,660,000","-13,031,000","-10,836,000","-8,641,000","-6,969,000","-6,361,000",Financials in USD,Fiscal year is January - December
EBIT Margin,12.320%,-,-,-,-,-,-,-17.352%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
