Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,"-98,000","-199,000","-186,000","-281,000","-271,000","-181,000","-368,000","-312,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-2,000","-14,000","3,000","-786,000","-2,212,000","-1,482,000","-2,941,000","1,747,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"7,385,000",-,"-107,000","-1,118,000","-870,000",-,"-261,000",-,"-11,250,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-316,000","134,000","-200,000","-100,000","200,000","-207,000","2,200,000","1,900,000",-,"3,167,000","-512,000","-315,000","-498,000","836,000","99,000","134,000","262,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-5,666,000","-237,000","-10,436,000","3,520,000","-6,341,000","-9,823,000","-7,473,000","-2,784,000","-2,565,000","-850,000","5,591,000","-14,500,000","-16,006,000","-3,617,000","-3,533,000","-188,000","-2,924,000","-3,708,000","-4,103,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"3,000","20,000","1,000","-6,000","1,000","14,000","5,000","1,000","1,000",-,"30,000","5,000","6,000","44,000","1,000","-2,000","61,000","4,000","1,000",Financials in USD,Fiscal year is January - December
Net Income,"-5,669,000","-257,000","-10,437,000","3,526,000","-6,342,000","-9,837,000","-7,478,000","-2,785,000","-2,566,000","-850,000","5,561,000","-14,505,000","-16,012,000","-3,661,000","-3,534,000","-186,000","-2,985,000","-3,712,000","-4,104,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,669,000","-257,000","-10,437,000","3,526,000","-6,342,000","-9,837,000","-7,478,000","-2,785,000","-2,566,000","-850,000","5,561,000","-14,505,000","-16,012,000","-3,661,000","-3,534,000","-186,000","-2,985,000","-3,712,000","-4,104,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,773,993","5,091,353","3,623,593","2,140,400","1,366,842","1,360,739","1,334,950","1,293,898","1,136,291","941,175","855,237","560,329","400,000","400,000","400,000","400,000",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,773,993","5,091,353","3,623,593","2,140,400","1,366,842","1,360,739","1,334,950","1,293,898","1,136,291","941,175","856,661","560,329","400,000","400,000","400,000","400,000",-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),322.433%,274.161%,171.440%,65.423%,20.290%,44.579%,55.832%,130.918%,184.073%,135.294%,114.165%,40.082%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.982,-0.050,-2.880,1.647,-4.640,-7.229,-5.602,-2.152,-2.258,-0.903,6.502,-25.887,-40.030,-9.152,-8.835,-0.465,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.982,-0.050,-2.880,1.646,-4.640,-7.229,-5.602,-2.154,-2.260,-0.903,6.400,-25.900,-40.030,-9.200,-8.835,-0.465,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,208,000","-4,672,000","-3,382,000","-8,857,000","-2,004,000","-10,336,000","-3,703,000","-8,272,000","-5,942,000","94,000","-2,117,000","-20,999,000","-1,216,000","-1,068,000","-3,443,000","-663,000","-850,000","-4,236,000","-6,620,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.209,-0.918,-0.933,-4.138,-1.466,-7.596,-2.774,-6.393,-5.229,0.100,-2.471,-37.476,-3.040,-2.670,-8.607,-1.657,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,45.883%,44.610%,47.978%,49.339%,48.404%,50.616%,47.349%,48.186%,48.519%,42.697%,47.185%,47.938%,47.162%,46.917%,45.805%,48.390%,68.850%,48.293%,48.367%,Financials in USD,Fiscal year is January - December
Operating Margin,-55.038%,-64.689%,-69.098%,-36.476%,-49.685%,-145.212%,-52.376%,-43.868%,-135.099%,-176.150%,-31.894%,69.459%,-350.854%,-51.255%,-57.947%,-0.175%,-63.438%,-104.455%,-81.051%,Financials in USD,Fiscal year is January - December
Profit Margin,-62.905%,-3.278%,-131.914%,33.277%,-71.290%,-168.211%,-85.629%,-27.455%,-59.371%,-19.071%,57.030%,-158.213%,-369.451%,-62.528%,-74.494%,-2.170%,-91.790%,-154.538%,-88.774%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-13.404%,-59.599%,-42.745%,-83.588%,-22.527%,-176.744%,-42.402%,-81.546%,-137.483%,2.109%,-21.711%,-229.047%,-28.057%,-18.241%,-72.576%,-7.734%,-26.138%,-176.353%,-143.197%,Financials in USD,Fiscal year is January - December
EBITDA,"-4,831,000","-4,941,000","-5,339,000","-3,740,000","-4,294,000","-8,366,000","-4,447,000","-4,325,000","-5,708,000","-7,719,000","-2,979,000","6,499,000","-15,072,000","-2,864,000","-2,611,000","124,000","-1,922,000","-2,368,000","-3,606,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-53.606%,-63.031%,-67.480%,-35.296%,-48.269%,-143.057%,-50.922%,-42.636%,-132.068%,-173.188%,-30.551%,70.888%,-,-48.915%,-55.038%,1.446%,-59.102%,-98.585%,-78.001%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"129,000","130,000","128,000","125,000","126,000","126,000","127,000","125,000","131,000","132,000","131,000","131,000","134,000","137,000","138,000","139,000","141,000","141,000","141,000",Financials in USD,Fiscal year is January - December
EBIT,"-4,960,000","-5,071,000","-5,467,000","-3,865,000","-4,420,000","-8,492,000","-4,574,000","-4,450,000","-5,839,000","-7,851,000","-3,110,000","6,368,000","-15,206,000","-3,001,000","-2,749,000","-15,000","-2,063,000","-2,509,000","-3,747,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-55.038%,-64.689%,-69.097%,-36.476%,-49.685%,-145.212%,-52.376%,-43.868%,-135.099%,-176.150%,-31.894%,69.459%,-,-51.255%,-57.947%,-0.175%,-63.438%,-104.455%,-81.051%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,0.536%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"9,012,000","7,839,000","7,912,000","10,596,000","8,896,000","5,848,000","8,733,000","10,144,000","4,322,000","4,457,000","9,751,000","9,168,000","4,334,000","5,855,000","4,744,000","8,572,000","3,252,000","2,402,000","4,623,000",Financials in USD,Fiscal year is January - December
