Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"-545,000","20,632,000","3,544,000","-1,046,000","97,000","-1,755,000","1,257,000","77,683,000","-74,905,000","-650,000","-1,200,000","-262,000","-1,668,000","-1,869,000","-1,869,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"4,347,000","35,476,000","1,675,000","5,003,000","1,805,000","1,485,000","3,605,000","118,386,000","-107,275,000","274,000","-15,144,000","20,040,000","-1,720,000","-8,735,500","-8,735,500",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-14,071,000",-,-,-,"-10,200,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-838,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"7,087,000","2,460,000","7,205,000","25,480,000","28,583,000","-10,778,000","18,510,000","4,506,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-5,180,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-894,000",-,-,-,"-77,705,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"11,434,000","37,936,000","8,880,000","9,500,000","30,388,000","-9,293,000","22,115,000","34,987,000","-107,275,000","274,000","-15,144,000","20,040,000","-1,720,000","-8,735,500","-8,735,500",Financials in USD,Fiscal year is January - December
Income Tax Expense,"3,235,000","10,981,000","2,259,000","-934,000","7,808,000","-2,374,000","5,669,000","7,363,000","3,566,000","882,000","1,894,000","10,595,000","-751,000","726,000","726,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"8,199,000","26,955,000","6,621,000","10,434,000","22,580,000","-6,919,000","16,446,000","27,624,000","-110,841,000","-608,000","-17,038,000","9,445,000","-969,000","-9,461,500","-9,461,500",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-5,000",-,-,-,-,-,-,"378,000","-56,000","-41,000","-281,000",-,-,"-364,000","-364,000",Financials in USD,Fiscal year is January - December
Net Income,"8,194,000","26,955,000","6,621,000","10,434,000","22,580,000","-6,919,000","16,446,000","28,002,000","-110,897,000","-649,000","-17,319,000","9,445,000","-969,000","-9,825,500","-9,825,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"8,194,000","26,955,000","6,621,000","10,434,000","22,580,000","-6,919,000","16,446,000","28,002,000","-110,897,000","-649,000","-17,319,000","9,445,000","-969,000","-9,825,500","-9,825,500",Financials in USD,Fiscal year is January - December
Net Income Growth,-63.711%,-,-59.741%,-62.738%,-,-,-,196.474%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"101,051,020","101,106,853","101,109,572","101,111,284","101,109,572","101,109,572","101,109,572","101,142,184","97,143,272","97,128,690","97,128,690","2,001,071",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"101,051,020","101,106,853","101,109,572","101,111,284","101,109,572","101,109,572","101,109,572","101,142,184","97,143,272","97,128,690","97,128,690","2,001,071",-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-0.058%,-0.003%,-,-0.031%,4.083%,4.099%,4.099%,4954.403%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.081,0.267,0.065,0.103,0.223,-0.068,0.163,0.277,-1.142,-0.007,-0.178,4.720,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.081,0.267,0.065,0.102,0.223,-0.068,0.163,0.275,-1.142,-0.007,-0.178,4.601,-,-,-,Financials in USD,Fiscal year is January - December
EPS Growth,-63.691%,-,-59.741%,-62.692%,-,-,-,-94.031%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"43,197,000","16,488,000","-174,000","-13,263,000","981,000","1,639,000","4,137,000","-16,831,000","29,101,000","2,903,000","8,008,000","33,722,000",-,"12,381,000","12,381,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.427,0.163,-0.002,-0.131,0.010,0.016,0.041,-0.166,0.300,0.030,0.082,16.852,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,57.768%,55.597%,54.730%,51.499%,61.192%,64.609%,55.030%,59.792%,58.273%,58.740%,51.247%,57.663%,60.252%,56.265%,56.265%,Financials in USD,Fiscal year is January - December
Operating Margin,11.134%,13.710%,3.889%,16.929%,15.712%,16.122%,2.813%,39.723%,17.224%,16.339%,-0.480%,31.381%,17.884%,8.801%,8.801%,Financials in USD,Fiscal year is January - December
Profit Margin,6.920%,24.492%,7.867%,10.283%,20.452%,-6.155%,19.206%,22.130%,-103.808%,-0.656%,-22.364%,7.994%,-1.222%,-14.664%,-14.664%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,36.481%,14.981%,-0.207%,-13.071%,0.889%,1.458%,4.831%,-13.301%,27.241%,2.934%,10.341%,28.542%,-,18.478%,18.478%,Financials in USD,Fiscal year is January - December
EBITDA,"16,563,000","17,838,000","5,477,000","17,187,000","19,824,000","21,222,000","4,679,000","52,220,000","21,788,000","19,455,000","3,026,000","37,152,000","16,661,750","8,851,000","8,851,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,13.988%,16.208%,6.508%,16.939%,17.956%,18.877%,5.464%,41.269%,20.395%,19.664%,3.907%,31.445%,21.008%,13.210%,13.210%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,379,000","2,749,000","2,204,000","10,000","2,478,000","3,098,000","2,270,000","1,956,000","3,388,000","3,290,000","3,398,000","76,000","2,477,750","2,954,000","2,954,000",Financials in USD,Fiscal year is January - December
EBIT,"13,184,000","15,089,000","3,273,000","17,177,000","17,346,000","18,124,000","2,409,000","50,264,000","18,400,000","16,165,000","-372,000","37,076,000","14,184,000","5,897,000","5,897,000",Financials in USD,Fiscal year is January - December
EBIT Margin,11.134%,13.710%,3.889%,16.929%,15.712%,16.122%,2.813%,39.723%,17.224%,16.339%,-0.480%,31.381%,17.884%,8.801%,8.801%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,28.293%,28.946%,25.439%,-,25.694%,-,25.634%,21.045%,-,321.898%,-,52.869%,-,-,-,Financials in USD,Fiscal year is January - December
