Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Pretax Income,"-11,466,000","-16,236,000","-19,029,000","-20,242,000","-18,374,000","-18,630,000","-17,318,000","-16,203,000","-18,370,000","-17,583,000","-14,498,000","-12,415,000","-10,196,000","-11,127,000","-13,275,000","-10,517,000","-7,155,000","-4,893,000","-3,897,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000",-,-,"-16,000",Financials in USD,Fiscal year is January - December
Net Income,"-11,466,000","-16,236,000","-19,029,000","-20,242,000","-18,374,000","-18,630,000","-17,318,000","-16,203,000","-18,370,000","-17,583,000","-14,498,000","-12,415,000","-10,196,000","-11,127,000","-13,275,000","-10,518,000","-7,155,000","-4,893,000","-3,881,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,466,000","-16,236,000","-19,029,000","-20,242,000","-18,374,000","-18,630,000","-17,318,000","-16,203,000","-18,370,000","-17,583,000","-14,498,000","-12,415,000","-10,196,000","-11,127,000","-13,275,000","-10,518,000","-7,155,000","-4,893,000","-3,881,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"44,593,221","44,128,059","40,773,615","40,639,567","40,531,497","40,363,902","40,248,893","35,516,630","30,777,797","30,588,931","30,318,405","29,789,974","27,527,770","22,559,706","22,244,883","22,234,202","22,142,148","2,643,750","1,968,750",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"44,593,221","44,128,059","40,773,615","40,639,567","40,531,497","40,363,902","40,248,893","35,516,630","30,777,797","30,588,931","30,318,405","29,789,974","27,527,770","22,559,706","22,244,883","22,234,202","22,142,148","2,643,750","1,968,750",Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.021%,9.326%,1.304%,14.424%,31.691%,31.956%,32.754%,19.223%,11.806%,35.591%,36.294%,33.983%,24.323%,753.322%,1029.899%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.257,-0.368,-0.467,-0.498,-0.453,-0.462,-0.430,-0.456,-0.597,-0.575,-0.478,-0.417,-0.370,-0.493,-0.597,-0.473,-0.323,-1.851,-1.971,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.257,-0.368,-0.467,-0.498,-0.453,-0.462,-0.430,-0.456,-0.597,-0.575,-0.478,-0.417,-0.370,-0.493,-0.597,-0.473,-0.323,-1.851,-1.971,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,545,000","-10,418,000","-15,457,000","-11,657,000","-16,471,000","-13,384,000","-18,765,000","-15,264,000","-14,739,000","-13,568,000","-13,767,000","-10,023,000","-11,002,000","-12,850,000","-11,991,000","-7,367,000","-5,646,000","-3,622,000","-5,541,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.304,-0.236,-0.379,-0.287,-0.406,-0.332,-0.466,-0.430,-0.479,-0.444,-0.454,-0.336,-0.400,-0.570,-0.539,-0.331,-0.255,-1.370,-2.814,Financials in USD,Fiscal year is January - December
Operating Margin,-4035.452%,-5697.324%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-3834.783%,-5430.100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-4530.100%,-3484.281%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-12,034,000","-17,001,000","-16,452,000","-21,076,000","-19,326,000","-20,045,000","-18,335,000","-17,052,000","-18,818,000","-17,571,000","-14,276,000","-12,278,000","-9,955,000","-10,505,000","-12,801,000","-10,067,000","-6,695,000","-4,648,000","-3,831,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"32,000","34,000","35,000","36,000","37,000","38,000","39,000","39,000","42,000","44,000","42,000","35,000","26,000","25,000","23,000","20,000","15,000","14,000","13,000",Financials in USD,Fiscal year is January - December
EBIT,"-12,066,000","-17,035,000","-16,487,000","-21,112,000","-19,363,000","-20,083,000","-18,374,000","-17,091,000","-18,860,000","-17,615,000","-14,318,000","-12,313,000","-9,981,000","-10,530,000","-12,824,000","-10,087,000","-6,710,000","-4,662,000","-3,844,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,"299,000","299,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
