Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Earnings From Equity Investments,-,-,-,"-3,170,000","-1,277,000","-1,542,000","-1,164,000","-858,000","-466,000","-487,000","-779,000","-744,000","-837,000","-418,500","-418,500",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-6,085,000","1,210,000","6,532,000","-6,067,000","3,965,000","-1,333,000","-1,748,000","-3,077,000","8,899,000","6,903,000","-2,159,000","-553,000","6,845,000","-1,805,500","-1,805,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"51,296,000","-51,296,000",-,"-132,333,000","-113,622,000","113,622,000",-,"-86,774,000","-50,920,000","43,490,000",-,"120,745,000","-4,376,000","-33,812,000","-33,812,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,499,000","142,892,000","-225,167,000","-284,583,000","-205,542,000","188,270,000","-305,560,000","-260,320,000","-45,152,000","4,505,000","-95,138,000","110,877,000","-110,561,000","-147,608,500","-147,608,500",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-918,000",-,"-918,000",-,"-39,695,000","21,000,000","-21,000,000",-,-,"1,150,000","-575,000","-575,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-2,970,000",-,"-21,519,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-1,779,000",-,-,-,"-2,755,000",-,-,-,"-6,085,000","6,059,000","-3,029,500","-3,029,500",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-6,251,000","-63,127,000",-,-,-,"-18,500,000",-,"-41,033,000","17,852,000","-89,911,000",-,"149,227,000",-,"1,280,500","1,280,500",Financials in USD,Fiscal year is January - December
Pretax Income,"-24,750,000","76,795,000","-225,167,000","-308,799,000","-205,542,000","168,852,000","-305,560,000","-343,803,000","-6,300,000","-106,406,000","-95,138,000","254,019,000","-103,352,000","-149,932,500","-149,932,500",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-13,357,000","11,570,000","-6,438,000","-32,242,000","-17,222,000","-20,474,000","-29,380,000","-23,296,000","2,302,000","1,086,000","-18,159,000","261,000","-22,037,000","-12,959,000","-12,959,000",Financials in USD,Fiscal year is January - December
Net Income,"-11,393,000","65,225,000","-218,729,000","-276,557,000","-188,320,000","189,326,000","-276,180,000","-320,507,000","-8,602,000","-107,492,000","-76,979,000","253,758,000","-81,315,000","-136,973,500","-136,973,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,393,000","65,225,000","-218,729,000","-276,557,000","-188,320,000","189,326,000","-276,180,000","-320,507,000","-8,602,000","-107,492,000","-76,979,000","253,758,000","-81,315,000","-136,973,500","-136,973,500",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-65.549%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"280,786,895","258,673,991","245,762,921","226,776,292","231,201,974","228,321,804","222,725,806","211,667,840","215,828,764","184,369,306","179,020,930","136,432,893","108,606,865","98,826,739","98,826,739",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"280,786,895","258,673,991","245,762,921","226,776,292","231,201,974","228,321,804","222,725,806","211,667,840","215,828,764","184,369,306","179,020,930","136,432,893","108,606,865","98,826,739","98,826,739",Financials in USD,Fiscal year is January - December
Shares Change (YoY),21.447%,13.294%,10.343%,7.138%,7.123%,23.839%,24.413%,55.144%,98.725%,86.558%,81.146%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.041,0.252,-0.890,-1.220,-0.815,0.829,-1.240,-1.514,-0.040,-0.583,-0.430,1.860,-0.749,-1.386,-1.386,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.041,0.252,-0.890,-1.220,-0.815,0.829,-1.240,-1.514,-0.040,-0.583,-0.430,1.860,-0.749,-1.386,-1.386,Financials in USD,Fiscal year is January - December
EPS Growth,-,-69.591%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-85,461,000","-56,799,000","-79,472,000","-70,957,000","-123,866,000","-53,138,000","-97,458,000","-73,313,000","-118,140,000","-108,388,000","-50,428,000","-84,344,000","-72,948,000","-45,670,000","-45,670,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.304,-0.220,-0.323,-0.313,-0.536,-0.233,-0.438,-0.346,-0.547,-0.588,-0.282,-0.618,-0.672,-0.462,-0.462,Financials in USD,Fiscal year is January - December
Gross Margin,61.344%,77.253%,45.907%,-2.057%,-105.213%,-,-146.144%,-3.836%,8.159%,59.295%,-120.429%,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,12.357%,46.221%,-131.238%,-134.682%,-497.792%,-1661.965%,-606.145%,-198.943%,-434.797%,-68.204%,-9112.989%,56.083%,-14705.506%,-7096.689%,-7096.689%,Financials in USD,Fiscal year is January - December
Profit Margin,-11.062%,32.817%,-592.858%,-500.266%,-1057.978%,4286.303%,-1738.840%,-1249.589%,-45.018%,-272.359%,-9707.314%,690.216%,-14443.162%,-11627.632%,-11627.632%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-82.980%,-28.578%,-215.406%,-128.355%,-695.876%,-1203.034%,-613.599%,-285.832%,-618.275%,-274.629%,-6359.142%,-229.414%,-12957.016%,-3876.910%,-3876.910%,Financials in USD,Fiscal year is January - December
EBITDA,"27,369,000","93,179,000","-41,229,000","-70,787,250","-78,314,000","-71,058,000","-91,433,000","-48,497,750","-73,333,000","-26,273,000","-67,575,000","22,845,500","-74,230,000","-81,075,000","-81,075,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,26.574%,46.882%,-111.750%,-128.048%,-,-,-,-189.082%,-,-66.570%,-,62.139%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"14,643,000","1,313,000","7,190,000","3,667,750","10,293,000","2,351,000","4,841,000","2,529,250","9,748,000","645,000","4,691,000","2,226,500","8,562,000","2,524,000","2,524,000",Financials in USD,Fiscal year is January - December
EBIT,"12,726,000","91,866,000","-48,419,000","-74,455,000","-88,607,000","-73,409,000","-96,274,000","-51,027,000","-83,081,000","-26,918,000","-72,266,000","20,619,000","-82,792,000","-83,599,000","-83,599,000",Financials in USD,Fiscal year is January - December
EBIT Margin,12.357%,46.221%,-131.238%,-134.682%,-,-,-,-198.943%,-,-68.204%,-,56.083%,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,15.066%,-,-,-,-,-,-,-,-,-,0.103%,-,-,-,Financials in USD,Fiscal year is January - December
