Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"1,603","-566,364","-240,288","55,547","607,600","-35,446","417,710","1,199,935","-759,788","-799,554",267,937,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,755,234","-2,917,710","-2,120,651","-1,592,308","-3,846,294","-2,235,614","-3,302,908","-13,628","-2,079,682","-1,516,530","-539,140","-852,519",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-3,720,997","-4,779,069",-,"1,129,498",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,755,234","-2,917,710","-2,120,651","-5,313,305","-8,625,363","-2,235,614","-2,173,410","-13,628","-2,079,682","-1,516,530","-539,140","-852,519",Financials in USD,Fiscal year is January - December
Net Income,"-1,755,234","-2,917,710","-2,120,651","-5,313,305","-8,625,363","-2,235,614","-2,173,410","-13,628","-2,079,682","-1,516,530","-539,140","-852,519",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"44,820",-,-,-,-,"190,699",-,"192,795","192,794","190,699","188,604","192,792",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,800,054","-2,917,710","-2,120,651","-5,313,305","-8,625,363","-2,426,313","-2,173,410","-206,423","-2,272,476","-1,707,229","-727,744","-1,045,311",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,172,229","6,921,004","6,550,567","5,353,291","3,625,519","2,003,322","2,003,322","2,084,148","1,988,758","1,970,054","1,968,004","1,968,004",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,172,229","6,921,004","6,550,567","5,353,291","3,625,519","2,003,322","2,003,322","2,084,148","1,988,758","1,970,054","1,968,004","1,968,004",Financials in USD,Fiscal year is January - December
Shares Change (YoY),97.826%,245.476%,226.985%,156.858%,82.301%,1.689%,1.795%,5.902%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.251,-0.422,-0.324,-0.993,-2.379,-1.211,-1.085,-0.099,-1.143,-0.867,-0.370,-0.531,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.251,-0.422,-0.324,-0.993,-2.379,-1.211,-1.085,-0.099,-1.143,-0.867,-0.370,-0.531,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,397,170","-1,623,821","-1,346,882","-2,645,599","-2,818,956","-629,684","-630,520","-204,315","-923,184","-977,982","-193,913","-197,009",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.195,-0.235,-0.206,-0.494,-0.778,-0.314,-0.315,-0.098,-0.464,-0.496,-0.099,-0.100,Financials in USD,Fiscal year is January - December
Gross Margin,85.442%,87.987%,88.389%,86.387%,85.907%,89.503%,88.088%,87.732%,89.070%,88.425%,90.237%,85.145%,Financials in USD,Fiscal year is January - December
Operating Margin,-247.706%,-360.888%,-283.331%,-305.424%,-633.004%,-172.988%,-111.323%,-160.864%,-194.427%,-98.096%,-66.640%,-180.241%,Financials in USD,Fiscal year is January - December
Profit Margin,-270.025%,-477.140%,-327.952%,-999.758%,-1806.510%,-375.578%,-269.952%,-33.670%,-367.236%,-250.114%,-94.479%,-223.948%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-209.589%,-265.547%,-208.291%,-497.799%,-590.407%,-97.471%,-78.315%,-33.326%,-149.188%,-143.277%,-25.175%,-42.207%,Financials in USD,Fiscal year is January - December
EBITDA,"-1,642,000","-2,195,862","-1,821,383","-1,612,770","-3,012,109","-1,107,330","-886,425","-974,140","-1,194,772","-661,266","-504,928","-832,521",Financials in USD,Fiscal year is January - December
EBITDA Margin,-246.315%,-,-281.671%,-,-,-171.408%,-110.100%,-158.892%,-193.077%,-96.877%,-65.552%,-178.359%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"9,273","10,970","10,737","10,435","10,230","10,211","9,849","12,086","8,352","8,316","8,379","8,783",Financials in USD,Fiscal year is January - December
EBIT,"-1,651,273","-2,206,832","-1,832,120","-1,623,205","-3,022,339","-1,117,541","-896,274","-986,226","-1,203,124","-669,582","-513,307","-841,304",Financials in USD,Fiscal year is January - December
EBIT Margin,-247.706%,-,-283.331%,-,-,-172.988%,-111.323%,-160.864%,-194.427%,-98.096%,-66.640%,-180.241%,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"30,131",-,-,-,-,-,-,"3,300","3,300","8,300",-,Financials in USD,Fiscal year is January - December
