Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"-8,000",-,-,"-27,000","-39,000","-11,000","-10,000","-30,000","30,000","3,000","7,000","2,000","-1,000",-,-,"-1,000","-853,000","-775,000","47,000","-62,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,586,000","-21,072,000","-23,234,000","-26,925,000","-33,325,000","-35,752,000","-27,460,000","-27,543,000","-25,779,000","-28,906,000","-24,254,000","-23,390,000","-23,620,000","-30,381,000","-18,701,000","-16,395,000","-8,923,000","-6,048,000","-1,604,000","-1,358,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,"690,000",-,-,-,"-2,709,000","-174,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,586,000","-21,072,000","-23,234,000","-26,925,000","-33,325,000","-35,752,000","-27,460,000","-27,543,000","-25,779,000","-28,906,000","-24,254,000","-23,390,000","-22,930,000","-30,381,000","-18,701,000","-16,395,000","-11,632,000","-6,222,000","-1,604,000","-1,358,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-10,586,000","-21,072,000","-23,234,000","-26,925,000","-33,325,000","-35,752,000","-27,460,000","-27,543,000","-25,779,000","-28,906,000","-24,254,000","-23,390,000","-22,930,000","-30,381,000","-18,701,000","-16,395,000","-11,632,000","-6,222,000","-1,604,000","-1,358,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,000",Financials in USD,Fiscal year is January - December
Net Income,"-10,586,000","-21,072,000","-23,234,000","-26,925,000","-33,325,000","-35,752,000","-27,460,000","-27,543,000","-25,779,000","-28,906,000","-24,254,000","-23,390,000","-22,930,000","-30,381,000","-18,701,000","-16,395,000","-11,632,000","-6,222,000","-1,604,000","-1,361,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-8,976,000",-,-,-,"1,608,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,586,000","-21,072,000","-23,234,000","-26,925,000","-33,325,000","-35,752,000","-27,460,000","-27,543,000","-25,779,000","-28,906,000","-24,254,000","-23,390,000","-22,930,000","-30,381,000","-18,701,000","-7,419,000","-11,632,000","-6,222,000","-1,604,000","-2,969,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,335,847","48,214,893","48,087,460","47,988,495","47,834,122","47,706,426","47,578,418","43,447,479","37,516,769","37,420,327","37,322,360","36,990,306","33,909,460","33,678,893","33,633,619","33,663,619","80,860,651",-,-,"205,800,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,335,847","48,214,893","48,087,460","47,988,495","47,834,122","47,706,426","47,578,418","43,447,479","37,516,769","37,420,327","37,322,360","36,990,306","33,909,460","33,678,893","33,633,619","33,663,619","80,860,651",-,-,"205,800,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.049%,1.066%,1.070%,10.452%,27.501%,27.488%,27.480%,17.456%,10.638%,11.109%,10.967%,9.882%,-58.064%,-,-,-83.643%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.219,-0.437,-0.483,-0.561,-0.697,-0.749,-0.577,-0.634,-0.687,-0.772,-0.650,-0.632,-0.676,-0.902,-0.556,-0.220,-0.144,-,-,-0.014,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.219,-0.437,-0.483,-0.561,-0.697,-0.749,-0.577,-0.634,-0.687,-0.772,-0.650,-0.632,-0.676,-0.902,-0.556,-0.220,-0.144,-,-,-0.014,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,132,000","-19,193,000","-30,828,000","-29,930,000","-27,370,000","-24,109,000","-22,704,000","-24,378,000","-24,074,000","-17,090,000","-25,146,000","-21,038,000","-12,825,000","-13,780,000","-15,495,000","-14,401,000","-15,571,000","-3,118,000","-3,834,000","-2,269,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.106,-0.398,-0.641,-0.624,-0.572,-0.505,-0.477,-0.561,-0.642,-0.457,-0.674,-0.569,-0.378,-0.409,-0.461,-0.428,-0.193,-,-,-0.011,Financials in USD,Fiscal year is January - December
Gross Margin,-49.045%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-51.499%,Financials in USD,Fiscal year is January - December
Operating Margin,-102.455%,-,-,-,-,-,-,-,-,-,-,-,-,-12184.000%,-,-,-5343.333%,-2378.947%,-1246.067%,-35.967%,Financials in USD,Fiscal year is January - December
Profit Margin,-96.236%,-,-,-,-,-,-,-,-,-,-,-,-,-12152.400%,-,-,-7754.667%,-3274.737%,-1802.247%,-134.832%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-46.655%,-,-,-,-,-,-,-,-,-,-,-,-,-5512.000%,-,-,-10380.667%,-1641.053%,-4307.865%,-103.043%,Financials in USD,Fiscal year is January - December
EBITDA,"-11,042,000","-21,743,000","-24,217,000","-28,168,000","-34,750,000","-36,911,000","-28,637,000","-28,262,000","-25,879,000","-28,767,000","-24,033,000","-23,174,000","-23,315,000","-30,133,000","-18,488,000","-16,163,000","-7,730,000","-4,305,000","-893,000","-576,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-100.382%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-26.158%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"228,000","229,000","240,000","368,000","270,000","290,000","293,000","298,000","300,000","288,000","313,000","314,000","380,000","327,000","309,000","292,000","285,000","215,000","216,000","216,000",Financials in USD,Fiscal year is January - December
EBIT,"-11,270,000","-21,972,000","-24,457,000","-28,536,000","-35,020,000","-37,201,000","-28,930,000","-28,560,000","-26,179,000","-29,055,000","-24,346,000","-23,488,000","-23,695,000","-30,460,000","-18,797,000","-16,455,000","-8,015,000","-4,520,000","-1,109,000","-792,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-102.455%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-35.967%,Financials in USD,Fiscal year is January - December
