Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"1,956,000","1,995,000","2,184,000","3,091,000","1,514,000","1,151,000","1,217,000","1,186,000","523,000","50,000","-47,000","-81,000","-50,000","-62,000","-55,000","2,000","4,000","24,000","90,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-29,113,000","-25,486,000","-37,874,000","-29,686,000","-22,240,000","-20,646,000","-28,008,000","-28,790,000","-29,050,000","-24,855,000","-25,208,000","-21,869,000","-19,528,000","-4,514,000","-12,032,000","-8,864,000","-26,802,000","-8,392,000","-7,914,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-1,030,000",-,-,-,"-219,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-29,113,000","-25,486,000","-37,874,000","-30,716,000","-22,240,000","-20,646,000","-28,008,000","-29,009,000","-29,050,000","-24,855,000","-25,208,000","-21,869,000","-19,528,000","-4,514,000","-12,032,000","-8,864,000","-26,802,000","-8,392,000","-7,914,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"54,000","65,000","40,000","47,000","23,000","64,000",-,"51,000",-,"3,000",-,"177,000","62,000","-21,000","74,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-29,167,000","-25,551,000","-37,914,000","-30,763,000","-22,263,000","-20,710,000","-28,008,000","-29,060,000","-29,050,000","-24,858,000","-25,208,000","-22,046,000","-19,590,000","-4,493,000","-12,106,000","-8,864,000","-26,802,000","-8,392,000","-7,914,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-29,167,000","-25,551,000","-37,914,000","-30,763,000","-22,263,000","-20,710,000","-28,008,000","-29,060,000","-29,050,000","-24,858,000","-25,208,000","-22,046,000","-19,590,000","-4,493,000","-12,106,000","-8,864,000","-26,802,000","-8,392,000","-7,914,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"108,507,390","108,314,279","108,171,463","97,223,183","97,033,273","88,354,590","88,193,917","87,971,485","87,892,195","87,839,804","87,670,653","87,567,676","70,160,663","48,524,511","41,575,143","40,200,570","35,069,988","11,193,065","10,629,931",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"108,507,390","108,314,279","108,171,463","97,223,183","97,033,273","88,354,590","88,193,917","87,971,485","87,892,195","87,839,804","87,670,653","87,567,676","70,160,663","48,524,511","41,575,143","40,200,570","35,069,988","11,193,065","10,629,931",Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.825%,22.590%,22.652%,10.517%,10.400%,0.586%,0.597%,0.461%,25.273%,81.022%,110.873%,117.827%,100.059%,333.523%,291.114%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.269,-0.236,-0.350,-0.316,-0.229,-0.234,-0.318,-0.330,-0.331,-0.283,-0.288,-0.252,-0.279,-0.093,-0.291,-0.220,-0.764,-0.750,-0.745,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.269,-0.236,-0.350,-0.316,-0.229,-0.234,-0.318,-0.330,-0.331,-0.283,-0.288,-0.252,-0.279,-0.093,-0.291,-0.220,-0.764,-0.750,-0.745,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-33,505,000","-23,927,000","-38,052,000","-27,693,000","-31,151,000","-25,137,000","-35,527,000","-29,307,000","-22,890,000","-33,349,000","-31,226,000","-17,598,000","-22,268,000","-7,720,000","-13,778,000","-18,518,000","111,127,000","-11,485,000","-12,156,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.309,-0.221,-0.352,-0.285,-0.321,-0.285,-0.403,-0.333,-0.260,-0.380,-0.356,-0.201,-0.317,-0.159,-0.331,-0.461,3.169,-1.026,-1.144,Financials in USD,Fiscal year is January - December
Gross Margin,-186.577%,-94.486%,-,-,-152.972%,-96.404%,-,-,-,-,-,-278.481%,-223.014%,-5.101%,-134.889%,-64.767%,-,-119.767%,-129.718%,Financials in USD,Fiscal year is January - December
Operating Margin,-283.260%,-148.689%,-652.990%,-644.688%,-238.781%,-159.248%,-525.251%,-476.790%,-432.413%,-436.701%,-440.761%,-384.605%,-288.331%,-25.098%,-189.179%,-97.758%,-,-166.726%,-171.174%,Financials in USD,Fiscal year is January - December
Profit Margin,-251.288%,-128.558%,-585.906%,-566.433%,-207.445%,-141.869%,-485.744%,-453.283%,-419.798%,-430.740%,-437.791%,-385.689%,-288.640%,-24.751%,-189.571%,-96.959%,-,-165.719%,-167.990%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-288.662%,-120.387%,-588.039%,-509.906%,-290.263%,-172.195%,-616.146%,-457.136%,-330.780%,-577.872%,-542.306%,-307.873%,-328.098%,-42.527%,-215.753%,-202.560%,-,-226.797%,-258.034%,Financials in USD,Fiscal year is January - December
EBITDA,"-32,256,000","-28,920,000","-41,630,000","-34,396,000","-25,013,000","-22,643,000","-29,705,000","-29,997,000","-29,506,000","-24,890,000","-25,070,000","-21,728,000","-19,344,000","-4,344,000","-11,877,000","-8,746,000","-26,570,000","-8,266,000","-7,900,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-277.901%,-145.509%,-,-,-233.069%,-155.110%,-,-,-,-,-,-,-285.015%,-23.930%,-185.985%,-95.668%,-,-163.231%,-167.693%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"622,000","632,000","625,000","617,000","613,000","604,000","581,000","570,000","417,000","312,000","309,000","256,000","225,000","212,000","204,000","191,000","186,000","177,000","164,000",Financials in USD,Fiscal year is January - December
EBIT,"-32,878,000","-29,552,000","-42,255,000","-35,013,000","-25,626,000","-23,247,000","-30,286,000","-30,567,000","-29,923,000","-25,202,000","-25,379,000","-21,984,000","-19,569,000","-4,556,000","-12,081,000","-8,937,000","-26,756,000","-8,443,000","-8,064,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-283.260%,-148.689%,-,-,-238.781%,-159.248%,-,-,-,-,-,-,-288.331%,-25.098%,-189.179%,-97.758%,-,-166.726%,-171.174%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"11,607,000","19,875,000",-,"5,431,000","10,732,000","14,598,000",-,"6,411,000","6,920,000","5,771,000",-,"5,716,000","6,787,000","18,153,000",-,"9,142,000","-11,261,000","5,064,000",-,Financials in USD,Fiscal year is January - December
