Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),-,-,-,"-84,000",-,-,"-84,000","-550,000","-668,000","-144,000","-557,000",-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-12,702,000","-11,162,000","-18,978,000","-24,639,000","-21,403,000","-19,788,000","-24,533,000","-16,739,000","-18,327,000","-14,848,000","-11,312,000","-12,348,000","-10,245,000","-9,095,500","-9,095,500",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"3,400,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"84,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,702,000","-11,162,000","-18,978,000","-21,155,000","-21,403,000","-19,788,000","-24,533,000","-16,739,000","-18,327,000","-14,848,000","-11,312,000","-12,348,000","-10,245,000","-9,095,500","-9,095,500",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-197,000",-,"88,000","109,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-12,702,000","-11,162,000","-18,978,000","-20,958,000","-21,403,000","-19,876,000","-24,642,000","-16,739,000","-18,327,000","-14,848,000","-11,312,000","-12,348,000","-10,245,000","-9,095,500","-9,095,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,702,000","-11,162,000","-18,978,000","-20,958,000","-21,403,000","-19,876,000","-24,642,000","-16,739,000","-18,327,000","-14,848,000","-11,312,000","-12,348,000","-10,245,000","-9,095,500","-9,095,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"41,588,035","41,543,553","40,938,464","40,391,608","40,285,858","40,258,107","12,783,523","2,199,961","2,189,265","2,061,643","2,059,986","1,084,082","1,084,082","1,084,082","1,084,082",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"41,588,035","41,543,553","40,938,464","40,391,608","40,285,858","40,258,107","12,783,523","2,199,961","2,189,265","2,061,643","2,059,986","1,084,082","1,084,082","1,084,082","1,084,082",Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.232%,3.193%,220.244%,1736.015%,1740.154%,1852.720%,520.564%,102.933%,101.946%,90.174%,90.021%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.305,-0.269,-0.464,-0.519,-0.531,-0.494,-1.928,-7.609,-8.371,-7.202,-5.491,-11.390,-9.450,-8.390,-8.390,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.305,-0.269,-0.464,-0.519,-0.531,-0.494,-1.928,-7.609,-8.371,-7.202,-5.491,-11.390,-9.450,-8.390,-8.390,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,020,000","-16,226,000","-22,442,000","-16,658,000","-21,188,000","-18,794,000","-25,669,000","-17,419,000","-10,624,000","-15,330,000","33,597,000","-9,466,000","-10,169,000","-9,782,000","-9,782,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.313,-0.391,-0.548,-0.412,-0.526,-0.467,-2.008,-7.918,-4.853,-7.436,16.309,-8.732,-9.380,-9.023,-9.023,Financials in USD,Fiscal year is January - December
Gross Margin,-234.594%,-66.435%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-388.301%,-126.889%,-574.330%,-602.705%,-583.852%,-588.904%,-708.356%,-410.667%,-649.767%,-515.464%,-1235.523%,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-375.244%,-121.366%,-558.669%,-488.645%,-559.263%,-558.315%,-759.852%,-448.646%,-710.900%,-549.316%,-1376.156%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-384.638%,-176.427%,-660.642%,-388.389%,-553.645%,-527.921%,-791.520%,-466.872%,-412.102%,-567.148%,4087.226%,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-12,407,000","-11,415,000","-17,817,000","-25,128,000","-21,649,000","-20,250,000","-22,267,000","-14,617,000","-16,026,000","-13,688,000","-9,938,000","-12,138,000","-10,068,000","-8,953,000","-8,953,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-124.117%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"737,000","255,000","1,693,000","722,000","695,000","715,000","705,000","705,000","725,000","245,000","218,000","207,000","183,000","146,000","146,000",Financials in USD,Fiscal year is January - December
EBIT,"-13,144,000","-11,670,000","-19,510,000","-25,850,000","-22,344,000","-20,965,000","-22,972,000","-15,322,000","-16,751,000","-13,933,000","-10,156,000","-12,345,000","-10,251,000","-9,099,000","-9,099,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-126.889%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
