Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Interest & Investment Income,"69,773,000","72,127,000","83,458,000","31,953,000","14,299,000","16,715,000",-,"10,249,000","5,670,000","1,981,000","170,000","66,000","62,000","71,000","59,000","159,000","579,000",-,"9,524,000",Financials in USD,Fiscal year is April - March
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,750,000","-6,011,000",Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-818,000","-4,758,000","-33,061,000","25,412,000","-13,319,000","-43,005,000",-,"-44,265,000","-5,950,000","-42,298,000","3,753,000","2,464,000","-15,347,000","64,463,000","-10,058,000","2,062,000","-9,362,000","-23,717,000","10,999,000",Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-185,158,000","-136,553,000","-222,778,000","-239,606,000","-198,961,000","-223,488,000",-,"-322,790,000","-289,381,000","-325,238,000","-239,938,000","-228,889,000","-206,205,000","-92,255,000","44,626,000","-257,586,000","-165,932,000","-134,420,000","-69,155,000",Financials in USD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,"48,375,000","15,226,000","15,907,000","-10,467,000","-45,849,000","-7,564,000",-,"25,948,000","-54,678,000","-24,547,000","-72,909,000","-38,036,000","476,027,000","-8,619,000","-11,677,000","-18,235,000","113,145,000","41,148,000","-111,089,000",Financials in USD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,-,"110,387,000","15,418,000","5,348,410,000","17,354,000",-,-,"12,514,000","16,762,000",-,"5,041,000",-,-,-,-,-,-,"86,516,000","107,344,000",Financials in USD,Fiscal year is April - March
Other Unusual Items,"-87,600,000","-8,700,000",-,-,-,-,-,-,"13,541,000",-,"17,847,000","-23,017,000","-372,900,000",-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Pretax Income,"-224,383,000","-19,640,000","-191,453,000","5,098,337,000","-241,406,000","-243,552,000",-,"-382,077,000","-313,756,000","-349,785,000","-291,476,000","-306,047,000","-225,239,000","-100,985,000","-563,183,000","-275,821,000","-52,787,000","-6,756,000","-72,900,000",Financials in USD,Fiscal year is April - March
Income Tax Expense,"12,458,000","11,963,000","-8,957,000","25,672,000","3,236,000","1,675,000",-,"2,819,000","2,165,000","3,999,000","-163,000","38,000","401,000","93,000","-22,000","-224,000","711,000","1,221,000","2,839,000",Financials in USD,Fiscal year is April - March
Earnings From Continuing Operations,"-236,841,000","-31,603,000","-182,496,000","5,072,665,000","-244,642,000","-245,227,000",-,"-384,896,000","-315,921,000","-353,784,000","-291,313,000","-306,085,000","-225,640,000","-101,078,000","-563,161,000","-275,597,000","-53,498,000","-7,977,000","-75,739,000",Financials in USD,Fiscal year is April - March
Earnings From Discontinued Operations,"-43,083,000","89,093,000",-,-,"-86,476,000","-82,618,000",-,-,-,-,-,-,-,-,-,-,-,-,"341,000",Financials in USD,Fiscal year is April - March
Net Income to Company,"-279,924,000","57,490,000","-182,496,000","5,072,665,000","-331,118,000","-327,845,000",-,"-384,896,000","-315,921,000","-353,784,000","-291,313,000","-306,085,000","-225,640,000","-101,078,000","-563,161,000","-275,597,000","-53,498,000","-7,977,000","-75,398,000",Financials in USD,Fiscal year is April - March
Minority Interest in Earnings,"49,740,000","37,807,000","31,381,000","23,519,000","26,791,000","36,029,000",-,"32,882,000","24,331,000","21,975,000","21,251,000","21,549,000","17,159,000","18,895,000","53,597,000","14,568,000","18,100,000","4,734,000","15,722,000",Financials in USD,Fiscal year is April - March
Net Income,"-230,184,000","95,297,000","-151,115,000","5,096,184,000","-304,327,000","-291,816,000",-,"-352,014,000","-291,590,000","-331,809,000","-270,062,000","-284,536,000","-208,481,000","-82,183,000","-509,564,000","-261,029,000","-35,398,000","-3,243,000","-59,676,000",Financials in USD,Fiscal year is April - March
Net Income to Common,"-230,184,000","95,297,000","-151,115,000","5,096,184,000","-304,327,000","-291,816,000",-,"-352,014,000","-291,590,000","-331,809,000","-270,062,000","-284,536,000","-208,481,000","-82,183,000","-509,564,000","-261,029,000","-35,398,000","-3,243,000","-59,676,000",Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"735,470,796","735,814,646","802,859,062","800,587,716","770,227,849","759,333,411",-,"713,319,399","699,888,061","695,878,859","692,623,282","686,589,478","650,225,764","649,856,203","632,956,702","629,668,846","628,779,048","214,879,058","235,887,645",Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"735,470,796","735,814,646","802,859,062","844,461,685","770,227,849","759,333,411",-,"713,319,399","699,888,061","695,878,859","692,623,282","686,589,478","650,225,764","649,856,203","632,956,702","629,668,846","628,779,048","214,879,058","235,887,645",Financials in USD,Fiscal year is April - March
Shares Change (YoY),-4.513%,-3.097%,-,18.385%,10.050%,9.119%,-,3.893%,7.638%,7.082%,9.427%,9.040%,3.411%,202.429%,168.330%,-,-,-,-,Financials in USD,Fiscal year is April - March
EPS (Basic),-0.313,0.130,-0.188,6.366,-0.395,-0.384,-,-0.493,-0.417,-0.477,-0.390,-0.414,-0.321,-0.126,-0.805,-0.415,-0.056,-0.015,-0.253,Financials in USD,Fiscal year is April - March
EPS (Diluted),-0.313,0.121,-0.192,6.030,-0.395,-0.389,-,-0.493,-0.417,-0.480,-0.390,-0.414,-0.321,-0.126,-0.805,-0.415,-0.056,-0.015,-0.253,Financials in USD,Fiscal year is April - March
Free Cash Flow,-,"-193,794,000","-108,806,000","-210,807,000",-,"-250,335,000",-,"-223,101,000","-192,731,000","-259,541,000","-153,732,000","-274,567,000","-123,357,000","-143,509,000","-110,157,000","-236,966,000","-99,348,000","-111,473,000","-87,042,000",Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-,-0.263,-0.136,-0.250,-,-0.330,-,-0.313,-0.275,-0.373,-0.222,-0.400,-0.190,-0.221,-0.174,-0.376,-0.158,-0.519,-0.369,Financials in USD,Fiscal year is April - March
Gross Margin,-,-,-,-242.986%,-,-,-,-,-,-,-,-,-,-,900.872%,-,-,-,-,Financials in USD,Fiscal year is April - March
Operating Margin,-5678.503%,-2552.215%,-919.461%,-774.171%,-5480.839%,-4398.795%,-,-1643.960%,-2240.214%,-6536.444%,-2628.060%,-944.571%,-1353.886%,-1994.518%,365.100%,-4505.565%,-11832.275%,-7262.246%,-131.064%,Financials in USD,Fiscal year is April - March
Profit Margin,-5143.777%,1192.703%,-522.347%,13721.551%,-8342.297%,-6509.391%,-,-2064.356%,-2326.578%,-7682.542%,-2928.136%,-1168.958%,-1490.534%,-1062.482%,-3364.347%,-4539.635%,-2675.586%,-205.774%,-94.804%,Financials in USD,Fiscal year is April - March
Free Cash Flow Margin,-,-2425.457%,-376.101%,-567.601%,-,-5584.095%,-,-1308.357%,-1537.788%,-6009.285%,-1666.833%,-1128.002%,-881.940%,-1855.320%,-727.301%,-4121.148%,-7509.297%,-7073.160%,-138.278%,Financials in USD,Fiscal year is April - March
EBITDA,"-252,131,000","-199,039,000","-260,775,000","-282,142,000","-194,354,000","-191,359,000",-,"-275,177,000","-275,691,000","-279,631,000","-240,680,000","-228,548,000","-187,940,000",-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
D&A For EBITDA,"1,982,000","4,883,000","5,225,000","5,385,000","5,587,000","5,839,000","5,953,000","5,151,000","5,075,000","2,678,000","1,706,000","1,370,000","1,428,000",-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
EBIT,"-254,113,000","-203,922,000","-266,000,000","-287,527,000","-199,941,000","-197,198,000",-,"-280,328,000","-280,766,000","-282,309,000","-242,386,000","-229,918,000","-189,368,000","-154,276,000","55,298,000","-259,070,000","-156,541,000","-114,453,000","-82,501,000",Financials in USD,Fiscal year is April - March
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,365.100%,-,-,-,-131.064%,Financials in USD,Fiscal year is April - March
Effective Tax Rate,-,-,-,0.503%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Revenue as Reported,-,-,"28,930,000","37,140,000",-,-,-,"17,052,000","12,533,000","4,319,000","55,286,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
