Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
Net Income to Common,"-19,258,000","-21,227,000","-19,940,000","-22,174,000","-20,495,000","-20,174,000","-19,795,000","-18,456,000","-17,500,000","-17,015,000","-15,334,000","-12,985,000","-10,740,000","-11,367,000","-8,191,000","-4,236,000","-24,310,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"40,577,955","40,564,580","39,864,111","38,832,292","38,809,109","38,657,205","38,546,012","38,479,196","33,303,345","28,150,051","26,660,246","1,567,303","1,539,769","1,518,999","1,499,843","1,480,687","1,230,388",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"40,577,955","40,564,580","39,864,111","38,832,292","38,809,109","38,657,205","38,546,012","38,479,196","33,303,345","28,150,051","26,660,246","1,567,303","1,539,769","1,518,999","1,499,843","1,480,687","1,230,388",Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.558%,4.934%,3.420%,0.918%,16.532%,37.326%,44.582%,2355.122%,2062.879%,1753.197%,1677.536%,5.850%,25.145%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.475,-0.523,-0.500,-0.571,-0.528,-0.522,-0.514,-0.480,-0.525,-0.604,-0.575,-8.285,-6.975,-7.483,-5.461,-2.861,-19.758,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.475,-0.523,-0.500,-0.571,-0.528,-0.522,-0.514,-0.480,-0.525,-0.604,-0.575,-8.285,-6.975,-7.483,-5.461,-2.861,-19.758,Financials in USD,Fiscal year is January - December
Free Cash Flow,"4,301,000","-15,507,000","-21,881,000","-15,523,000","-17,361,000","-15,475,000","-22,678,000","-17,359,000","-16,341,000","-14,084,000","-18,286,000","-17,374,000","-11,180,000","-6,234,000","-4,763,000",-,"-1,282,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.106,-0.382,-0.549,-0.400,-0.447,-0.400,-0.588,-0.451,-0.491,-0.500,-0.686,-11.085,-7.261,-4.104,-3.176,-,-1.042,Financials in USD,Fiscal year is January - December
EBITDA,"-20,562,000","-22,365,000","-21,302,000","-23,744,000","-22,211,000","-21,802,000","-20,710,000","-18,852,000","-17,616,000","-17,024,000","-15,314,000","-12,962,000","-10,726,000","-10,775,500",-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"114,000","113,000","113,000","113,000","110,000","111,000","65,000","21,000","21,000","18,000","18,000","15,000","12,000",500,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-20,676,000","-22,478,000","-21,415,000","-23,857,000","-22,321,000","-21,913,000","-20,775,000","-18,873,000","-17,637,000","-17,042,000","-15,332,000","-12,977,000","-10,738,000","-10,776,000","-7,918,000","-4,059,000","-2,232,000",Financials in USD,Fiscal year is January - December
