Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Gain (Loss) on Sale of Investments,-,-,"1,000","-13,000",-,-,"144,000","-526,000",-,-,"-145,000","-48,000",-,-,"-15,000","397,000",-,-,"11,000","96,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,914,000","-1,119,000","-1,275,000","-2,016,000","-1,473,000","-1,593,000","-1,830,000","-2,639,000","-5,350,000","-3,734,000","-6,143,000","-7,452,000","-7,714,000","-8,396,000","-8,905,000","-10,277,000","-6,905,000","-5,526,000","-6,063,000","-8,286,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,914,000","-1,119,000","-1,275,000","-2,016,000","-1,473,000","-1,593,000","-1,830,000","-2,639,000","-5,350,000","-3,734,000","-6,143,000","-7,452,000","-7,714,000","-8,396,000","-8,905,000","-10,277,000","-6,905,000","-5,526,000","-6,063,000","-8,286,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,914,000","-1,119,000","-1,275,000","-2,016,000","-1,473,000","-1,593,000","-1,830,000","-2,639,000","-5,350,000","-3,734,000","-6,143,000","-7,452,000","-7,714,000","-8,396,000","-8,905,000","-10,277,000","-6,905,000","-5,526,000","-6,063,000","-8,286,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"829,500","524,562","455,055","119,213","267,989","140,019","141,028","140,024","139,942","139,380","139,380","139,411","139,355","139,355","129,856","119,721","118,160","117,518","117,505","117,383",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"829,500","524,562","455,055","119,213","267,989","140,019","141,028","140,024","139,942","139,380","139,380","139,411","139,355","139,355","129,856","119,721","118,160","117,518","117,505","117,383",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),209.528%,274.636%,222.670%,-14.862%,91.500%,0.458%,1.182%,0.440%,0.421%,0.018%,7.334%,16.447%,17.938%,18.582%,10.511%,1.992%,0.689%,0.157%,0.316%,0.388%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.307,-2.133,-2.802,-16.911,-5.496,-11.377,-12.976,-18.847,-38.230,-26.790,-44.074,-53.453,-55.355,-60.249,-68.576,-85.841,-58.438,-47.023,-51.598,-70.589,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.307,-2.133,-2.802,-17.010,-5.496,-11.377,-12.976,-18.847,-38.230,-26.790,-44.074,-53.453,-55.355,-60.249,-68.576,-85.841,-58.438,-47.023,-51.598,-70.759,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,064,000","-1,017,000","-1,830,000","-898,000","-2,177,000","-1,367,000","-1,695,000","-4,025,000","-3,114,000","-5,914,000","-5,452,000","-6,991,000","-8,987,000","-7,638,000","-9,287,000","-7,849,000","-5,635,000","-6,259,000","-6,588,000","-4,069,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.283,-1.939,-4.021,-7.533,-8.123,-9.763,-12.019,-28.745,-22.252,-42.431,-39.116,-50.147,-64.490,-54.810,-71.518,-65.561,-47.690,-53.260,-56.066,-34.664,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-2,011,000","-1,148,000","-1,392,000","-2,145,000","-1,460,000","-1,862,000","-1,994,000","-2,440,000","-5,372,000","-3,721,000","-6,083,000","-7,482,000","-7,834,000","-8,402,000","-9,121,000","-10,331,000","-7,581,000","-5,807,000","-6,452,000","-8,620,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,"74,000","9,000","6,000","8,000","9,000","8,000","9,000","8,000","9,000","9,000","10,000","11,000","10,000","11,000","11,000","9,000","9,000","10,000","8,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,011,000","-1,222,000","-1,401,000","-2,151,000","-1,468,000","-1,871,000","-2,002,000","-2,449,000","-5,380,000","-3,730,000","-6,092,000","-7,492,000","-7,845,000","-8,412,000","-9,132,000","-10,342,000","-7,590,000","-5,816,000","-6,462,000","-8,628,000",Upgrade,Financials in USD,Fiscal year is January - December
