Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
EPS (Basic),-0.298,-0.296,-0.365,-0.367,-0.403,-0.539,-0.499,-0.644,-0.539,-0.542,-0.422,-0.436,-0.574,-3.358,-3.000,-2.644,-1.971,-1.578,-1.406,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.298,-0.300,-0.365,-0.367,-0.403,-0.540,-0.499,-0.644,-0.539,-0.542,-0.422,-0.436,-0.574,-3.358,-3.000,-2.644,-1.971,-1.578,-1.406,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-14,031,000","-13,068,000","-12,340,000","-18,201,000","-23,761,000","-24,306,000","-28,111,000","-24,529,000","-25,163,000","-26,701,000","-23,502,000","-16,156,000","-16,849,000","-15,474,000","-10,597,000","-8,823,000","-7,687,000","-5,631,000","-5,800,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.254,-0.237,-0.224,-0.330,-0.431,-0.441,-0.555,-0.512,-0.526,-0.558,-0.492,-0.338,-0.522,-3.372,-2.357,-2.464,-1.839,-1.405,-1.506,Financials in USD,Fiscal year is January - December
Gross Margin,-256.317%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-628.637%,-776.945%,-866.568%,-2092.922%,-2756.077%,-4063.241%,-5003.488%,-4213.197%,-4367.227%,-5431.513%,-7447.388%,-14350.000%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-629.556%,-764.058%,-852.924%,-2043.883%,-2677.256%,-3911.331%,-4899.031%,-4194.014%,-4335.966%,-5443.697%,-7523.881%,-14481.944%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-537.175%,-612.371%,-522.881%,-1840.344%,-2859.326%,-3202.372%,-5447.868%,-3337.279%,-4229.076%,-5609.454%,-8769.403%,-11219.444%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-15,985,000","-16,138,000","-20,008,000","-20,277,000","-22,462,000","-30,506,000","-25,447,000","-30,583,000","-25,591,000","-25,444,000","-19,583,000","-20,280,000","-16,857,000","-14,868,000","-12,640,000","-8,811,000","-7,771,000","-5,905,000","-5,012,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"435,000","442,000","443,000","422,000","441,000","334,000","371,000","384,000","394,000","410,000","376,000","384,000","364,000","337,000","302,000","431,000","274,000","225,000","216,000",Financials in USD,Fiscal year is January - December
EBIT,"-16,420,000","-16,580,000","-20,451,000","-20,699,000","-22,903,000","-30,840,000","-25,818,000","-30,967,000","-25,985,000","-25,854,000","-19,959,000","-20,664,000","-17,221,000","-15,205,000","-12,942,000","-9,242,000","-8,045,000","-6,130,000","-5,228,000",Financials in USD,Fiscal year is January - December
