Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+14 Quarters,Currency,Fiscal_Year_period
Net Income to Common,"-1,415,214","-974,411","-851,529","-2,662,418","-2,906,033","-3,527,766","-3,305,528","-5,425,574","-3,109,991","-3,037,074","-3,869,398","-2,572,865","-3,599,929","-2,319,867","-1,256,833","-1,118,884","-1,354,097","-1,316,752","-1,256,790","-1,270,598",Upgrade,Financials in USD,Fiscal year is May - April
Shares Outstanding (Basic),"3,531,702","777,821","688,181","705,432","656,378","656,267","645,194","655,508","649,923","649,879","586,184","627,768","623,057","563,924","492,077","481,753","481,753","481,753","479,359","475,223",Upgrade,Financials in USD,Fiscal year is May - April
Shares Outstanding (Diluted),"3,531,702","777,821","688,181","705,432","656,378","656,267","645,194","655,508","649,923","649,879","586,184","627,768","623,057","563,924","492,077","481,753","481,753","481,753","479,359","475,223",Upgrade,Financials in USD,Fiscal year is May - April
Shares Change (YoY),438.059%,18.522%,6.663%,7.616%,0.993%,0.983%,10.067%,4.419%,4.312%,15.242%,19.124%,30.309%,29.331%,17.057%,2.653%,1.374%,1.903%,1.903%,7.757%,6.827%,Upgrade,Financials in USD,Fiscal year is May - April
EPS (Basic),-0.401,-1.253,-1.237,-3.774,-4.427,-5.376,-5.123,-8.277,-4.785,-4.673,-6.601,-4.098,-5.778,-4.114,-2.554,-2.323,-2.811,-2.733,-2.622,-2.674,Upgrade,Financials in USD,Fiscal year is May - April
EPS (Diluted),-0.401,-1.253,-1.237,-3.774,-4.427,-5.376,-5.123,-8.277,-4.785,-4.673,-6.601,-4.098,-5.778,-4.114,-2.554,-2.323,-2.811,-2.733,-2.622,-2.674,Upgrade,Financials in USD,Fiscal year is May - April
Free Cash Flow,"-3,400,101","-1,145,742","-1,426,707","-2,031,662","-1,513,424","-3,445,443","-2,235,182","-1,806,971","-2,344,309","-2,536,690","-1,668,811","-1,782,803","-2,046,170","-1,222,664","-1,257,873","-806,131","-442,927","-205,096","-197,353","-366,675",Upgrade,Financials in USD,Fiscal year is May - April
Free Cash Flow Per Share,-0.963,-1.473,-2.073,-2.880,-2.306,-5.250,-3.464,-2.757,-3.607,-3.903,-2.847,-2.840,-3.284,-2.168,-2.556,-1.673,-0.919,-0.426,-0.412,-0.772,Upgrade,Financials in USD,Fiscal year is May - April
EBITDA,"-1,345,383","-949,720","-837,379","-2,647,245","-2,889,037","-3,513,246","-3,299,686","-5,418,189","-3,101,080","-3,028,445","-3,871,909",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is May - April
D&A For EBITDA,"12,685","12,685","12,685","12,685","12,685","12,685","5,323","5,323","5,323","7,097",887,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is May - April
EBIT,"-1,358,068","-962,405","-850,064","-2,659,930","-2,901,722","-3,525,931","-3,305,009","-5,423,512","-3,106,403","-3,035,542","-3,872,796","-2,556,566","-3,583,934","-2,306,239","-1,219,976","-1,115,659","-1,297,946","-1,318,307","-1,259,279","-1,273,141",Upgrade,Financials in USD,Fiscal year is May - April
