Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Interest Expense,"-758,000","-563,000","-548,000","-24,000","-268,000","-756,000","-650,000","-617,000","-559,000","-454,000","-389,000","-4,098,000","-1,373,000","-1,342,000","-221,000","-206,000","-187,000","-155,000","-152,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"188,000","161,000","217,000","113,000","8,000","79,000","122,000","50,000","3,000","4,000","3,000","2,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-51,000","-32,000","-21,000","-2,000","-101,000","-33,000","-47,000","-67,000","-22,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,"-263,000","-2,000","-182,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,515,000","-3,361,000","-10,442,000","-2,017,000","16,884,000","-5,220,000","-10,136,000","-10,629,000","-10,070,000","-7,392,000","-1,274,000","-11,116,000","-1,481,000","-14,087,000","364,000","3,420,000","52,000","1,384,000","1,840,500",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,"-200,000",-,"-2,300,000","-3,000,000","-1,200,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-3,143,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,125,000",-,-,-,-,-,-,-,-,-,-,-,"-9,540,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,390,000","-3,361,000","-10,442,000","-2,017,000","16,884,000","-8,363,000","-10,136,000","-10,629,000","-10,070,000","-7,592,000","-1,274,000","-13,416,000","-14,021,000","-15,287,000","364,000","3,420,000","52,000","1,384,000","1,840,500",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"126,000","95,000",-,-,"13,000","10,000","-64,000","104,000","8,335,000","-3,375,000","-3,422,000","96,000","918,000","23,000","929,000","464,500",Financials in USD,Fiscal year is January - December
Net Income,"-2,390,000","-3,361,000","-10,442,000","-2,143,000","16,789,000","-8,363,000","-10,136,000","-10,642,000","-10,080,000","-7,528,000","-1,378,000","-21,751,000","-10,646,000","-11,865,000","268,000","2,502,000","29,000","455,000","1,376,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,390,000","-3,361,000","-10,442,000","-2,143,000","16,789,000","-8,363,000","-10,136,000","-10,642,000","-10,080,000","-7,528,000","-1,378,000","-21,751,000","-10,646,000","-11,865,000","268,000","2,502,000","29,000","455,000","1,376,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-80.523%,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"20,537,794","19,993,858","19,757,449","18,694,377","18,416,368","18,005,055","17,807,194","17,729,238","17,618,064","17,455,894","17,318,344","13,244,773","9,161,333","9,161,333","9,158,333","9,143,941","9,133,333","9,133,333","9,133,333",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"20,537,794","19,993,858","19,757,449","18,694,377","21,034,758","18,005,055","17,807,194","17,729,238","17,618,064","17,455,894","17,318,344","13,244,773","9,161,333","9,161,333","10,897,096","10,891,454","10,800,475","10,832,990","10,826,279",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-2.363%,11.046%,10.952%,5.444%,19.393%,3.146%,2.823%,33.858%,92.309%,90.539%,58.926%,21.607%,-15.177%,-15.431%,0.654%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.116,-0.168,-0.529,-0.115,0.912,-0.464,-0.569,-0.600,-0.572,-0.431,-0.080,-1.642,-1.162,-1.295,0.029,0.274,0.003,0.050,0.151,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.120,-0.168,-0.529,-0.119,0.800,-0.464,-0.569,-0.600,-0.572,-0.431,-0.080,-1.644,-1.162,-1.300,0.020,0.229,0.003,0.040,0.125,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-84.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,157,000","-5,176,000","-5,019,000","-16,520,000","18,747,000","3,969,000","-956,000","-3,836,000","-7,282,000","-3,300,000","884,000","-3,206,000","7,102,000","-7,438,000","1,361,000","5,054,000","-1,071,000","574,500","574,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.056,-0.259,-0.254,-0.884,0.891,0.220,-0.054,-0.216,-0.413,-0.189,0.051,-0.242,0.775,-0.812,0.125,0.464,-0.099,0.053,0.053,Financials in USD,Fiscal year is January - December
Gross Margin,63.873%,55.968%,47.690%,60.575%,81.386%,54.769%,47.196%,51.660%,55.193%,59.362%,64.788%,58.754%,58.353%,58.896%,63.541%,68.804%,64.232%,66.819%,67.539%,Financials in USD,Fiscal year is January - December
Operating Margin,-19.783%,-19.704%,-77.437%,-13.790%,49.929%,-26.264%,-78.285%,-62.602%,-58.898%,-37.953%,-3.812%,-38.574%,-0.541%,-82.176%,5.458%,26.423%,2.530%,16.346%,18.660%,Financials in USD,Fiscal year is January - December
Profit Margin,-16.337%,-22.625%,-80.138%,-14.046%,48.609%,-48.701%,-82.994%,-66.654%,-62.547%,-41.157%,-5.915%,-124.171%,-54.289%,-77.610%,2.500%,18.232%,0.307%,4.833%,12.883%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-7.909%,-34.843%,-38.519%,-108.278%,54.278%,23.113%,-7.828%,-24.026%,-45.185%,-18.042%,3.795%,-18.302%,36.216%,-48.653%,12.697%,36.829%,-11.337%,6.102%,5.379%,Financials in USD,Fiscal year is January - December
EBITDA,"-2,080,000","-2,112,000","-9,276,000","-1,289,000","18,059,000","-3,441,000","-8,492,000","-8,768,000","-8,476,000","-5,925,000","129,000","-6,266,000","552,000","-11,822,000","1,169,000","3,982,000","595,000","1,895,500","2,349,500",Financials in USD,Fiscal year is January - December
EBITDA Margin,-14.218%,-14.217%,-71.189%,-8.448%,52.286%,-20.038%,-69.532%,-54.917%,-52.594%,-32.393%,0.554%,-35.771%,2.815%,-77.329%,10.906%,29.017%,6.298%,20.133%,21.998%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"814,000","815,000","814,000","815,000","814,000","1,069,000","1,069,000","1,227,000","1,016,000","1,017,000","1,017,000","491,000","658,000","741,000","584,000","356,000","356,000","356,500","356,500",Financials in USD,Fiscal year is January - December
EBIT,"-2,894,000","-2,927,000","-10,090,000","-2,104,000","17,245,000","-4,510,000","-9,561,000","-9,995,000","-9,492,000","-6,942,000","-888,000","-6,757,000","-106,000","-12,563,000","585,000","3,626,000","239,000","1,539,000","1,993,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-19.783%,-19.704%,-77.437%,-13.790%,49.929%,-26.264%,-78.285%,-62.602%,-58.898%,-37.953%,-3.812%,-38.574%,-0.540%,-82.175%,5.457%,26.423%,2.530%,16.346%,18.660%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,0.563%,-,-,-,-,-,-,-,-,-,26.374%,26.842%,44.231%,67.124%,25.238%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"14,629,000","14,855,000","13,030,000","15,257,000","34,539,000","17,172,000","12,213,000","15,966,000","16,116,000","18,291,000","23,296,000","17,517,000","19,610,000","15,288,000","10,719,000",-,-,-,-,Financials in USD,Fiscal year is January - December
