Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q2 2019,Currency,Fiscal_Year_period
Shares Outstanding (Basic),"13,353,000","12,278,000","8,916,000","9,114,000","6,940,000","6,726,000","6,640,000","4,177,000","3,831,000","3,836,000","3,480,200","2,618,000","2,209,950","2,028,050","1,980,200","1,527,250","1,527,250","1,423,878","1,352,110","38,462",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,353,000","12,278,000","8,916,000","9,114,000","7,637,000","6,726,000","6,640,000","4,177,000","3,831,000","3,836,000","3,480,200","2,618,000","2,209,950","2,028,050","1,980,200","1,527,250","1,527,250","1,423,878","1,352,110","38,462",Financials in USD,Fiscal year is January - December
Shares Change (YoY),74.846%,82.545%,34.277%,118.195%,99.347%,75.339%,90.794%,59.549%,73.352%,89.147%,75.750%,71.419%,44.701%,42.431%,46.453%,3870.802%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.283,-0.214,-0.378,-1.109,0.178,-6.585,-0.584,-3.073,-1.927,-6.421,-2.174,-4.791,-1.633,-1.257,-1.287,-3.803,-3.803,-1.194,-0.945,-49.392,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.283,-0.214,-0.380,-1.109,0.160,-6.585,-0.588,-3.073,-1.930,-6.421,-2.174,-4.791,-1.633,-1.257,-1.287,-3.803,-3.803,-1.194,-0.945,-49.392,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,101,000","-291,000","-1,428,000","-1,093,000","441,000",-,"-4,426,000","-1,308,000","-4,210,000",-,"-6,748,000","-4,165,000","-13,603,000","-3,577,000","-3,577,000","-3,217,500","-3,217,500","-1,110,059","-1,110,059",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.157,-0.024,-0.160,-0.120,0.058,-,-0.667,-0.313,-1.099,-,-1.939,-1.591,-6.155,-1.764,-1.806,-2.107,-2.107,-0.780,-0.821,-,Financials in USD,Fiscal year is January - December
Gross Margin,22.776%,20.194%,21.374%,19.416%,28.538%,18.453%,27.672%,28.635%,48.243%,37.113%,53.983%,16.649%,29.575%,47.781%,47.781%,66.981%,66.981%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-26.306%,-19.824%,-8.802%,-15.672%,-3.118%,-23.858%,-12.268%,-37.934%,-45.060%,-65.616%,-154.913%,-213.630%,-172.575%,-243.248%,-243.248%,-9392.453%,-9392.453%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-30.269%,-16.770%,-18.712%,-56.228%,7.143%,-206.384%,-20.063%,-121.678%,-76.038%,-275.422%,-152.972%,-263.032%,-172.384%,-240.652%,-240.652%,-10957.547%,-10957.547%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-16.855%,-1.856%,-7.920%,-6.081%,2.547%,-,-22.910%,-12.398%,-43.371%,-,-136.433%,-87.335%,-649.928%,-337.771%,-337.771%,-6070.755%,-6070.755%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-3,053,000","-2,852,000","-1,513,000","-2,377,000","-234,000","-4,324,000","-1,428,000","-2,954,000","-3,843,000","-5,272,000","-7,208,000","-9,873,000","-3,545,000","-2,516,500","-2,516,500","-4,971,000","-4,971,000","-1,788,514","-1,202,047",-,Financials in USD,Fiscal year is January - December
EBITDA Margin,-24.492%,-18.185%,-8.391%,-13.224%,-1.351%,-20.149%,-7.392%,-28.000%,-39.590%,-58.951%,-145.734%,-207.024%,-169.374%,-237.630%,-237.630%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"226,000","257,000","74,000","440,000","306,000","796,000","942,000","1,048,000","531,000","596,000","454,000","315,000","67,000","59,500","59,500","7,000","7,000","17,735","17,735",-,Financials in USD,Fiscal year is January - December
EBIT,"-3,279,000","-3,109,000","-1,587,000","-2,817,000","-540,000","-5,120,000","-2,370,000","-4,002,000","-4,374,000","-5,868,000","-7,662,000","-10,188,000","-3,612,000","-2,576,000","-2,576,000","-4,978,000","-4,978,000","-1,806,249","-1,219,782","-1,899,714",Financials in USD,Fiscal year is January - December
EBIT Margin,-26.306%,-19.824%,-8.802%,-15.672%,-3.118%,-23.858%,-12.268%,-37.934%,-45.060%,-65.615%,-154.913%,-213.630%,-172.575%,-243.248%,-243.248%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Advertising Expenses,"1,206,000","1,125,000","1,104,000",-,"1,142,000","1,263,000","1,308,000",-,"2,145,000","2,039,000","2,549,000",-,"34,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
