Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Income Tax Expense,-,"9,707",-,"-596,068",-485,"-7,812,226","-1,047,051","-745,050",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-2,401,256","-2,763,743","-2,826,737","-13,338,500","-2,902,403","-78,513,093","-3,543,950","-4,677,300","-3,692,618","-2,004,212","-3,748,495","-1,969,113","-1,879,906","-2,095,032","-2,140,110",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"32,373","7,915,836",-,"-10,015,837","9,684,637","331,200",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,401,256","-2,763,743","-2,826,737","-13,338,500","-2,934,776","-86,428,929","-3,543,950","5,338,537","-13,377,255","-2,335,412","-3,748,495","-1,969,113","-1,879,906","-2,095,032","-2,140,110",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"988,378","834,915","623,600","223,689","97,252","51,017","26,081","91,537,585","69,049","69,049","69,049","9,459,757","69,049","69,049","69,049",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"988,378","834,915","623,600","223,689","97,252","51,017","26,081","91,537,585","69,049","69,049","69,049","9,459,757","69,049","69,049","69,049",Financials in USD,Fiscal year is January - December
Shares Change (YoY),916.306%,1536.543%,2291.013%,-99.756%,40.845%,-26.115%,-62.228%,867.653%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.429,-3.310,-4.533,-59.630,-30.177,-1694.120,-135.882,0.058,-193.736,-33.823,-54.287,-0.208,-27.226,-30.341,-30.994,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.429,-3.310,-4.533,-59.630,-30.177,-1694.120,-135.882,0.058,-193.736,-33.823,-54.287,-0.208,-27.226,-30.341,-30.994,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-644,401","-1,914,090","-3,776,598","-2,787,352","-936,395","-407,620","-4,589,452","-3,810,198","-388,864","-315,517","-373,950","-616,194","-698,356","-1,501,084","-2,260,455",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.652,-2.293,-6.056,-12.461,-9.629,-7.990,-175.969,-0.042,-5.632,-4.569,-5.416,-0.065,-10.114,-21.739,-32.737,Financials in USD,Fiscal year is January - December
EBITDA,"-2,267,888","-2,751,378","-2,824,036","-1,773,615","-2,900,078","-5,147,201","-4,589,479","-5,183,627","-3,392,566","-1,880,808","-3,365,731","-1,773,996","-2,111,807","-1,847,990","-1,960,182",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,733","2,600","2,600","2,600","2,600","2,600","2,600","2,600","2,600","2,600","2,600","2,600","2,600","2,600","2,600",Financials in USD,Fiscal year is January - December
EBIT,"-2,269,621","-2,753,978","-2,826,636","-1,776,215","-2,902,678","-5,149,801","-4,592,079","-5,186,227","-3,395,166","-1,883,408","-3,368,331","-1,776,596","-2,114,407","-1,850,590","-1,962,782",Financials in USD,Fiscal year is January - December
