Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Preferred Dividends & Other Adjustments,-,-,-,-,-,"19,000","68,000","19,000","57,000","10,412,000","-10,298,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,032,000","-21,304,000","-19,629,000","-16,450,000","-17,319,000","-21,518,000",-,"-13,686,000","-16,208,000","1,188,000","-2,318,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"23,037,714","23,037,714","23,011,795","22,934,594","17,397,845","2,847,675","2,786,017","2,665,955","2,633,588","2,355,553","2,279,709",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"23,037,714","23,037,714","23,011,795","22,934,594","17,397,845","2,847,675","2,786,017","2,665,955","2,633,588","2,827,238","2,279,709",Financials in USD,Fiscal year is January - December
Shares Change (YoY),32.417%,709.001%,725.975%,760.277%,560.614%,0.723%,22.209%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.739,-0.925,-0.853,-0.717,-0.995,-7.556,-,-5.134,-6.154,0.504,-1.017,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.739,-0.925,-0.853,-0.717,-0.995,-7.556,-,-5.134,-6.154,0.420,-1.019,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,576,000","-16,030,000","-17,604,000","-15,504,000","-19,046,000","-14,801,000","-18,050,000","-19,610,000","-14,321,000","-25,233,000","-17,068,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.763,-0.696,-0.765,-0.676,-1.095,-5.198,-6.479,-7.356,-5.438,-8.925,-7.487,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,22.029%,-26.304%,-107.935%,36.688%,-74.482%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,1.145%,-67.972%,-159.207%,27.308%,-118.315%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-131.004%,-158.591%,2.834%,-21.627%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-93.494%,-187.709%,-140.127%,-60.200%,-159.246%,Financials in USD,Fiscal year is January - December
EBITDA,"-17,877,000","-21,559,000","-20,182,000","-17,088,000","-18,230,000","-21,122,000","930,000","-5,916,000","-15,198,000","12,378,000","-11,970,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,4.817%,-56.629%,-148.708%,29.531%,-111.681%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"491,000","498,000","509,000","659,000","700,000","730,000","709,000","1,185,000","1,073,000","932,000","711,000",Financials in USD,Fiscal year is January - December
EBIT,"-18,368,000","-22,057,000","-20,691,000","-17,747,000","-18,930,000","-21,852,000","221,000","-7,101,000","-16,271,000","11,446,000","-12,681,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,1.145%,-67.972%,-159.207%,27.308%,-118.315%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,0.224%,-,Financials in USD,Fiscal year is January - December
