Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Free Cash Flow,"-14,665,000","-3,007,000","-20,947,000","-15,254,000","-17,644,000","-13,290,000","-31,247,000","-19,245,000","-24,823,000","-23,841,000","-27,825,000","-12,169,000","-7,288,000","2,491,000","-18,900,000","-3,167,000","-2,793,000","-2,803,500","-2,803,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.242,-0.050,-0.408,-0.343,-0.427,-0.346,-0.884,-0.553,-0.762,-0.735,-0.861,-0.412,-4.608,1.693,-13.992,-2.673,-2.567,-3.034,-3.034,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,97.058%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-29.766%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-20.166%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-129.735%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-22,318,000","-18,739,000","-3,690,000","-16,501,000","-24,233,000","-17,033,000","-20,726,000","-37,781,000","-28,193,000","-25,567,000","-31,231,000","-16,268,000","-11,462,000","-5,724,000","-35,616,000","-4,409,000","-2,923,000","-2,546,500","-2,546,500",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-22.854%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"731,000","585,000","1,116,000","690,000","523,000","524,000","190,000","192,000","200,000","159,000","158,000","158,000","159,000","217,000","113,000","170,000","269,000","15,000","15,000",Financials in USD,Fiscal year is January - December
EBIT,"-23,049,000","-19,324,000","-4,806,000","-17,191,000","-24,756,000","-17,557,000","-20,916,000","-37,973,000","-28,393,000","-25,726,000","-31,389,000","-16,426,000","-11,621,000","-5,941,000","-35,729,000","-4,579,000","-3,192,000","-2,561,500","-2,561,500",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-29.766%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,"16,146,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
