Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Pretax Income,"-41,958,000","-43,111,000","-37,565,000","-35,693,000","-41,474,000","-48,937,000","-50,037,000","-43,837,000","-54,016,000","-64,683,000","-54,418,000","-60,660,000","-40,155,000","-41,451,000","-239,520,000","-3,286,000","-2,138,000","-2,228,000","-3,011,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"608,000","705,000","481,000","1,144,000","-2,826,000","-24,051,000","677,000","-664,000","-141,000","-22,000","80,000","114,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-42,566,000","-43,816,000","-38,046,000","-36,837,000","-38,648,000","-24,886,000","-50,714,000","-43,173,000","-53,875,000","-64,661,000","-54,498,000","-60,774,000","-40,155,000","-41,451,000","-239,520,000","-3,286,000","-2,138,000","-2,228,000","-3,011,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-829,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-42,566,000","-43,816,000","-38,046,000","-36,837,000","-38,648,000","-24,886,000","-50,714,000","-43,173,000","-53,875,000","-64,661,000","-54,498,000","-60,774,000","-40,155,000","-41,451,000","-238,691,000","-3,286,000","-2,138,000","-2,228,000","-3,011,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"116,253,902","109,489,184","99,887,720","97,923,585","96,648,110","95,162,734","94,937,904","94,603,860","94,327,914","94,109,089","90,505,345","89,935,902","89,899,454","63,516,656","48,050,083","15,000,000",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"116,253,902","109,489,184","99,887,720","97,923,585","96,648,110","95,162,734","94,937,904","94,603,860","94,327,914","94,109,089","90,505,345","89,935,902","89,899,454","63,516,656","48,050,083","15,000,000",-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),20.286%,15.055%,5.214%,3.509%,2.460%,1.120%,4.898%,5.190%,4.926%,48.164%,88.356%,499.573%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.366,-0.400,-0.381,-0.376,-0.400,-0.262,-0.534,-0.456,-0.571,-0.687,-0.602,-0.676,-0.447,-0.653,-4.968,-0.219,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.366,-0.400,-0.381,-0.376,-0.400,-0.262,-0.534,-0.456,-0.571,-0.687,-0.602,-0.676,-0.447,-0.653,-4.968,-0.219,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-21,423,000","-40,580,000","-37,286,000","-31,078,000","-37,435,000","-44,072,000","-47,926,000","-52,216,000","-39,104,000","-60,106,000","-50,257,000","-56,491,000","-33,218,000","-33,914,000","-12,721,000","-3,281,000","-1,895,000","-1,815,000","-3,639,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.184,-0.371,-0.373,-0.317,-0.387,-0.463,-0.505,-0.552,-0.415,-0.639,-0.555,-0.628,-0.370,-0.534,-0.265,-0.219,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,100.000%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-513.323%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-537.531%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-453.495%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-46,323,000","-43,896,000","-36,004,000","-35,076,000","-40,123,000","-46,934,000","-48,840,000","-41,567,000","-48,993,000","-68,382,000","-51,210,000","-54,510,000","-38,301,000","-29,968,000","-16,518,000","-3,003,500",-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"82,000","84,000","86,000","102,000","86,000","85,000","37,000","36,000","35,000","32,000","28,000","12,000","13,000","7,000","2,000","1,500",-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-46,405,000","-43,980,000","-36,090,000","-35,178,000","-40,209,000","-47,019,000","-48,877,000","-41,603,000","-49,028,000","-68,414,000","-51,238,000","-54,522,000","-38,314,000","-29,975,000","-16,520,000","-3,005,000","-2,116,000","-2,129,000","-3,192,000",Financials in USD,Fiscal year is January - December
